Latitude 	 Longitude 	 Weight
39.3542	-101.705	1
42.6703	21.1712	2
35.528	-108.69	6
-19.9187	-43.9598	153
-7.8852	110.123	3
-31.2525	-52.1256	1
38.1377	13.3472	8
43.9291	2.13251	3
52.1184	-1.01848	12
19.3184	-98.2454	6
6.95349	79.8616	4
55.5715	38.2275	1
-6.26697	107.009	167
33.6719	-117.33	1
40.4654	-90.679	2
31.896	-116.693	2
34.2666	-5.92025	60
26.6416	-81.9978	3
34.6809	135.163	1
12.0097	8.5626	1
-21.21	-48.2936	5
37.412	-79.1672	1
-7.95669	112.618	76
36.1464	-80.1989	3
10.5968	7.48282	2
40.7462	14.4969	1
41.8549	-86.1664	1
51.4732	11.9725	1
16.959	-99.7356	6
-0.216815	100.633	2
53.2109	5.67335	2
45.375	134.708	1
41.6738	-72.8542	7
42.435	19.2732	1
51.8598	4.66345	5
42.6866	-8.98969	2
-29.0688	-53.233	1
-29.6239	-50.9986	8
52.1674	-2.40599	3
50.8577	4.3159	25
59.3306	18.0046	15
55.9529	92.4567	1
37.9863	-87.4701	2
48.6406	6.31586	3
30.5173	-99.7885	1
41.3292	-74.3538	3
-33.8642	151.207	19
50.795	-2.61142	6
40.096	-74.9825	12
39.573	-87.9402	2
32.2185	-101.498	4
50.9402	29.9046	1
50.1212	8.63661	13
37.2363	-1.85266	1
53.533	-1.10699	11
55.3431	-1.73326	2
46.7619	28.9112	1
10.5202	124.028	1
36.2424	-115.041	3
41.5845	-86.8954	1
35.6331	140.062	5
10.3765	-66.956	9
41.0784	-8.56101	17
37.2377	-6.91871	3
18.4912	73.8157	4
33.5229	-86.8285	10
42.2976	-5.89727	1
42.0178	-4.53186	3
-7.82084	110.922	2
54.4893	-6.77766	1
43.6814	-79.7831	8
0.830617	-77.6782	1
38.8735	-92.0017	1
42.6804	2.95076	1
51.9187	19.1348	10
42.1974	-83.3855	7
44.2678	-71.5592	1
47.0008	6.92091	2
35.8305	-85.9786	3
33.5907	130.407	5
51.1436	5.63252	14
50.8535	0.550703	2
32.3329	-116.929	5
-7.69178	108.995	3
52.1789	-0.88267	3
54.0217	19.0481	1
41.9183	-71.0351	2
39.257	-3.43559	1
51.9008	-8.47483	1
40.15	-75.1488	16
40.8772	-79.9468	1
-26.0158	28.2618	1
-33.6987	-71.2161	1
58.8909	55.6322	1
34.5083	-117.304	2
43.9748	-75.9528	1
35.9428	-93.9887	1
1.71967	103.893	1
32.7001	-113.962	1
38.6517	-77.6439	1
34.7955	-85.003	2
34.94	-79.7629	1
47.2572	-122.106	1
3.45078	102.411	1
30.0007	-90.0495	8
52.3351	5.22964	15
48.0796	11.6639	1
36.7968	127.128	1
42.9427	-74.1917	1
31.4791	-110.259	3
59.8091	17.7021	1
34.0922	-118.308	270
-6.81149	-35.2573	1
53.5609	49.0102	1
25.5316	-80.3748	3
35.3559	-85.9545	1
40.9759	29.0925	33
33.233	-86.806	1
39.8742	32.8255	11
48.5692	7.76221	7
-32.0064	-52.0425	1
48.2727	4.05136	10
4.08013	9.67791	1
36.2107	-78.9183	2
-41.445	147.127	1
2.83864	101.752	34
50.1532	-5.0748	1
-4.86206	-42.1284	1
41.4263	-88.2279	3
-5.17913	-36.3534	1
42.7306	-84.464	12
52.6003	39.6002	15
39.7189	-84.1764	1
53.048	5.89424	11
7.69923	-72.354	2
55.8899	37.258	6
41.6524	-86.2331	1
-32.9344	28.0333	1
41.6999	-88.3145	2
-23.6839	-46.9469	2
53.2374	-6.65761	1
51.3597	42.1119	1
17.8038	-97.7842	1
3.87748	100.931	3
-23.4062	-50.3577	1
-6.90558	107.626	317
33.9169	-117.211	6
56.3572	37.5291	1
39.7594	-6.24756	1
-23.7071	-53.4119	1
30.4592	78.0747	1
47.6749	1.53558	1
53.0195	-2.15902	4
30.0623	-94.9228	1
33.6954	-117.928	45
41.5849	12.651	1
47.3812	0.693001	3
-6.818	-37.8213	1
43.2151	76.8932	5
6.11277	100.374	5
37.8223	-85.7682	6
41.8005	-88.1674	57
43.3005	13.4491	2
43.511	-8.26934	2
41.8551	-80.7884	1
42.4586	-85.7095	1
34.1146	-84.5184	2
55.9183	-3.26502	16
33.408	-86.7014	1
1.58883	110.324	9
-5.94912	-35.4266	5
38.8788	-77.407	3
59.7285	30.4116	5
40.9889	-94.7486	1
45.0011	-86.2707	5
58.2926	12.282	1
52.1898	-0.0621373	1
31.8181	34.7911	1
28.3542	-16.6908	1
33.4559	-84.1677	3
35.7733	51.356	2
-28.739	-49.3605	28
2.04537	102.585	1
50.7236	-1.90471	11
41.6603	-4.42588	1
52.9373	-1.45127	18
31.6163	-87.0018	1
-30.377	-55.1591	9
50.0443	22.7159	1
43.6777	13.2102	4
43.3955	6.29457	3
-21.5588	-51.596	2
54.0788	-2.72119	3
30.2132	-92.3765	1
39.0098	-122.058	1
20.7116	-97.5345	1
52.8761	6.00302	9
9.04849	7.50874	5
6.55806	3.5108	9
35.2468	-97.3625	2
56.8544	35.8997	7
42.5092	-7.58527	19
39.9821	-104.818	1
52.3512	17.4576	1
-27.5678	-52.4354	1
44.6652	12.2506	1
53.7602	-0.348004	17
-22.7467	-47.1389	26
34.673	-96.6606	1
41.4102	-75.6608	6
-35.0934	138.589	1
-26.3964	-51.0271	1
41.9383	-93.3898	3
-20.3359	-48.3961	1
38.4842	-90.2994	2
4.39261	-76.0689	2
36.078	-110.175	1
56.8105	24.6057	2
40.2151	-74.4787	1
52.4046	-4.00698	2
45.0821	13.6416	1
51.0057	81.4708	1
43.6281	-70.2923	3
9.66816	-68.5879	1
28.9699	-111.498	5
54.291	48.3687	3
40.7796	14.7032	1
57.5084	-1.80227	1
25.1221	56.3338	1
41.1482	-81.3311	15
32.1658	-81.906	7
52.6722	6.05479	1
44.0595	-123.123	1
40.8655	26.8141	1
-7.03353	-37.3471	2
49.9159	2.18475	1
47.4815	-0.563019	4
-5.569	-50.0651	10
44.0358	42.8779	1
8.98002	-71.9014	1
39.231	-76.817	8
45.8136	15.9859	3
-27.7131	-48.8638	1
-19.6263	-43.8892	3
5.98361	116.077	16
32.5281	-92.7041	2
41.7167	-71.4652	5
49.2884	-123.073	12
-27.6786	152.911	3
21.0288	-101.258	2
35.1807	-106.634	5
29.1464	48.114	2
57.1565	24.8459	1
-3.83876	-49.6793	1
39.9107	116.386	1
33.6678	-80.251	1
-29.1822	26.2293	2
40.8231	-81.9178	2
36.0873	-79.997	1
19.7496	-88.0135	1
-42.0933	-73.7664	1
39.0544	-75.5203	6
51.7345	-3.50284	3
-23.417	-54.5603	53
32.7084	-100.889	1
-26.0514	-53.0454	2
35.5719	-5.38149	3
56.1459	8.81087	4
52.4499	-9.47954	1
5.85656	118.078	2
47.0691	-122.931	3
35.7018	-81.2039	1
59.4228	24.732	1
22.8259	-100.317	1
37.9159	139.05	23
43.4587	-84.0088	4
42.0715	-88.0454	7
30.4808	-84.2269	9
-22.3011	-48.5366	1
-19.9225	-50.4065	1
54.9138	-7.86654	1
10.4257	-61.427	1
37.8429	27.2423	1
39.3235	-82.084	1
-29.2431	16.8805	2
34.0127	-118.495	8
48.7516	2.61428	63
54.1521	38.4438	1
31.4843	65.8426	1
-23.4057	-51.9683	7
50.3759	18.9775	1
-29.2094	-49.9965	1
53.2327	50.2101	4
52.2701	-0.747654	3
40.0144	-78.5014	1
56.2578	-120.831	8
50.9218	-114.097	2
27.913	-81.8442	1
30.4639	-90.9718	7
