Latitude 	 Longitude 	 Weight
34.2887	-117.453	1
51.7688	4.75251	1
40.5721	-111.849	2
38.8151	-77.0909	2
60.3192	24.9696	2
38.8093	-90.2892	1
25.7058	-108.586	1
42.2238	-83.3663	2
3.8888	11.5092	1
58.3398	7.84902	1
18.3356	-65.6442	1
56.0152	92.8809	2
37.0493	138.238	1
58.5905	49.6388	1
13.8437	-89.7459	2
55.0811	36.6037	1
19.2468	-99.1708	15
52.0976	8.7075	1
47.2493	-122.457	3
51.4542	-0.0179565	8
40.4147	-3.70076	8
-2.16561	-79.9084	5
48.5515	2.65683	30
53.2218	6.56477	1
38.9834	-77.0932	8
47.2262	2.05921	2
41.3941	2.1393	5
1.36186	103.989	3
43.5829	5.01059	2
48.8843	2.41459	307
52.6233	-1.14112	1
46.929	4.77614	1
50.4823	3.1991	2
40.5111	-79.9632	2
48.6406	6.31586	2
64.1411	-21.8866	1
-26.4506	31.9497	1
28.5905	77.3374	2
9.04746	7.51179	4
14.5394	-91.6794	1
53.4424	-2.23348	4
42.4426	-83.2742	4
47.8991	1.85814	7
-33.9182	18.4187	1
29.6842	-95.1828	11
2.93359	101.301	1
43.2118	-78.4677	1
4.93197	-52.313	2
36.4751	-95.0172	1
28.1031	-15.46	1
51.84	-0.275106	1
51.4782	7.22609	1
53.0004	-3.04979	1
3.39436	101.573	1
49.2042	-0.332246	3
43.3689	-5.84658	1
16.7442	-99.7554	1
41.5646	-72.1447	1
35.6984	139.626	2
20.7778	-88.9377	2
39.8022	-75.7721	1
18.8219	-98.9314	1
52.1515	6.39524	1
35.8305	-85.9786	1
51.4708	-2.617	1
44.4978	142.34	1
30.3787	-91.1386	4
34.8789	-117.004	2
52.3225	21.0568	1
8.95264	-75.4465	2
56.4122	-110.955	1
42.2742	-85.5972	1
39.7992	-86.2538	2
39.1204	-121.611	1
46.5736	0.351001	2
15.4752	-88.8266	1
48.8232	3.14248	2
52.0079	5.09878	6
41.6903	2.78757	1
-30.0225	30.8339	1
40.9118	-4.19462	1
-23.6828	-46.5955	21
40.1541	-97.1808	1
10.0793	-69.3221	1
51.5258	46.0141	2
-1.40158	36.7617	1
45.5288	-122.648	1
35.5815	-78.6427	23
36.5169	139.001	1
43.3955	6.29457	1
-0.463414	117.159	2
48.1159	-1.68833	4
36.6191	-119.545	1
43.3844	-80.3666	1
53.6111	-115.344	1
20.1899	-100.151	1
32.491	-84.8741	1
53.3944	58.9122	1
39.349	-76.5459	3
43.0579	-87.9671	4
41.0959	-73.4268	1
-23.9507	-46.2257	2
54.6303	-5.94374	1
39.5638	3.21407	1
32.9356	-97.2211	1
16.959	-99.7356	1
38.8193	-77.4321	2
51.56	0.236186	2
43.1009	131.926	1
28.5748	-14.6268	1
33.9498	-117.399	4
-22.5918	-47.3616	1
40.3857	-105.557	1
3.56306	101.568	1
14.6465	-61.0716	3
36.4486	-77.0942	1
14.5715	121.05	4
35.5963	-78.7912	1
31.7084	-106.315	3
41.9538	12.52	1
49.1994	2.46511	13
-21.491	-49.9037	1
-6.90558	107.626	4
34.1363	-118.003	4
41.5642	-83.4249	1
40.5347	-85.626	2
47.0016	-1.22678	1
28.4501	-81.5202	4
43.6008	1.4329	8
-28.4795	24.6701	3
53.2735	-6.39952	1
60.0415	30.3935	2
52.2113	4.89025	4
52.3547	4.90405	6
43.7051	-70.308	1
34.2046	-82.1366	1
50.8387	4.36307	1
52.5699	6.53484	1
45.7567	9.85388	1
6.11277	100.374	1
14.0975	-87.2058	1
48.4868	7.41698	1
18.5109	-69.773	6
37.8223	-85.7682	1
45.0656	-93.4427	2
4.08132	9.67805	6
-6.35789	106.495	1
33.377	130.49	1
28.3084	-81.4053	1
52.3052	4.70899	2
59.918	10.7831	1
37.9725	-121.804	2
44.3604	2.56269	1
48.5156	3.7144	1
34.1728	-80.7024	1
47.4824	19.1295	1
13.69	-89.19	6
-22.8952	-47.0303	1
-53.1338	-70.9043	2
55.3593	86.0516	1
18.4245	-66.0813	1
39.0941	-76.86	3
52.1438	4.47456	1
-25.6598	31.6856	1
43.7312	11.3364	1
34.9407	-78.2998	1
17.6347	-97.7069	2
42.3387	-7.87468	1
20.0847	-101.243	1
32.6288	-115.404	1
29.8532	-95.2506	6
41.4836	-85.0237	1
37.1658	-4.14489	1
33.7681	-84.2492	4
32.4437	-81.7724	1
-0.0411521	-51.1728	4
33.5626	73.072	1
62.649	30.3449	2
43.6925	-79.8296	1
47.5999	-122.097	1
40.0025	-75.118	17
29.9863	-95.349	1
-26.8622	26.64	1
35.9741	-115.164	3
42.7489	-84.4805	3
47.613	-122.342	2
-8.14856	-35.0037	3
13.8771	121.153	1
-14.3441	-170.728	1
32.7567	-117.242	2
45.1649	5.72994	4
24.8262	-107.443	1
52.774	-1.55662	1
-30.0997	-51.1593	2
45.3687	-122.64	1
26.1322	-80.1864	3
43.2519	-2.93316	8
43.1792	-1.35398	1
36.082	-79.7735	1
0.0	0.0	9
4.80132	101.057	1
35.0861	-80.6972	1
52.0023	4.37822	1
55.7126	52.4007	1
7.9148	-72.5351	1
39.8644	-83.0643	1
32.387	-83.3439	1
1.61249	103.648	2
49.7348	-123.138	2
-1.57622	103.64	1
33.2091	-96.9809	2
19.7852	-70.6696	1
56.6282	47.8837	1
13.9954	-89.5456	2
31.2624	-92.4741	1
52.0716	5.74901	2
30.5701	-92.081	1
49.0354	1.57248	5
8.24602	124.247	1
34.0374	-80.9375	2
33.1933	-86.0208	1
-26.8367	27.8495	1
27.9435	-80.6273	1
2.04811	103.382	2
50.8773	5.92186	4
29.7841	-95.835	1
1.33406	103.847	11
52.0054	5.89657	2
19.7496	-88.0135	4
37.5395	-122.282	2
33.8078	-116.385	1
-8.66924	115.224	2
53.3933	-2.91859	1
50.5236	21.4648	1
34.9671	135.773	5
40.3384	-4.13332	1
8.75279	-75.8783	1
56.5904	59.9662	5
48.8002	1.82605	2
37.7703	-122.436	6
49.0714	2.10159	27
38.3798	-78.9698	1
21.0487	-87.0318	1
41.8312	-71.4783	2
28.7678	-106.909	1
