Latitude 	 Longitude 	 Weight
37.4468	-121.888	3
-19.9187	-43.9598	441
41.387	-80.7616	6
39.5136	-78.7689	1
54.1364	-7.22303	1
40.2071	-89.6896	1
51.4631	-1.00671	81
38.5615	-121.461	50
37.7408	-122.158	26
41.3093	-72.9278	24
38.4214	-75.0576	3
17.7272	83.3034	2
32.489	-90.1982	3
40.9932	15.6597	1
39.4572	-82.2897	1
47.3835	-122.244	10
53.3107	8.7361	1
51.2083	3.23032	1
52.2701	-0.747592	10
52.1674	-2.40599	3
36.6037	-4.53784	23
10.3119	-85.8209	1
39.9688	-84.9258	2
-2.2122	-80.9685	6
60.4672	26.9411	2
50.795	-2.61142	13
13.7478	121.074	5
50.1212	8.63661	14
35.6628	139.427	3
-28.6758	-52.1656	1
54.174	60.2421	1
-7.75129	110.692	12
33.4792	-86.9954	3
51.9187	19.1348	1
-35.0918	138.491	1
5.65479	100.872	1
-20.748	-42.8803	1
-20.6364	-44.2754	3
-21.6508	-54.4583	1
30.2427	-91.8586	1
43.8775	-91.2289	7
43.4835	13.4489	2
-42.7831	147.045	3
13.3272	77.1249	1
-27.1412	-51.5856	1
37.6282	-87.1142	3
13.1577	-61.219	7
41.7347	-87.9877	5
-16.4622	-49.9525	1
38.834	-76.7508	7
35.5475	-84.3198	1
44.0864	-70.239	4
41.3095	-4.92024	3
-6.16171	-35.131	1
41.5951	-83.7874	2
9.33254	-79.8886	3
42.8956	-77.3042	3
49.8795	20.086	1
35.4798	-81.2436	2
46.0844	-100.628	3
28.2781	-81.6722	3
-7.6481	111.043	8
8.87987	-75.6895	1
34.7829	134.849	8
52.3326	0.529435	2
9.35791	-82.2505	1
31.8622	-81.6381	10
38.5367	-0.133035	2
52.058	1.24787	4
-28.739	-49.3605	27
35.8082	-83.579	2
-7.0949	110.925	1
51.8308	4.77076	15
44.3103	0.0894421	5
-20.0806	-44.5819	5
42.7489	-84.4805	39
46.8222	29.4859	1
29.7047	-95.1159	44
-26.3964	-51.0271	2
37.8072	-25.4945	4
-38.1355	176.24	1
46.4858	-84.3744	2
40.1873	-92.5815	1
25.0626	-77.3538	2
41.8577	-79.1363	6
8.43101	-82.4189	5
52.3354	-0.16595	2
28.9699	-111.498	10
39.7896	-8.95415	2
44.0595	-123.123	5
47.4815	-0.563019	5
38.0474	-87.3631	3
-4.91685	-38.9252	3
-25.4533	-49.5653	30
-6.92341	110.063	3
-8.40988	-74.5906	1
5.78539	102.558	1
-1.19236	-46.7872	3
37.3859	-81.1023	9
10.1608	-61.7046	1
32.4149	-104.25	1
49.2884	-123.073	42
39.7671	-86.5267	2
43.5084	-5.69195	6
35.671	-90.5261	1
-26.4233	-49.1569	23
45.3914	11.7935	76
44.2127	-100.247	3
49.6046	6.15424	1
58.163	55.8611	1
0.335787	101.005	2
26.1508	50.5179	5
41.6038	12.8408	14
38.3802	28.5491	1
36.7506	-84.1613	1
39.6749	-81.496	3
45.946	-60.6101	1
-23.6604	-47.5864	2
32.0376	-111.271	1
34.0456	-80.9672	16
53.8736	-0.476868	17
53.3215	50.0679	41
-23.2969	-45.9737	53
38.0908	-120.861	2
27.6847	85.3208	8
-29.6877	-49.9908	6
59.3501	17.0616	1
35.5382	-82.5655	2
51.046	2.84731	4
39.1476	8.96152	6
16.2404	-61.5243	8
3.40973	102.038	4
-1.96654	30.0557	2
-27.8411	-54.5215	2
52.6364	-8.65146	2
60.5355	22.2621	1
35.309	-98.7166	8
9.6897	-63.6124	2
41.4893	-81.7885	41
53.6799	9.37268	13
-36.6169	-72.9624	2
50.5873	19.3395	1
-22.1761	-47.3406	1
-10.8797	-37.1759	5
37.4834	14.9671	5
52.0745	5.54641	26
52.0828	-0.739571	7
33.6742	-111.858	2
51.8067	-4.96178	1
41.6676	-74.8095	1
52.5379	5.34582	2
59.8685	30.9897	1
38.8412	-84.0929	2
19.7237	-101.15	1
31.8608	-97.0838	2
-29.753	-53.8242	39
43.856	10.2697	1
-31.5614	-52.3342	26
37.0979	-80.5079	1
30.2928	31.7458	3
51.6258	-3.46006	8
41.3948	-73.4721	20
49.2147	1.79848	1
-33.9567	18.4613	12
44.6111	-64.2732	1
56.1385	40.4177	19
59.8746	29.8266	1
35.8335	127.112	2
28.4391	-99.228	4
38.8753	-104.757	15
38.3661	-98.7818	1
54.4585	-6.3549	2
-3.27588	-60.1832	1
-1.09774	37.0139	20
45.7469	4.68005	5
49.8513	20.2544	10
-15.5305	-47.3352	2
36.2579	139.396	1
43.8483	-79.0423	10
31.4322	-100.449	2
40.2855	-79.546	1
39.0984	-77.2311	32
40.3025	-121.003	1
37.7241	-89.2091	1
46.8701	35.3876	1
37.7914	-3.74254	14
35.8877	-80.1143	1
30.044	-89.9335	7
-23.7873	-50.296	1
-22.588	-48.8122	2
68.6186	170.631	1
-8.07363	-36.2755	1
37.0604	-76.4592	10
43.1182	-79.2305	5
48.4739	35.0242	14
51.6024	0.523334	14
39.2582	-84.6398	3
-27.5969	-48.5495	43
39.1109	-80.4091	5
54.5977	-5.92651	16
40.6951	-112.045	19
59.9394	30.0922	133
35.8451	139.629	14
50.5196	30.8036	2
52.0781	21.0099	7
44.9295	4.90578	28
44.6448	10.8969	2
19.5613	-70.8792	1
32.0458	-90.6265	1
32.8207	-96.7315	73
39.9941	32.6049	18
44.6696	8.90642	1
41.5829	2.0064	14
42.4956	-8.77461	5
36.0016	-88.4307	1
48.2039	16.1726	4
-22.6446	-43.3052	27
33.3084	44.3738	1
15.1677	120.585	4
42.5314	-71.7497	1
20.8765	-100.884	4
35.9718	-94.3244	1
-7.58959	110.07	1
-21.8793	-47.9053	59
41.838	-94.0947	2
-28.7189	-53.5192	5
-21.2741	-50.7091	3
20.4507	-97.0876	1
41.6756	-86.157	15
54.2103	-1.1906	3
-26.0901	-49.7133	1
28.5316	-99.8522	5
30.6403	-94.4311	1
30.473	-89.0839	2
44.7482	-93.3309	5
47.1351	-94.6245	1
36.8657	-120.458	15
37.7485	29.0871	3
48.7791	9.17711	2
47.9002	-1.68541	1
44.4985	-78.1911	1
37.619	-6.68724	1
48.6243	22.294	2
53.7761	13.3781	1
-25.4591	-56.8903	1
52.88	-9.40846	3
58.5849	16.1845	1
51.5207	-0.142822	5561
43.2419	-124.228	1
41.276	69.1788	2
44.3372	-79.7114	1
36.2329	-115.238	103
21.3841	-100.218	1
27.1894	31.1894	1
40.7419	-84.1162	4
52.4567	5.93873	12
38.0585	23.7725	1
-1.46336	-48.4969	113
37.9006	-0.836256	5
25.6014	-103.377	3
56.2389	-120.856	2
2.13073	102.765	2
38.183	-86.1459	3
-5.57916	-39.4606	7
37.3869	-121.13	1
38.5305	-8.86894	52
-6.2401	106.532	162
-23.0595	-46.972	43
5.9892	116.58	10
31.1467	-83.3615	1
44.1574	-121.047	1
-0.955603	100.376	68
44.1859	-93.9774	1
-21.2133	-47.818	95
53.3987	-7.72295	1
-4.28456	-38.9643	1
-2.50262	-54.9556	2
43.2464	76.8623	8
21.2443	-102.333	1
6.35533	5.60179	1
4.27917	117.906	9
48.1114	7.39228	2
50.1533	-5.07464	5
42.6232	-73.1131	1
41.3773	-82.1205	6
59.8786	11.5883	1
-24.4958	-47.8554	17
-19.0373	-41.223	1
-3.99807	119.833	2
32.7463	-111.57	2
56.3377	37.4826	1
-1.47674	36.9592	2
52.3277	-66.7913	1
57.1558	-2.20286	29
5.72503	115.94	2
56.2545	37.9894	1
51.6515	-0.469413	11
50.0386	4.49542	1
47.1614	5.61871	2
37.555	-97.2565	9
22.7657	-74.2099	1
-16.0288	-48.0552	3
60.7996	26.4399	1
49.7855	-113.261	1
35.7805	-83.9809	1
41.4979	-95.5472	1
10.1988	118.894	1
52.7642	23.1903	1
36.1337	-5.35317	4
10.9543	-63.8669	7
39.2509	-2.61216	1
45.6628	9.72953	5
37.7846	-0.963286	4
-26.9984	-51.7444	1
52.9985	-6.6947	2
37.9168	-1.11781	10
36.1184	-86.7283	28
43.3168	-73.6454	1
44.3327	-0.869714	1
42.8465	-70.9192	5
1.23538	103.833	391
14.1178	121.082	4
48.1795	-1.88882	3
-20.7898	-41.1967	8
39.8182	26.0014	2
-6.80248	107.648	982
