Latitude 	 Longitude 	 Weight
50.0645	5.76072	1
-19.9187	-43.9598	22
48.8022	1.81887	1
34.8715	-118.217	1
-38.7653	-72.5958	1
55.5715	38.2275	1
5.274	115.248	2
43.8779	-79.3122	2
43.1495	3.03364	2
41.24	-81.4406	1
53.845	27.5258	8
-6.36333	-38.8318	1
42.6866	-8.98969	1
34.2668	-5.92017	1
50.795	-2.61142	6
52.2747	-6.94575	2
37.4485	-122.232	3
33.8513	-118.175	7
-22.4012	-49.4018	1
-30.0344	30.8407	1
49.008	2.40358	39
3.45867	101.656	2
43.6814	-79.7831	5
47.0265	-122.785	1
-26.4195	-51.8397	1
51.9187	19.1348	2
45.0905	5.69425	1
-16.4024	-41.0586	2
35.8305	-85.9786	1
33.7532	-112.317	1
23.1461	79.9489	1
32.3329	-116.929	2
51.7289	5.45244	3
43.2118	-77.7008	1
58.8909	55.6322	1
43.7082	7.29069	4
-6.10311	-38.1598	2
53.9743	-0.855013	1
48.7456	-3.46941	1
40.709	-74.0812	27
35.6514	140.073	5
35.7932	135.645	1
48.4266	-123.331	2
41.445	-82.1971	1
-5.2996	-38.0293	2
52.6003	39.6002	3
19.3999	-99.2749	15
55.4141	37.9007	1
42.3444	-3.68944	1
51.4561	-2.25926	1
38.4664	27.0951	2
-6.22135	106.835	96
48.2215	15.7608	1
-7.45259	109.243	2
53.165	158.385	1
-29.9153	-51.1771	2
-20.893	55.4468	1
6.11277	100.374	2
37.8223	-85.7682	1
38.6434	-121.242	1
42.1255	-80.0785	2
5.74759	0.0504532	2
50.4135	-104.599	1
55.9183	-3.26502	4
16.4104	120.598	1
14.3308	121.077	4
-11.9614	-77.054	1
-26.4283	-49.3274	1
41.2228	-111.973	1
28.0467	-82.4282	5
-28.739	-49.3605	3
52.1617	-1.59696	1
38.3322	-104.754	1
20.7049	-101.338	1
47.8992	1.85847	2
39.0869	-77.154	2
53.2218	6.56477	3
42.3939	-87.855	2
42.7489	-84.4805	2
40.1158	-75.7161	1
28.2156	-80.6014	1
41.9383	-93.3898	1
-20.3359	-48.3961	1
9.70663	99.9905	1
18.4976	73.8179	5
39.2339	-84.9978	1
33.4207	-86.7048	1
39.8644	-83.0643	1
34.1682	-111.931	1
38.9604	-76.778	2
47.4815	-0.563019	3
53.105	-0.989355	1
-8.2689	-36.4068	1
34.9091	-82.2144	4
39.945	-76.7827	1
43.5428	-99.2455	1
40.7617	-73.7598	1
38.0384	-78.5039	1
-6.8692	109.13	1
41.5583	60.9905	1
-41.706	-73.3391	1
53.6059	-2.31183	1
59.3407	14.505	1
30.2847	-91.2438	1
-29.6334	-50.7686	1
-29.2431	16.8805	1
51.2251	51.3628	1
-23.4057	-51.9683	4
39.7797	-86.1329	2
34.7233	-92.3379	1
-5.42423	105.251	2
