Latitude 	 Longitude 	 Weight
51.0047	-3.14971	1
-1.29034	36.8852	7
37.2376	-6.9188	1
-19.9187	-43.9598	102
43.9291	2.13251	1
47.6093	-122.154	3
-26.0484	-53.0509	1
-21.21	-48.2936	1
52.9908	6.25643	3
52.5126	13.2741	1
43.1496	3.03367	1
16.959	-99.7356	1
38.8976	-91.6	1
59.9892	30.1772	3
59.7683	28.7575	1
39.8439	-75.3748	1
48.8663	2.8105	14
52.1674	-2.40599	1
52.4009	-1.51423	2
47.0628	-1.25071	1
46.603	7.10056	1
50.1212	8.63661	2
38.502	-117.023	1
47.4906	-0.502176	5
36.104	-80.2453	1
49.008	2.40358	11
42.3515	-71.2044	2
3.45867	101.656	1
-26.4195	-51.8397	2
51.9187	19.1348	2
14.4241	120.873	3
22.2703	-97.9168	1
-20.6364	-44.2754	1
39.9602	-75.6056	1
52.7427	5.23969	2
50.5667	137.044	1
-29.6674	30.3235	1
30.5215	-87.0126	1
9.01553	-79.4981	1
40.6259	-74.1602	8
43.5823	-84.7781	1
39.1517	-76.6274	2
0.567826	123.067	2
52.6003	39.6002	4
34.7883	-81.1835	1
35.6435	-81.2259	1
-23.6839	-46.9469	13
-6.90558	107.626	54
48.9945	7.95277	2
53.0195	-2.15902	1
47.2493	-122.457	3
37.8223	-85.7682	1
-7.87435	110.423	31
13.1507	123.723	1
-7.31748	110.194	1
40.3379	-76.4214	1
26.3387	127.761	1
60.9792	25.6889	4
38.3679	-81.6503	1
46.0443	4.08051	1
52.5136	5.68839	3
-28.739	-49.3605	1
-6.19922	107.108	11
45.5475	5.98973	4
50.9576	6.96747	1
-37.068	-12.3113	1
56.8544	35.8997	3
-20.0806	-44.5819	1
-3.83184	-49.6803	1
50.424	4.87044	1
-23.2182	-46.8761	2
47.7334	-122.295	1
-20.3359	-48.3961	1
53.1302	18.0379	3
30.4386	-84.2256	3
43.4252	6.7959	3
2.26125	102.244	18
34.1682	-111.931	1
51.6752	-4.71038	1
31.0539	-97.6837	1
-7.03353	-37.3471	1
33.8745	-118.213	16
44.0358	42.8779	2
-19.6263	-43.8892	1
11.15	7.66914	1
56.6102	24.2008	2
49.2884	-123.073	3
38.5343	-76.9205	1
39.9945	32.8276	2
-26.4233	-49.1569	2
45.3914	11.7935	1
49.904	19.002	1
31.9857	-86.5577	1
41.4104	-75.6605	2
-5.90692	-36.7753	1
53.2745	6.37179	1
-19.9225	-50.4065	1
-23.6604	-47.5864	2
-23.5638	-46.3761	9
54.1143	12.0646	1
60.3592	5.42346	1
64.8675	-147.755	1
43.3731	-0.425222	1
-6.70711	111.355	3
59.2664	9.50313	1
40.5487	17.2498	1
34.7233	-92.3379	1
-5.42423	105.251	8
53.3215	50.0679	2
-23.2969	-45.9737	4
-29.6877	-49.9908	1
-33.8057	151.118	1
-5.62487	-37.8661	1
40.6953	-73.8369	3
43.0352	-76.1391	2
-27.8411	-54.5215	1
-22.8614	-43.2565	7
-6.21093	106.963	14
