Latitude 	 Longitude 	 Weight
53.4039	-1.56304	8
1.48823	103.789	31
46.2651	-119.899	1
30.4527	-97.599	5
38.1377	13.3472	1
39.8998	-82.0178	1
19.3184	-98.2454	1
55.5715	38.2275	1
31.896	-116.693	1
-21.21	-48.2936	2
51.109	39.4312	1
52.9908	6.25643	1
-22.9837	-43.2218	11
45.6276	-64.2353	1
34.2749	-6.61041	1
-19.5499	-56.0323	1
40.1353	-75.055	4
2.99108	101.712	8
40.3887	-75.2668	2
40.8481	-8.46797	1
45.5231	-122.463	1
-25.8547	-48.5643	1
51.3587	5.56415	2
36.0615	-115.083	5
35.6659	139.485	6
50.1212	8.63661	2
38.502	-117.023	1
33.9721	-6.86441	25
55.7338	24.3623	1
40.915	29.2959	1
27.7635	-15.5778	2
38.401	-121.366	3
36.3245	139.014	1
43.6814	-79.7831	3
38.8735	-92.0017	1
51.9187	19.1348	3
-23.1465	-49.9655	1
35.8305	-85.9786	1
33.5907	130.407	1
45.8198	1.23643	1
22.2703	-97.9168	4
58.5905	49.6388	1
-32.8507	-70.5966	1
-7.41814	110.523	1
42.3677	-84.0671	1
40.5105	-93.9647	1
52.806	-2.88644	1
37.8431	27.8327	1
5.69957	-0.236081	3
29.9205	-90.2196	3
44.379	4.99746	1
44.9336	-92.2236	1
49.1454	2.30233	2
53.4959	-2.03884	3
-33.8283	150.956	4
36.2613	-90.2883	1
34.598	-86.5628	1
52.6003	39.6002	5
-7.5372	112.055	1
48.9561	6.2744	1
40.9166	38.3897	1
50.446	6.03913	1
46.2409	-119.22	1
28.4811	-81.3687	6
-29.9153	-51.1771	6
50.8387	4.36307	7
-3.40738	114.83	2
42.1015	-79.2389	2
28.5365	-81.2273	1
37.8223	-85.7682	1
43.9794	-88.5793	1
42.1255	-80.0785	1
14.0721	-60.9502	1
13.7752	100.408	1
33.377	130.49	1
-23.2031	-45.8921	1
18.352	-67.0021	1
2.84185	104.159	1
52.023	47.8386	1
-28.739	-49.3605	7
-29.1887	-51.2009	1
-6.76391	111.136	1
37.9777	-87.4585	2
13.581	144.858	1
43.8224	-91.2169	1
43.7494	4.80534	1
53.2218	6.56477	1
50.9576	6.96747	1
41.0747	-81.5151	4
53.3328	5.8649	1
42.5092	-7.58527	3
51.62	19.3657	1
41.9383	-93.3898	1
52.2967	5.25851	1
-32.1078	26.465	1
16.7431	-93.1018	3
35.0861	-80.6972	3
48.3946	7.44362	3
38.1357	-92.6374	1
33.4705	-84.6766	1
-7.03353	-37.3471	2
47.4815	-0.563019	2
40.9356	-72.9362	1
2.08672	102.527	1
11.15	7.66914	3
-33.924	18.4186	2
45.8261	-95.2316	1
49.2884	-123.073	5
32.4177	-81.7701	2
36.0258	-86.811	3
40.268	-76.8927	1
44.2127	-100.247	1
39.1232	-94.7484	1
54.6303	-5.94349	7
51.793	0.621769	1
7.7746	-80.3032	1
-23.6716	-46.4477	9
30.8904	-97.571	1
25.6132	-80.4734	1
32.9358	-117.231	2
45.0398	38.9988	7
48.7516	2.61428	28
54.1521	38.4438	1
-23.4057	-51.9683	2
-26.1044	28.0564	6
52.3549	6.47698	1
20.1323	-98.3604	1
36.9529	-84.7007	1
52.7384	6.4657	2
43.6487	6.85456	1
34.2071	-77.8721	1
42.8569	-2.65973	2
0.14088	117.493	1
32.4691	-84.9574	1
0.899223	108.982	1
50.795	-2.61142	1
57.1443	65.5571	2
42.5168	-83.183	6
3.81315	103.37	2
43.3273	-8.40318	2
-3.14246	-58.443	4
35.1906	-101.759	1
44.5986	-92.5749	1
32.2185	-101.498	1
51.2799	1.09365	1
50.6636	3.21185	2
51.3899	-0.451484	2
47.2035	-1.51222	4
-16.6428	-49.2612	6
54.3199	-2.73454	1
34.1897	-118.391	10
-0.774199	100.592	1
14.7101	121.004	11
53.786	-3.05111	1
53.6424	-1.7902	4
12.9677	77.7149	6
2.66823	98.8742	1
38.2882	-85.9241	1
45.3042	-118.085	1
45.7578	4.8351	11
35.6087	-78.6327	1
55.7559	37.5483	80
48.7282	2.28002	14
51.7099	7.7968	2
-33.7037	150.332	1
55.9241	37.824	5
33.435	-86.1138	1
34.7014	-86.6686	6
-6.32092	107.129	3
41.8263	-71.8905	1
33.4498	-88.78	1
38.0651	-75.5556	1
34.2002	-88.7169	2
3.44067	-76.5475	1
44.8304	-93.0559	1
-26.0805	27.777	2
55.1254	73.3788	2
30.2788	-87.7124	1
44.5965	5.41492	1
51.2358	6.03345	1
53.3549	-6.2474	16
50.8426	-103.264	3
42.9587	-85.072	2
33.5701	-7.63608	19
59.2867	10.1033	1
51.8451	-1.96941	1
50.9514	0.594717	1
-2.88766	-78.989	1
40.607	-75.3782	1
50.823	12.8918	1
35.9872	-114.933	1
38.9804	-76.8906	22
-20.323	57.3922	1
53.1448	-1.1738	1
-25.0385	31.1445	1
-6.60992	107.483	2
-2.70123	104.621	1
20.9752	105.846	1
-13.9846	33.7524	1
42.5027	-96.414	1
55.6168	-2.82326	1
-8.29371	114.512	1
32.6782	-83.1783	3
38.2888	20.6228	1
36.301	-119.264	3
43.2365	-86.2565	1
-7.77791	35.6968	1
-26.1033	28.2335	1
-38.0672	145.471	1
-22.9146	-48.4411	1
56.8155	60.6136	8
