Latitude 	 Longitude 	 Weight
53.4039	-1.56304	3
-19.9187	-43.9598	16
34.8715	-118.217	1
39.5785	-80.136	1
35.528	-108.69	2
45.0081	-77.2773	1
6.3506	100.191	1
36.0147	-115.131	5
44.9336	-92.2236	1
41.8998	-88.8949	1
39.8507	-74.9097	1
-12.1791	-77.0148	7
-1.32447	36.7975	15
2.89343	112.093	1
45.375	134.708	1
36.292	-119.335	1
43.1495	3.03364	2
-6.30652	107.171	1
53.845	27.5258	6
45.2845	18.8196	1
42.6866	-8.98969	1
-14.5329	-49.1422	1
47.546	-122.061	2
51.3762	-2.43743	1
-19.9458	-44.1822	1
50.795	-2.61142	1
37.6992	-121.79	1
37.7878	14.5901	1
-22.4012	-49.4018	1
51.9417	-7.99546	1
7.38513	3.96306	2
-22.6072	17.061	2
16.7624	-93.0945	4
43.6814	-79.7831	3
43.6591	4.04254	1
-26.4195	-51.8397	2
55.5715	38.2275	3
36.4578	-79.37	1
33.5907	130.407	1
42.7782	132.872	2
23.1461	79.9489	1
32.3329	-116.929	1
52.2439	6.85402	1
37.3069	-79.1188	2
35.6704	-119.694	1
22.2703	-97.9168	2
36.9238	35.3301	2
38.7599	-76.8882	7
30.5215	-87.0126	1
46.8045	17.2294	1
36.743	-119.243	1
38.5301	-82.7489	2
17.9337	-76.9044	2
40.8267	29.3248	1
-31.9606	115.845	1
41.6002	-72.8803	2
37.1714	-3.58972	1
52.6003	39.6002	6
45.6447	13.7737	1
55.4141	37.9007	2
33.4841	-112.603	1
52.1317	-2.58966	1
-23.6839	-46.9469	3
30.9696	-87.3179	1
27.7699	-82.6812	3
7.05018	125.588	1
48.2215	15.7608	1
-23.7071	-53.4119	1
43.8409	10.7245	2
53.165	158.385	1
50.45	30.5233	10
51.9141	6.56715	2
50.8399	5.31865	1
6.11277	100.374	1
40.9219	-76.9719	1
37.8223	-85.7682	3
38.6434	-121.242	2
-7.87435	110.423	12
50.4135	-104.599	1
16.4104	120.598	1
14.3308	121.077	5
-5.1842	-37.3393	1
59.7285	30.4116	4
52.045	4.94316	3
10.6542	122.955	2
53.105	-0.989355	1
41.6477	-88.0844	5
48.8014	2.43994	109
37.0368	27.4335	2
20.7049	-101.338	1
31.8856	117.269	1
-26.5206	27.854	2
43.7494	4.80534	1
40.2627	23.239	1
3.0996	98.4935	2
42.7489	-84.4805	5
-20.3359	-48.3961	3
-28.8819	-51.3119	1
43.3505	-8.40263	1
53.1302	18.0379	2
28.9699	-111.498	1
29.3741	-100.832	1
37.7879	-121.928	1
42.8081	-83.2958	3
-7.03353	-37.3471	3
36.2329	-115.238	8
-18.8935	47.5319	1
47.4815	-0.563019	4
39.1211	-86.4158	2
-4.91685	-38.9252	1
-19.6263	-43.8892	1
36.8706	10.2409	1
19.1103	-104.343	3
36.1138	-5.34875	2
-22.9949	-43.2393	1
49.2884	-123.073	6
37.8251	-7.87556	1
41.5583	60.9905	1
58.163	55.8611	2
38.8617	-77.7739	1
30.7765	31.0158	2
40.1031	-82.9443	1
-0.0396307	109.313	1
51.2251	51.3628	1
-23.4057	-51.9683	2
30.4454	-84.2453	4
40.6117	22.9808	6
33.2069	-97.1418	1
34.0456	-80.9672	3
53.5577	-2.04767	2
-6.3428	106.731	29
53.3215	50.0679	1
-23.2969	-45.9737	4
51.67	39.1707	6
39.8343	-86.2319	7
-1.22027	36.9345	1
54.1937	49.5073	1
53.4108	-2.97784	6
-21.3646	-46.0058	1
43.0352	-76.1391	1
40.8166	-73.8335	14
-21.6506	-46.4169	1
51.2799	1.09365	1
42.8962	-78.876	2
60.5355	22.2621	1
52.1438	4.68741	3
-16.6428	-49.2612	11
25.1042	55.3361	2
56.1889	36.9791	1
44.9105	0.943046	1
31.9105	-106.425	5
-20.4787	-51.2229	1
23.7281	-99.1512	1
45.0752	7.61931	1
-33.7258	-70.7434	1
39.6859	-83.9403	2
-29.6051	30.3877	4
38.0402	-78.4849	1
30.3449	-81.6832	5
45.7578	4.8351	21
-25.3235	31.0084	1
33.6742	-111.858	1
53.3549	-6.2476	13
38.289	-122.068	5
-33.6792	151.302	1
52.5379	5.34582	3
48.5455	7.76334	3
4.46447	114.041	1
34.7014	-86.6686	1
53.0157	9.0298	1
56.0292	14.1707	1
43.17	-106.394	1
-31.5614	-52.3342	1
58.0024	56.2962	1
9.8188	-83.8178	1
43.4987	2.36266	1
57.8651	14.1586	1
43.9766	4.79213	1
46.2288	10.8293	1
48.4561	135.099	4
