Latitude 	 Longitude 	 Weight
14.5339	100.938	1
35.528	-108.69	14
-19.9187	-43.9598	345
41.387	-80.7616	1
43.0375	-82.5212	1
50.0645	5.76072	3
48.0199	0.21744	9
-0.216815	100.633	2
53.2109	5.67335	10
9.18928	12.5042	1
38.6137	-77.2882	21
41.6961	-71.5029	7
33.0445	-85.0381	2
52.5412	6.05007	23
52.1674	-2.40599	10
6.45989	3.20375	3
47.5357	21.6237	3
38.808	-90.8526	1
-26.225	27.6938	1
50.795	-2.61142	11
-6.46855	108.12	2
50.1212	8.63661	10
55.8433	37.9576	11
40.0495	18.0566	5
13.7355	100.553	44
51.506	-1.12316	10
35.0384	-76.6958	1
51.9187	19.1348	4
38.0673	-85.8824	4
43.3305	-83.737	1
34.7955	-85.003	1
30.0007	-90.0495	31
12.0682	124.596	1
-37.7362	145.015	48
-14.0093	33.7344	4
13.3272	77.1249	1
48.5562	-3.17705	1
37.0525	30.623	1
36.743	-119.243	2
51.054	-1.80081	2
-24.1434	-47.2845	1
35.7839	-77.5285	3
36.1573	-109.588	1
33.8082	-98.2164	1
36.5172	-4.88835	7
-4.17223	-40.5196	3
32.515	-92.3233	2
-0.62613	100.154	2
37.8485	27.8379	1
-6.90558	107.626	702
-41.4483	147.139	1
2.78473	102.233	13
29.7213	-90.609	1
28.4811	-81.3687	46
52.172	-0.662384	1
29.6934	-91.2732	2
37.9226	-121.304	22
-30.5444	-52.5168	1
8.87987	-75.6895	1
-19.4472	-44.2541	2
-23.8078	-47.7261	2
-18.4436	-70.2939	1
56.3385	9.88076	2
52.0429	18.3787	2
40.9889	-94.7486	1
-20.4583	-54.6457	14
50.6565	12.1345	1
-2.50005	-44.2412	8
-28.739	-49.3605	25
46.2635	20.1404	5
44.9022	-0.710472	71
43.5231	-80.2729	1
41.7444	-85.963	1
42.3049	-71.4369	1
36.9558	-76.2674	19
49.5892	10.9845	3
44.4267	-73.0869	1
-6.29497	106.964	472
-20.0806	-44.5819	3
36.0578	-118.97	6
34.0344	-80.4909	4
5.05876	-75.4856	6
42.5406	-74.8686	1
42.368	-88.9988	3
3.45896	98.5429	7
49.4973	-119.578	1
28.9699	-111.498	6
44.0562	10.0217	1
34.1693	-84.2879	5
47.4815	-0.563019	11
37.0475	37.3315	1
-1.19236	-46.7872	2
61.7302	17.1388	2
38.7126	-9.27044	55
39.4642	-74.555	4
48.3571	-4.76601	1
19.7496	-88.0135	1
35.0131	136.123	10
31.7486	-83.6612	1
32.6656	-96.7484	9
58.163	55.8611	1
42.2046	-88.2545	2
41.6836	12.7771	59
39.4622	-77.9679	2
44.3212	-61.8117	4
36.105	-78.2979	6
-6.33977	107.664	6
33.2062	-117.239	9
53.3215	50.0679	14
48.6785	13.1185	1
51.046	2.84731	2
-21.3646	-46.0058	4
30.4171	-84.2786	38
46.7075	-71.249	4
10.1136	123.516	1
-27.8411	-54.5215	4
-19.9785	-43.782	3
53.3676	-1.84397	1
43.6111	3.16391	5
60.5355	22.2621	1
35.309	-98.7166	1
14.0967	121.163	4
29.2139	-99.777	6
-22.5461	-41.9822	2
30.6239	-84.4154	1
53.6799	9.37268	3
44.8844	-93.4176	5
46.5031	-84.287	1
35.9037	-84.189	3
32.5254	-92.0619	5
-22.1761	-47.3406	1
40.2628	-75.6091	6
16.2345	-93.2764	1
15.4864	120.587	26
39.5422	-87.2171	3
37.0	-79.8692	1
54.2709	-8.47789	1
3.47472	-76.5198	27
52.5379	5.34582	4
-17.5671	-52.5502	2
10.2289	-67.3228	3
-6.41219	107.463	17
56.0583	49.4776	1
-29.753	-53.8242	19
-31.5614	-52.3342	37
48.4548	35.0276	7
-26.4168	-49.0724	33
44.6237	21.1752	2
-29.4284	-53.3818	1
31.9334	-81.931	2
38.2829	-87.1368	1
-6.89416	-35.456	1
49.4555	-1.78797	1
51.8643	-2.22588	14
56.1385	40.4177	12
43.927	4.7976	10
-27.1	-48.635	11
49.0266	2.46772	394
33.8308	-5.48799	5
38.8753	-104.757	5
42.7714	-8.93907	5
47.6131	-0.469075	1
49.8513	20.2544	3
44.7117	142.265	2
40.9132	-88.6304	1
32.4924	-94.1871	1
31.4322	-100.449	1
41.9645	-70.7088	1
43.2049	2.35592	3
46.8701	35.3876	1
37.7914	-3.74254	4
40.338	27.8594	1
52.5629	0.0192425	2
27.7878	-82.3416	7
21.777	-72.2416	1
37.261	-122.03	22
-29.1668	-51.1531	4
25.0966	55.172	7
8.98327	38.7693	1
33.588	-79.0377	2
-6.70495	110.85	4
41.4934	-90.4396	3
37.6482	-97.3001	13
35.9321	-115.091	1
13.0741	80.2375	5
44.6448	10.8969	1
37.8918	-122.534	1
32.8207	-96.7315	49
45.6847	9.46743	8
40.0328	-75.5151	15
-4.0302	122.58	1
29.396	-111.737	1
35.5246	-109.861	1
-22.6446	-43.3052	28
39.2423	-84.5918	27
-1.59438	103.619	20
20.8765	-100.884	4
-26.4775	-51.4095	1
-7.84351	112.032	16
38.9656	-95.2402	6
-28.7189	-53.5192	14
-21.2741	-50.7091	1
