Latitude 	 Longitude 	 Weight
53.8224	-1.54536	1
39.6345	-79.9535	5
35.8929	-79.0682	1
-19.9187	-43.9598	83
51.7688	4.75251	2
4.38768	100.965	2
51.6303	-0.752124	2
33.8843	-5.53533	2
44.0399	42.8722	1
55.6501	37.7092	1
41.6633	-88.1134	14
-1.71186	113.698	1
23.6254	-102.558	1
36.51	-82.4231	2
-21.9575	-50.5321	1
-8.3586	115.551	1
42.8355	-7.73319	1
54.361	-6.41489	1
45.8586	1.23198	2
34.1871	-118.925	1
58.5905	49.6388	6
-25.6313	-49.4623	1
39.1787	-74.724	1
-29.0686	-51.0353	3
56.1459	-3.72793	1
-5.57684	-37.0035	1
55.6081	-4.68077	1
39.2091	-0.430216	3
45.2482	-75.8001	1
-12.8563	-38.3285	1
-19.9329	-41.4612	1
37.6678	-120.975	2
37.5185	127.1	2
54.6669	-6.79809	1
29.9849	-95.3353	1
31.6413	-7.99959	2
-19.5537	-42.6053	1
19.0322	-98.1543	10
-36.851	174.764	3
-28.3065	-53.9244	5
13.0643	80.2325	4
39.0087	-77.0178	9
39.8874	-80.7441	1
-22.4614	-44.4389	2
51.8351	5.97218	3
28.4784	77.119	2
34.2242	-118.469	1
44.9397	-93.106	2
30.0318	31.0121	2
31.8653	-116.609	1
-6.73673	107.041	1
-19.7776	-44.0706	3
34.2598	-6.58084	13
37.7703	-122.436	7
41.0769	-111.967	1
39.8963	-80.1885	1
35.8828	-81.5371	1
50.795	-2.61142	1
35.7262	139.419	3
0.0869	111.512	2
43.703	7.25302	1
51.8819	4.60397	3
-7.33664	108.21	2
60.93	76.5555	1
37.8555	-3.614	1
24.6951	46.7525	1
51.4666	-3.20636	1
58.2103	-6.32184	1
25.8335	-80.2816	1
51.2355	5.67891	3
52.3938	-1.7989	4
36.104	-80.2453	1
30.3237	-95.4857	2
3.63298	114.533	3
0.0188369	-51.0824	26
-2.52402	121.365	1
36.4924	-6.27167	1
40.3691	-76.9294	2
-7.14941	-34.882	7
-26.8728	-49.1096	1
22.3102	114.225	1
51.6663	-0.0843414	7
38.6743	-121.213	1
58.5534	31.2773	2
45.4533	4.7654	1
-8.17458	113.656	1
32.1774	-110.884	1
36.1133	-5.48741	1
-7.69178	108.995	1
37.9983	-1.13438	2
-7.45545	112.667	1
59.9247	10.7755	8
-2.62921	-44.3026	3
33.8637	-98.576	1
22.2703	-97.9168	1
51.4815	-1.05826	1
51.922	5.72694	1
51.3463	-2.98043	6
39.6086	-86.3605	1
41.193	1.59744	2
-24.7202	-53.7596	1
36.1498	-95.9934	1
37.2692	-119.307	2
18.5047	-69.9833	28
55.8627	37.6892	4
37.2854	-120.493	1
40.4009	-79.8709	5
20.3296	-97.8959	1
36.0942	-115.209	1
51.3157	-2.21512	1
-3.79889	102.268	1
53.6424	-1.79027	6
-23.4735	-46.5604	31
-23.6828	-46.5955	132
45.6629	-93.9141	2
49.4732	7.59473	2
27.8851	-97.3265	1
32.1152	-111.041	1
34.1222	-117.653	4
30.5215	-87.0126	2
37.5665	126.841	1
33.829	-116.493	1
56.479	-2.90638	1
42.7448	-78.8722	2
10.4284	76.2154	1
3.60295	98.6751	14
30.3777	-89.0846	1
-21.1427	-50.6213	2
35.697	139.56	1
43.0579	-87.9671	30
6.49136	3.36172	2
-28.2628	-52.4442	3
-4.04642	39.6593	1
25.7917	-100.181	3
45.7012	4.88058	1
40.5123	-88.9999	1
40.5229	-3.88759	1
-22.1868	-49.9589	2
16.959	-99.7356	1
43.1009	131.926	2
38.9515	-90.1922	1
-33.651	151.137	2
33.9498	-117.399	9
-22.5918	-47.3616	1
0.830694	104.072	1
-22.7106	-47.7943	1
-7.61608	111.033	1
41.4029	-81.4348	1
45.0405	41.8935	1
43.6211	3.88758	1
-22.9777	-43.2201	1
37.6323	-0.720397	7
-6.23597	106.988	59
61.211	-149.904	1
-6.90558	107.626	73
68.9541	33.1359	1
52.5597	4.68185	2
-29.5883	-51.3433	2
41.2481	-84.2866	1
38.7307	-82.9961	1
20.1056	-98.7758	1
32.9856	-111.535	2
38.0643	-1.51597	1
-7.9725	112.629	46
4.73945	-74.0666	4
30.3449	-81.6831	1
49.2207	-122.595	1
36.2168	-81.6748	1
26.2174	50.4725	1
0.0247316	36.2772	2
18.1251	-66.4993	1
6.11277	100.374	2
52.6511	5.0829	1
52.2225	5.97964	3
-25.4539	-54.4571	2
-6.56218	106.771	27
54.6286	-1.65198	1
51.7432	-0.980592	1
55.0094	82.6682	1
41.2366	-8.33199	1
26.226	-98.2567	5
50.9156	13.0173	1
-1.34098	116.687	1
-21.8447	-51.7514	1
39.923	-86.1876	2
-7.55918	110.819	28
40.0169	-82.8884	1
51.3364	0.808984	29
53.4249	-2.93168	2
-22.8952	-47.0303	19
33.6511	-112.137	1
41.5229	-7.645	1
-28.739	-49.3605	13
40.0025	-75.118	1
-18.605	-48.2585	1
34.0498	-117.816	2
3.05192	103.091	1
19.4685	-98.7874	10
0.130217	117.477	1
-27.6534	-51.0923	18
-4.17521	121.615	2
31.8126	-106.183	1
-20.1397	-40.3039	3
31.4993	-82.8484	1
58.0065	56.1969	3
-3.20404	104.656	1
56.1595	15.5805	3
25.897	-97.4811	1
36.8687	-2.37369	1
33.9889	35.6451	7
63.3634	19.1967	1
-8.04557	111.719	1
36.8652	-79.7743	1
21.139	-86.8463	1
42.5092	-7.58527	2
37.9586	-87.6769	1
36.1817	-115.07	6
42.3889	-88.3448	3
51.8722	-0.395535	1
49.3967	6.98621	1
-5.79931	-35.2216	12
1.34189	103.73	19
-6.22089	106.6	36
41.9383	-93.3898	6
30.5417	-90.9867	1
