Latitude 	 Longitude 	 Weight
29.6698	-95.1249	1
26.2607	-98.1573	1
-2.62929	-44.3026	2
28.0759	-82.6442	2
36.0564	-115.066	5
-19.9187	-43.9598	1
38.0034	-79.4209	1
39.6186	-75.6795	2
60.3192	24.9696	1
34.7229	-77.3938	1
36.6217	-119.307	1
-1.71186	113.698	1
45.1776	-91.1619	1
39.3457	-76.3869	1
38.5615	-121.461	1
55.5715	38.2275	1
34.7207	135.482	1
51.9089	5.49639	1
58.5905	49.6388	3
40.799	-72.8025	1
55.0811	36.6037	1
54.512	-6.04514	1
18.4463	-69.9359	2
50.362	3.51427	1
37.009	-82.9831	1
51.2378	-0.74914	1
14.4421	120.958	2
49.4162	5.9499	1
43.2844	28.0425	1
50.6215	-2.45905	2
25.7451	-100.388	1
39.5267	2.49959	1
55.4902	37.5495	2
57.3847	21.548	1
36.7867	-119.858	1
47.0895	-122.426	1
39.4135	-74.5141	1
-5.189	122.64	1
52.5286	-1.36854	2
35.078	-106.72	1
53.5256	-1.54917	1
-29.601	30.3715	1
52.1278	5.91333	2
41.4529	-81.5886	1
0.152958	117.48	1
43.3215	-0.343273	2
55.9205	37.9988	1
43.5461	-79.744	1
38.7436	-9.16	6
43.0257	-78.8788	1
37.7703	-122.436	4
-6.71967	108.55	1
64.1411	-21.8866	1
49.3598	1.79644	1
-7.28581	108.209	1
51.7661	0.110915	1
52.307	104.253	1
54.7597	55.8957	11
33.9242	-84.1874	1
43.703	7.25302	3
3.50239	72.9027	1
39.2534	-81.8772	1
33.5546	-84.5967	1
36.0987	-80.2472	1
52.1184	-1.01848	2
41.6915	-0.927332	1
36.556	-4.68407	8
-1.32902	36.8943	4
41.2969	-81.7359	1
28.1031	-15.46	3
-33.0476	-71.4234	1
51.84	-0.275106	3
-7.02659	109.691	1
56.8949	23.8435	4
4.6239	101.117	4
48.4676	13.459	2
48.7093	2.38444	8
37.7006	-121.424	1
-23.5108	-46.8823	3
52.3298	-0.19058	2
37.3753	-121.866	1
49.0273	2.23599	3
42.1971	-8.77156	1
34.1839	-118.888	1
53.1958	45.0387	2
-22.8904	-47.076	1
45.4533	4.7654	3
48.8588	2.34701	20
-7.97656	112.628	10
7.67111	-72.3719	1
38.9616	-75.565	1
35.3366	137.116	1
57.1839	24.9366	3
39.9733	-74.2271	1
2.22231	102.273	3
42.4878	-83.2485	6
52.8852	9.75873	1
40.0263	-105.488	1
14.6342	121.093	1
48.536	7.73221	1
37.2218	-80.4206	1
40.1406	-88.1816	1
47.2045	-1.55788	1
55.6728	12.5521	1
49.4757	7.59066	1
40.8416	-73.4263	1
41.3702	-72.0713	1
40.7048	-74.1496	9
40.0277	-74.8917	1
53.3798	-2.54411	4
2.39449	111.874	1
46.3873	-87.4063	1
18.4037	-66.024	1
35.2035	-80.836	2
-14.5043	-56.8506	1
50.7195	-1.87836	2
-36.9214	174.631	1
43.0579	-87.9671	3
32.6395	-86.0409	1
34.0167	-117.337	11
52.6627	6.75298	1
44.9696	-93.4012	1
52.4743	-1.73297	2
44.2363	4.1691	1
7.35494	-2.3385	2
51.7264	5.53982	7
34.523	-83.3171	1
61.2465	46.8807	1
-20.1646	-43.9547	1
49.348	6.18203	1
-22.5568	17.1097	1
45.616	-106.667	1
32.3483	-90.1936	2
33.3808	-79.1068	1
45.6092	-62.6376	1
36.4486	-77.0942	2
51.9187	0.580929	1
6.44473	100.279	1
-23.5339	-47.0999	1
49.0597	-1.02363	1
35.6825	139.587	11
-34.1218	18.4889	1
32.8327	-83.6442	1
44.447	-79.8013	1
-6.90558	107.626	15
43.7788	7.67124	2
52.6004	19.1766	1
42.9776	-70.9481	1
51.8085	-0.807983	2
26.3612	43.9463	2
35.9429	-78.9123	1
41.2255	1.43859	2
52.6027	39.6031	1
41.3543	69.376	1
52.5699	6.53484	3
51.9141	6.56715	1
54.2721	-2.79158	2
41.0058	28.8649	2
50.9046	5.75833	5
41.6693	-4.77951	2
56.2207	-2.84619	1
-0.869301	100.434	4
52.9908	6.25623	2
12.8152	80.0404	1
41.922	-72.5447	2
-2.75378	107.753	1
35.4468	-84.3673	1
29.9643	31.2651	2
36.5766	-119.619	2
38.1571	-122.264	1
30.2161	-92.0175	1
35.6024	-100.327	1
-21.5723	-45.4008	1
52.3004	4.68486	1
13.69	-89.19	3
51.8517	5.07643	1
28.0467	-82.4282	3
50.4864	-3.52986	2
32.0389	-81.1685	1
52.7907	5.14252	1
46.6659	-1.41626	1
55.6627	37.9302	1
52.899	6.885	2
34.5214	-117.427	1
-4.56236	136.875	1
26.8086	-80.0948	1
37.0143	-76.4439	1
32.885	-117.227	6
3.60384	98.628	7
38.4609	-90.3716	1
53.1826	5.81839	6
5.0451	-75.5007	1
-21.5588	-51.596	1
62.649	30.3449	19
38.7988	-77.5935	1
42.2461	-88.9697	1
46.4396	30.745	1
56.0229	92.8964	3
39.7753	140.079	1
40.0025	-75.118	3
-2.97932	104.738	3
36.1007	-79.839	3
53.3941	-114.226	2
-5.38558	105.265	1
13.176	-59.4575	1
8.62081	-71.1339	1
55.6234	37.4094	1
28.5534	77.0866	1
29.689	-95.5067	3
-30.0997	-51.1593	3
64.5274	40.5787	1
51.3253	3.53527	1
0.0334251	-51.1464	1
56.8105	24.6057	2
54.9855	73.4086	1
42.5132	-71.0288	2
43.209	-77.7047	1
50.6163	37.3015	1
59.3942	18.6174	2
0.0	0.0	4
-6.92702	107.777	1
54.661	39.7144	3
30.5198	32.1492	1
48.0112	7.38496	1
53.3236	6.52299	4
-3.1318	-59.9941	3
32.9989	-96.7327	3
42.5117	-94.19	1
25.0403	-77.345	1
54.9733	-1.60525	4
45.919	6.06256	1
20.7718	-156.457	1
1.5744	110.302	1
54.0018	-6.37173	1
-5.16744	119.438	6
34.0489	-81.0832	2
32.3352	-96.6166	1
50.967	5.48989	1
36.5075	-4.87291	3
6.01225	116.396	1
35.1705	-79.861	1
45.4397	4.38738	1
40.8546	-81.3444	1
49.2884	-123.073	2
41.6879	-81.3751	2
50.9966	-1.47435	2
2.04811	103.382	6
51.3484	3.31489	2
