Latitude 	 Longitude 	 Weight
50.0645	5.76072	1
-19.9187	-43.9598	61
22.3388	114.263	2
5.35651	115.229	1
42.9446	-81.2053	1
-18.0263	-70.272	1
19.3184	-98.2454	2
45.5647	10.2314	2
-22.8437	-47.2618	11
40.579	-4.01259	1
32.7001	-113.962	1
28.51	-99.8336	1
53.0309	18.5857	1
-21.21	-48.2936	2
52.9908	6.25643	13
16.959	-99.7356	6
35.341	-80.7606	3
-6.91607	110.831	1
3.61035	98.4934	1
54.2685	-0.417182	1
-6.58341	106.794	22
30.6044	-96.3394	1
-6.02001	105.942	1
47.7405	7.3463	1
43.4272	6.77244	8
43.2162	-0.246791	8
38.611	-0.0362707	1
54.7597	55.8957	14
50.795	-2.61142	1
38.1299	13.6112	1
38.502	-117.023	1
16.8422	-99.9052	2
4.93427	-52.3132	2
-22.4012	-49.4018	1
54.4181	23.9992	1
44.0264	-88.5437	2
1.38035	103.938	100
-22.356	-48.7695	1
15.8513	-97.0546	2
51.867	6.17455	1
19.8466	-90.5346	5
-26.4195	-51.8397	8
51.9187	19.1348	1
35.8305	-85.9786	2
-25.4814	-54.613	4
29.5124	-98.3082	3
32.3329	-116.929	5
55.8512	37.6756	13
53.6493	55.9152	2
-20.6364	-44.2754	1
56.4004	-3.47885	1
43.3305	-83.737	1
33.3022	-117.342	4
19.7826	-70.6854	1
28.9567	-13.5873	1
-23.8527	-46.8358	5
-22.7177	-42.6203	1
49.5104	3.01081	2
30.6733	29.334	1
36.7543	-2.78205	1
43.1059	-80.7545	1
33.5227	-84.1308	1
51.855	4.67002	10
34.0922	-118.308	163
-19.4731	-40.6271	1
36.5603	-87.3465	2
5.37366	100.41	26
32.491	-84.8741	5
30.4593	-97.7919	9
-1.69975	103.267	1
15.778	-86.7839	1
45.7548	21.2216	1
50.8302	4.34216	19
-7.94422	-35.1191	3
43.4079	-5.79942	5
52.6003	39.6002	5
54.6818	-1.43164	1
42.3444	-3.68944	1
-23.6839	-46.9469	7
9.38547	76.5752	1
37.1258	-121.628	4
52.2858	5.65324	12
-6.90558	107.626	93
-18.6223	-46.5013	1
-41.4483	147.139	1
34.0127	-5.00224	2
48.7912	2.87006	9
-23.7071	-53.4119	2
48.8456	-99.7367	1
-29.9153	-51.1771	17
51.1251	-2.73264	1
38.4061	-0.430703	5
55.7796	38.8307	1
5.97323	116.068	7
3.59335	116.629	1
-3.10017	-59.9893	19
51.4	5.26978	3
43.511	-8.26934	1
41.8551	-80.7884	1
55.9183	-3.26502	5
18.181	-66.2706	2
-20.7399	-48.9021	2
41.8686	-80.1317	2
-3.25993	-79.9677	1
54.777	49.9181	1
45.0011	-86.2707	1
-8.66913	115.215	17
39.8699	4.22283	1
37.9191	-122.062	1
37.9688	12.9749	1
36.1392	-80.3444	1
52.4861	-0.93322	1
-28.739	-49.3605	8
18.4245	-66.0813	14
52.1617	-1.59696	2
16.4486	-95.3794	1
55.1995	30.224	1
46.0908	-64.7703	1
43.8227	-79.3166	2
14.4135	-90.6851	2
55.6182	37.3907	5
47.4391	6.58419	1
23.6024	58.4051	4
-21.5588	-51.596	1
49.5892	10.9845	1
30.4158	-97.5222	1
3.0996	98.4935	1
5.92346	102.243	1
56.8544	35.8997	1
18.9356	73.926	1
42.0017	-87.6644	13
46.3651	6.47418	1
37.8072	-25.4945	2
52.5055	4.86152	17
52.9974	6.55836	6
-23.5321	-46.6628	45
39.9674	-85.8915	1
43.7257	10.8047	1
41.58	2.54893	1
36.1275	-111.251	2
43.5399	7.00931	9
28.9699	-111.498	9
56.0731	-3.44523	6
-20.4644	-45.4235	2
34.1682	-111.931	1
42.7261	2.97705	1
44.5453	6.06236	1
-7.03353	-37.3471	1
-5.40306	-37.5589	1
45.8677	-0.954346	1
47.4815	-0.563019	3
-5.569	-50.0651	1
32.2978	-90.2076	1
