Latitude 	 Longitude 	 Weight
-27.2447	-48.6992	1
50.0645	5.76072	3
33.8337	-118.351	22
61.0527	28.3162	1
22.3388	114.263	5
34.233	-116.052	1
38.6621	29.3906	3
5.35651	115.229	1
41.3195	-82.0309	1
-18.0263	-70.272	1
50.9913	2.22481	2
19.3184	-98.2454	2
55.5715	38.2275	1
35.0145	135.568	3
57.2547	60.1177	1
32.7001	-113.962	1
28.51	-99.8336	1
53.0309	18.5857	1
-21.21	-48.2936	3
60.1837	10.1986	1
29.9743	-90.2361	3
52.9908	6.25643	3
35.6649	139.857	25
25.8111	78.3815	1
38.4037	-121.349	1
53.2975	-3.06868	11
16.959	-99.7356	9
42.8791	74.6121	1
53.2109	5.67335	2
43.1495	3.03364	2
-6.58341	106.794	40
31.6029	130.56	1
51.29	-0.832989	4
55.3637	10.467	1
12.2979	76.6853	1
43.2162	-0.246791	8
38.9751	-9.10021	3
51.576	4.64267	7
37.6792	-121.029	2
50.795	-2.61142	5
44.4006	33.8032	1
41.551	9.30794	1
38.502	-117.023	2
16.8422	-99.9052	1
35.9373	-78.6587	3
-22.4012	-49.4018	1
42.2774	-83.4145	3
13.7355	100.553	10
48.5247	5.11677	1
50.6294	-2.46326	1
18.6269	-68.7116	1
51.506	-1.12316	13
39.9909	-75.3894	5
-6.06001	-77.1672	2
54.174	60.2421	1
19.8466	-90.5346	5
-26.4195	-51.8397	2
-6.09402	106.701	25
51.9187	19.1348	1
40.579	-4.01259	2
35.8305	-85.9786	2
33.7532	-112.317	1
43.9203	2.69712	1
29.5124	-98.3082	3
32.3329	-116.929	2
49.6221	6.5865	1
37.9125	139.062	1
54.0136	27.6675	6
35.636	-108.863	1
22.2703	-97.9168	3
34.9167	33.0189	1
35.1217	-117.97	1
13.488	-88.1937	1
43.3305	-83.737	1
33.3022	-117.342	5
56.0393	37.9111	1
40.7405	-2.54198	1
-22.7177	-42.6203	3
51.8188	4.60591	2
18.0901	-94.1714	1
43.238	0.0725909	1
36.7543	-2.78205	1
41.3759	-88.6275	1
53.632	10.1793	1
48.5562	-3.17705	1
30.5215	-87.0126	4
32.8255	-115.561	1
53.3145	0.0134059	1
41.4654	-82.8206	1
36.5603	-87.3465	2
5.37366	100.41	26
41.9834	-92.6525	2
35.0742	-106.523	4
32.491	-84.8741	6
-30.0294	30.8231	3
-31.8978	26.8727	1
-2.99192	104.822	11
15.7339	-88.5993	4
-7.94422	-35.1191	1
52.6003	39.6002	8
45.6447	13.7737	1
54.6818	-1.43164	2
19.3343	-97.9228	3
37.3382	-122.37	1
42.3444	-3.68944	1
41.817	-71.4212	10
51.6636	-0.810113	4
37.1258	-121.628	4
-6.90558	107.626	170
33.6666	-112.455	2
28.4811	-81.3687	16
48.4052	-4.47429	2
-23.7071	-53.4119	2
38.5617	-121.461	15
17.6348	120.411	1
-29.9153	-51.1771	14
43.222	-123.356	1
56.8105	24.6057	1
44.4769	-73.1973	1
47.8078	-2.38669	1
51.9141	6.56715	1
55.7796	38.8307	1
3.59335	116.629	1
37.8223	-85.7682	2
41.8005	-88.1674	15
-7.97425	111.534	1
-19.4472	-44.2541	1
52.3326	0.529435	1
49.0656	2.82063	1
-18.4436	-70.2939	1
40.5594	-111.982	2
52.0429	18.3787	1
58.0333	7.45	1
-8.66913	115.215	26
31.6061	-97.1174	1
-21.5723	-45.4008	1
49.0555	3.37798	2
-28.739	-49.3605	24
52.1617	-1.59696	4
54.1242	-114.398	1
37.0368	27.4335	2
43.7392	7.42248	3
20.7049	-101.338	1
55.8542	37.6535	29
43.6777	13.2102	1
43.8227	-79.3166	7
4.93567	8.34129	3
39.2852	-76.7432	11
-8.08803	-79.0091	1
33.9453	-116.955	2
47.4391	6.58419	1
17.9993	-66.5993	1
-7.44756	112.705	4
40.2627	23.239	1
-3.27014	-79.9659	6
30.4158	-97.5222	1
41.9548	-4.28866	1
56.8544	35.8997	3
43.4886	-8.22519	1
48.9893	2.258	71
-22.7467	-47.1389	1
28.2156	-80.6014	1
46.5712	30.7929	3
37.8072	-25.4945	1
52.5055	4.86152	16
52.9974	6.55836	2
47.4687	6.84151	1
18.4976	73.8179	4
39.9674	-85.8915	1
-1.2964	-47.9321	1
18.4285	-69.9936	7
54.4292	-6.29417	1
49.4973	-119.578	1
53.2735	-6.61591	1
28.9699	-111.498	5
37.4237	-120.781	1
34.1682	-111.931	1
42.7261	2.97705	1
44.5453	6.06236	2
-7.03353	-37.3471	3
48.1469	11.4418	1
-33.7843	150.766	1
47.4815	-0.563019	4
-5.569	-50.0651	2
44.0358	42.8779	1
19.4325	-99.1534	234
14.6248	-61.0731	4
51.0349	4.45955	1
19.1103	-104.343	1
52.9789	36.1087	10
35.3519	136.767	1
51.8267	-0.645674	2
43.5428	-99.2455	1
49.2884	-123.073	19
33.5112	-82.5049	1
-19.2362	-43.247	2
41.5844	-87.6035	1
55.7143	60.4835	1
-8.20153	112.734	1
41.9541	3.20771	1
37.8251	-7.87556	1
39.6578	-3.82036	1
41.5583	60.9905	1
-41.706	-73.3391	1
-23.417	-54.5603	1
-33.0242	-71.6408	16
36.773	-76.1859	4
-6.83318	106.826	22
-30.9286	-51.8289	2
7.51874	4.51626	3
58.163	55.8611	1
56.1459	8.81087	2
45.0545	3.91226	1
38.9893	-76.8728	44
45.6921	-122.663	2
41.2229	-111.973	3
-23.6716	-46.4477	29
41.6836	12.7771	59
8.55103	-71.2345	5
39.3235	-82.084	2
-29.2431	16.8805	1
-8.13198	111.617	1
52.4991	5.49717	1
51.2251	51.3628	1
39.4622	-77.9679	2
44.3212	-61.8117	2
36.7449	-3.51984	1
-0.496147	117.148	7
37.3876	138.589	2
52.3188	6.90207	5
18.7813	-95.7786	1
54.5211	-6.04748	4
39.7797	-86.1329	3
4.17242	73.5037	4
-6.97127	110.019	1
53.011	9.03651	3
43.9407	4.83351	3
46.7952	-2.0158	1
7.10876	-73.1108	2
47.842	35.1243	1
46.7352	-117.165	1
-23.2969	-45.9737	10
35.0824	138.516	1
51.3587	5.56415	4
45.245	4.64206	1
-24.7871	-65.4129	1
34.4152	133.28	1
51.046	2.84731	1
39.3735	-104.841	1
66.6685	66.3855	1
53.4108	-2.97784	18
-21.3646	-46.0058	1
3.58111	98.6676	51
-24.2508	-51.6792	1
14.4311	120.875	4
43.0352	-76.1391	3
28.0838	-16.7339	2
-6.28588	107.363	9
49.1737	0.658647	1
6.38993	100.426	2
45.9496	5.32601	1
46.9589	-122.823	2
43.6111	3.16391	1
9.85554	-84.3384	1
40.0109	-74.8728	2
