Latitude 	 Longitude 	 Weight
41.4799	-87.6792	3
41.6814	-72.941	1
-19.9187	-43.9598	9
-8.27614	115.163	1
32.6531	-116.974	4
38.1377	13.3472	2
-26.2885	28.2149	1
19.3184	-98.2454	1
40.1418	-76.6099	1
32.0066	-97.1302	1
5.274	115.248	2
-21.21	-48.2936	1
37.7547	-100.043	2
40.9521	-74.2258	6
16.959	-99.7356	1
33.5612	-117.17	1
33.8843	-5.53533	3
33.6039	-117.658	1
36.3998	-78.1593	4
5.61327	-0.17579	2
54.5997	-5.93145	2
50.795	-2.61142	2
2.82559	101.87	10
16.9585	-96.7504	1
50.1212	8.63661	1
45.7886	5.03669	1
54.7515	83.0878	1
49.008	2.40358	20
41.7625	-72.757	7
55.9154	38.0113	1
55.5715	38.2275	1
53.1094	6.08897	1
38.4324	-78.8627	1
32.3329	-116.929	3
42.6944	9.43883	2
40.7142	-74.1907	9
33.8428	-79.0565	2
36.604	-119.449	1
38.7913	0.0334633	1
36.257	139.412	2
53.9743	-0.855013	1
47.8719	-122.258	3
27.7699	-82.6343	1
32.491	-84.8741	1
51.171	7.07067	1
51.2086	-1.47248	1
52.6003	39.6002	3
6.02306	116.153	3
41.2836	-84.3511	1
62.0247	129.726	10
47.251	-1.93632	1
-18.6223	-46.5013	1
9.33254	-79.8886	1
33.1736	-96.8671	1
42.1459	13.4929	3
41.1969	-80.7644	2
48.2215	15.7608	1
36.3468	-82.4071	1
52.677	-1.78256	1
49.268	2.47741	2
53.0184	18.6153	1
42.1015	-79.2389	1
6.11277	100.374	4
42.1255	-80.0785	1
44.4827	26.0736	1
5.74759	0.0504532	1
55.9183	-3.26502	8
38.7818	-90.3577	1
28.0467	-82.4282	22
-28.739	-49.3605	3
52.1617	-1.59696	4
50.3656	3.52725	2
35.5128	-97.6411	1
-33.4426	-70.648	9
34.8028	135.348	4
43.5467	-5.66625	1
39.0869	-77.154	3
37.7286	-79.3551	1
36.0689	-79.8047	1
-8.14643	114.407	1
42.7489	-84.4805	1
-24.1931	-54.2211	1
51.62	19.3657	2
56.8747	16.6574	1
28.2156	-80.6014	1
41.9383	-93.3898	1
37.8072	-25.4945	2
35.9361	-82.1615	1
38.8754	-77.0944	22
42.0091	-88.0748	1
39.2339	-84.9978	1
20.5908	-100.402	10
28.9699	-111.498	1
38.216	-92.8135	1
13.8855	100.591	1
32.5561	-97.1316	1
34.1682	-111.931	2
43.5357	5.43216	1
-29.3289	-49.8051	1
-1.45502	-48.5024	6
36.6807	-76.1936	2
56.6102	24.2008	1
-7.18099	-39.2756	1
42.2868	-71.7138	1
56.0229	92.8965	8
-6.71779	108.556	2
59.2239	9.54732	1
41.2229	-111.973	5
30.4711	31.1789	1
6.12256	102.243	1
52.7898	4.79728	2
30.2847	-91.2438	1
41.1741	-95.9919	1
-23.5142	-46.4973	19
-5.17241	119.39	10
40.6117	22.9808	1
37.3876	138.589	1
8.55082	-71.234	1
18.7813	-95.7786	1
48.4983	-2.73959	1
53.5577	-2.04767	2
-5.42423	105.251	2
-6.3428	106.731	67
40.9437	14.2333	1
53.3215	50.0679	3
-23.2969	-45.9737	2
35.0263	-85.5597	1
39.7056	-75.6696	1
39.5011	-86.0494	1
47.3967	-120.305	1
3.58111	98.6676	11
35.1234	136.11	1
42.9117	-87.8607	5
41.7771	-72.5238	4
56.1889	36.9791	1
52.0231	5.55162	2
40.0396	-75.6183	2
30.7924	31.0081	1
10.9515	-74.7782	7
47.0732	15.4419	4
42.1725	-83.2186	1
46.2557	9.4199	1
45.7578	4.8351	7
32.793	-96.9361	6
36.0076	-80.2031	1
40.9298	29.1345	3
-34.4124	150.891	2
44.0937	-70.2132	1
33.1337	-111.78	1
58.8188	5.70766	2
48.0599	-106.042	1
46.1451	6.08247	7
36.2749	-95.8355	1
30.0616	-95.1662	1
25.559	-97.5474	1
26.2097	-98.2979	4
-31.5614	-52.3342	2
55.6906	37.3278	4
-23.3518	-51.1743	1
34.5543	-118.056	1
40.0997	-85.5871	1
41.4348	-88.2292	1
40.5862	-111.637	1
41.3948	-73.4721	1
30.8336	-88.1158	2
52.5287	-1.36851	1
48.7143	1.35211	2
8.59178	-70.1751	1
51.6688	-3.74911	1
22.3111	-100.956	3
52.6973	-1.98023	2
53.3549	-6.2474	16
52.4143	-1.5192	3
39.8769	-7.1126	3
51.585	5.06361	5
33.9481	-84.5422	1
40.4314	-79.9806	9
17.9668	-66.5891	1
7.924	98.3857	1
53.6753	-0.432258	1
42.6681	-73.8107	1
41.8711	-80.1223	3
39.6074	-84.2286	1
36.7528	-3.52421	2
54.6456	-5.71793	1
33.5489	-86.7668	1
51.4407	7.01623	1
4.85168	-52.3254	1
-0.0410653	-51.173	1
56.8371	60.5928	10
33.2856	-82.1004	1
43.2365	-86.2565	6
43.3484	3.2346	2
34.1832	-114.237	1
35.4709	-86.08	1
-1.27293	-48.4598	3
