Latitude 	 Longitude 	 Weight
35.528	-108.69	25
-19.9187	-43.9598	858
41.387	-80.7616	1
27.8303	-97.2212	1
50.0645	5.76072	2
38.5615	-121.461	178
39.2302	-94.4722	5
-34.5867	-58.5734	16
32.3527	-92.7251	2
39.9568	0.263533	7
31.2232	29.958	32
39.5385	-119.862	23
-22.8099	-43.1853	180
-0.216815	100.633	9
52.9265	-0.645783	2
43.3021	-2.20727	1
52.0429	18.3787	4
39.4572	-82.2897	1
43.6048	-73.2392	1
42.6483	12.9537	1
53.3107	8.7361	1
50.8396	-0.815536	4
52.1674	-2.40599	15
46.7343	-117.171	4
60.4672	26.9411	2
50.795	-2.61142	9
43.6009	78.2529	1
52.2854	8.91688	3
3.16532	101.885	162
28.4473	-81.2902	77
32.7575	-88.9737	2
50.1212	8.63661	26
37.0103	27.2568	1
51.9417	-7.99546	1
52.4211	0.76017	1
54.174	60.2421	1
35.0384	-76.6958	2
51.9187	19.1348	14
38.0673	-85.8824	10
34.0663	132.998	1
27.9626	34.4725	1
-7.10258	110.281	62
-20.748	-42.8803	2
-18.6364	-46.4172	18
11.1472	124.887	1
51.7299	11.1164	1
-34.5757	150.855	2
30.1671	-81.8482	10
58.3613	11.9121	2
13.3272	77.1249	1
43.5204	1.55271	1
32.065	34.7874	2
31.9802	-93.9989	1
21.4883	-104.901	4
28.9498	-96.6971	1
52.9691	10.5584	2
-1.69975	103.267	1
40.9705	-80.9378	2
5.06824	-75.5095	17
36.1573	-109.588	3
45.6447	13.7737	3
36.5172	-4.88835	8
-4.17223	-40.5196	3
32.515	-92.3233	1
33.9053	-94.8313	1
48.9561	6.2744	2
37.6768	-82.2892	1
37.8485	27.8379	2
51.0938	1.13786	2
55.9774	26.299	1
69.3596	88.2029	1
-12.7627	-76.6008	1
44.5313	14.894	1
38.1084	-0.870834	5
35.4798	-81.2436	1
9.92428	-68.3085	1
29.6934	-91.2732	2
37.9226	-121.304	61
33.0945	-82.029	2
-34.4591	-58.6512	1
27.7515	-15.5997	2
34.4791	-118.321	2
56.3385	9.88076	4
4.14787	-73.6098	3
41.9502	-86.3397	3
-20.4583	-54.6457	27
-20.2724	-41.5504	3
38.5367	-0.133035	1
46.3154	21.0195	1
40.1884	-80.2611	14
46.2635	20.1404	10
-7.0949	110.925	7
44.9022	-0.710472	163
46.5889	-120.553	5
50.861	5.81868	114
-1.05373	36.7782	2
44.4267	-73.0869	1
7.40614	13.5501	1
-20.0806	-44.5819	4
-22.0829	-49.742	1
-4.1373	104.184	1
34.0344	-80.4909	13
-12.8797	-38.2963	6
40.1523	-76.8133	1
37.8072	-25.4945	2
30.1755	-82.6452	4
35.2068	4.17955	1
47.1305	2.14947	5
43.3505	-8.40263	4
-35.1888	149.658	1
3.45896	98.5429	21
28.9699	-111.498	6
47.3116	-2.20506	1
-6.7111	107.111	27
57.5084	-1.80227	1
47.4815	-0.563019	20
-4.91685	-38.9252	2
-2.06885	102.272	2
25.5835	-100.483	4
-1.19236	-46.7872	6
34.7475	137.841	7
54.6165	-1.06366	4
49.2884	-123.073	58
48.9458	2.49126	1422
48.3571	-4.76601	1
39.7308	-81.5156	2
-26.4233	-49.1569	52
35.0131	136.123	13
56.0229	92.8965	51
44.2127	-100.247	2
31.7486	-83.6612	1
56.2035	15.2777	1
58.163	55.8611	2
36.8223	-76.7396	1
42.2046	-88.2545	4
-32.0143	-52.0448	5
15.5836	120.499	25
38.7894	-121.227	23
45.457	-73.9003	7
19.805	-98.4891	1
34.009	-81.9102	2
39.4622	-77.9679	16
44.3212	-61.8117	8
45.005	-64.6031	1
36.105	-78.2979	8
34.0456	-80.9672	156
53.8736	-0.476868	22
-41.2863	174.776	3
49.7503	3.07061	1
46.2533	5.65817	1
37.3554	-121.071	9
53.3215	50.0679	24
-4.14148	137.092	2
57.1691	23.2264	1
48.6785	13.1185	1
54.1937	49.5073	2
51.046	2.84731	3
2.3877	99.1389	4
-22.3704	-49.0361	6
43.0352	-76.1391	57
42.0851	-87.8263	46
53.2107	50.2191	3
10.1136	123.516	1
-27.8411	-54.5215	7
-4.55021	136.892	2
-19.9785	-43.782	2
8.98002	-71.9014	10
16.8691	-99.898	3
-8.48469	-35.6869	1
39.6321	-84.1588	7
6.31505	99.8568	6
48.6274	4.17626	1
35.309	-98.7166	9
45.0974	-93.3611	23
38.2908	-76.8045	2
39.6871	-83.886	55
30.6239	-84.4154	2
53.6799	9.37268	5
18.0528	-65.9087	2
46.5031	-84.287	1
43.1268	-76.3023	2
37.6308	-77.6482	15
-12.0336	-76.9531	122
32.9221	-97.6089	1
43.8312	-85.0686	1
6.60011	3.23036	55
-10.8797	-37.1759	13
37.4834	14.9671	5
52.0828	-0.739571	9
36.1665	-79.7388	64
42.8703	-77.2397	3
37.0	-79.8692	2
-18.6831	-41.0904	1
44.7799	5.03514	1
52.5379	5.34582	13
-24.2057	-51.7481	1
19.9147	-155.879	1
56.0583	49.4776	2
