Latitude 	 Longitude 	 Weight
42.8804	-85.7716	4
9.9461	-84.1952	4
-19.9187	-43.9598	41
18.3392	-65.7116	2
47.7055	6.92287	1
55.7305	24.3341	2
38.1377	13.3472	2
39.9688	-84.9258	1
45.4957	-73.5828	5
14.5339	100.938	1
19.3184	-98.2454	2
39.9703	-74.1321	3
55.5715	38.2275	4
43.1129	5.87429	1
32.7001	-113.962	1
55.8958	26.5374	1
34.6809	135.163	1
-22.7134	-42.6175	1
34.0696	-86.7718	1
41.406	-80.9548	1
47.5596	0.570286	1
42.7466	-75.77	9
52.9908	6.25643	3
21.4584	-158.014	2
43.1286	131.914	3
44.3299	4.79347	1
-0.238819	-50.7698	1
3.28063	101.477	37
-0.216815	100.633	1
50.4147	1.58081	1
-20.1478	-44.8608	2
37.0802	136.917	1
36.2867	-115.208	15
39.7375	-74.1164	1
40.1848	-82.9014	4
5.40243	100.695	2
-24.1895	-54.0695	1
1.37632	103.77	83
40.0638	-75.1363	42
42.6866	-8.98969	2
39.8439	-75.3748	2
34.3352	-80.9596	1
55.9041	-2.99589	1
45.2208	-123.08	2
40.4235	-79.267	1
5.34917	116.165	1
45.79	15.7716	1
25.6322	-107.959	1
48.6406	6.31586	2
-6.5388	107.463	4
50.795	-2.61142	1
42.0483	-72.5696	6
38.502	-117.023	4
-33.2367	-70.7706	2
38.1989	-81.5108	1
35.0675	-92.457	4
56.0519	-2.72198	2
36.104	-80.2453	1
-30.0344	30.8407	1
42.3937	-82.8628	4
38.923	-84.4109	1
54.174	60.2421	1
44.9796	-123.01	3
43.6814	-79.7831	6
39.5785	-80.136	4
4.76907	100.836	1
51.9187	19.1348	2
49.7781	0.479909	3
35.8305	-85.9786	3
33.7532	-112.317	1
32.3329	-116.929	1
48.7045	1.57461	1
47.6375	19.4986	1
25.0316	-77.3458	1
-20.748	-42.8803	1
58.8909	55.6322	1
-20.6364	-44.2754	1
-2.96991	119.901	2
40.2961	-111.695	3
35.895	-83.5661	1
0.527656	101.432	10
-6.10311	-38.1598	1
36.6705	-121.628	4
40.7405	-2.54198	1
41.9426	-87.9613	10
33.1769	-117.097	1
53.3934	-2.91859	28
2.04325	102.623	3
23.5877	58.4059	1
5.55652	117.855	1
14.0962	-87.1903	3
37.7717	-121.202	3
-21.21	-48.2936	2
4.58211	101.132	37
43.7697	5.25714	1
38.6795	-6.40246	1
45.4308	-75.6816	4
35.0742	-106.523	3
52.2605	-113.768	1
51.4914	-2.76025	2
35.7932	135.645	1
44.9557	-0.0198585	1
49.9236	2.8477	1
50.8302	4.34216	22
41.7282	13.0022	1
49.3363	1.38275	1
52.6003	39.6002	5
32.6828	-114.619	1
48.9536	2.4883	94
42.5165	-70.9526	9
35.4275	-78.6225	1
51.2865	4.0592	1
51.4149	21.154	1
37.6768	-82.2892	1
-23.6839	-46.9469	7
27.7699	-82.6812	4
51.6042	-1.24984	8
34.5621	-117.338	2
32.9042	-117.139	17
-6.90558	107.626	243
