Latitude 	 Longitude 	 Weight
50.0645	5.76072	5
53.4039	-1.56304	4
52.5126	13.2741	1
49.9283	2.84833	1
49.0322	7.92956	7
47.5308	21.6603	1
43.9291	2.13251	6
45.5647	10.2314	1
55.5715	38.2275	1
34.6809	135.163	3
52.9908	6.25643	1
35.4589	136.731	1
-34.0513	151.139	2
48.9683	2.89273	42
48.8534	2.64746	772
62.0317	129.722	4
49.6479	3.24741	2
55.9607	-3.20036	3
47.7906	1.03705	1
46.4445	7.56682	1
49.055	7.41731	1
44.9281	2.44146	2
38.502	-117.023	1
16.8422	-99.9052	1
-9.95786	-67.8066	1
41.3332	-81.6139	2
48.0242	0.3352	9
51.506	-1.12316	1
-37.4731	-73.3523	1
33.3555	-5.26877	2
43.7901	-0.922984	5
53.2592	-1.38378	4
29.868	-97.9399	1
51.9187	19.1348	1
40.579	-4.01259	1
32.3329	-116.929	1
18.4793	-69.9364	4
22.2703	-97.9168	1
50.656	5.21006	1
48.0795	-4.32464	3
50.3377	3.02159	17
45.5414	4.64655	5
51.6841	5.29002	1
45.4218	-73.9645	2
42.9427	-74.1917	1
48.5562	-3.17705	1
51.6661	-0.0830781	5
45.6446	-0.963396	2
42.7177	3.0288	5
45.7463	-0.644579	2
47.9974	2.55948	1
37.1195	27.393	6
46.3212	-0.461418	5
43.1496	3.03367	1
33.8139	-93.8821	1
36.2579	-109.178	1
48.1261	1.52292	3
38.4061	-0.430703	2
6.11277	100.374	3
40.6649	16.5702	1
41.8005	-88.1674	15
34.7829	134.849	1
3.22243	101.571	10
50.6274	3.02331	221
0.75398	124.313	1
43.6347	4.82084	4
48.2063	5.95524	2
43.3955	6.29457	8
45.9645	5.35165	1
56.0229	92.8964	2
56.8544	35.8997	1
33.6871	35.4295	1
52.5055	4.86152	3
56.8105	24.6057	1
53.1302	18.0379	1
50.4714	5.29501	1
28.9699	-111.498	1
49.201	3.76355	1
48.5198	-2.72505	3
48.3946	7.44362	4
50.6125	-3.65299	2
18.5442	-72.2854	1
51.5514	0.001423	8
43.0952	5.82912	11
47.4815	-0.563019	17
38.4052	-105.26	1
35.684	-81.991	1
54.5055	-105.685	1
48.2331	4.71679	1
49.2884	-123.073	1
29.9341	-90.0244	3
36.9748	-86.4302	1
47.9231	3.6532	1
