Latitude 	 Longitude 	 Weight
34.9667	-81.9385	2
41.4799	-87.6792	4
-19.9187	-43.9598	10
-2.93492	115.152	1
40.3887	-75.2668	1
38.5615	-121.461	40
55.5715	38.2275	2
39.2272	-76.7608	13
39.9429	-0.0827677	1
42.5318	-92.4517	2
35.4275	-78.6225	2
33.9609	133.294	1
28.5797	-80.8192	1
38.0378	-84.501	7
41.1354	-85.0619	3
32.305	-93.9999	1
40.2298	-83.3489	2
32.6032	-83.5826	2
35.4918	139.443	6
30.5173	-99.7885	1
50.795	-2.61142	2
39.4395	-83.8203	3
36.0615	-115.083	17
6.48598	3.169	1
39.6321	-84.1588	1
38.502	-117.023	5
34.6992	135.492	7
54.4181	23.9992	1
42.2222	-84.9815	1
32.4761	-86.1582	3
41.0784	-8.56101	1
42.3937	-82.8628	4
60.1538	11.1885	1
4.33218	-74.3786	1
48.7093	2.38444	52
43.6814	-79.7831	5
43.3338	-83.5399	1
55.0563	-1.74735	2
38.8735	-92.0017	1
42.0712	-88.0453	8
51.9187	19.1348	1
-16.4024	-41.0586	1
51.4481	0.318977	1
28.5814	-81.3226	9
42.7782	132.872	2
35.4098	127.378	1
37.5267	-120.887	1
52.1789	-0.88267	3
40.6208	-74.0806	13
29.9616	-95.5708	6
59.9674	11.0659	1
34.7955	-85.003	1
34.94	-79.7629	1
42.9138	-85.7446	1
42.2391	-84.4079	1
-37.8185	144.967	4
31.4791	-110.259	2
30.5215	-87.0126	1
36.768	-108.159	3
46.7226	142.742	1
43.5252	0.1685	1
38.834	-76.7508	12
-7.26133	112.745	52
-31.5614	-52.3341	1
52.6003	39.6002	3
53.2195	6.55377	1
57.442	10.537	1
41.7794	-72.6859	2
-6.90558	107.626	76
39.2809	-81.5426	1
39.7594	-6.24756	2
10.0655	-69.3398	2
53.0195	-2.15902	2
30.0623	-94.9228	1
44.9397	-93.1061	1
40.9219	-76.9719	1
37.8223	-85.7682	4
41.8551	-80.7884	3
34.1146	-84.5184	1
27.4937	-99.493	2
38.8788	-77.407	7
18.352	-67.0021	1
45.0011	-86.2707	2
-22.2168	-54.8318	1
52.023	47.8386	1
52.9722	-2.67968	1
38.6463	-77.3461	5
52.9373	-1.45127	4
34.5417	135.454	1
21.4921	-158.075	3
47.8708	-122.223	2
51.4292	-0.35344	6
37.7602	-97.2833	5
52.2316	5.16053	4
-4.24558	15.2785	1
41.8951	-87.9438	8
42.6199	-83.9965	1
50.9576	6.96747	2
6.55806	3.5108	5
56.8544	35.8997	5
39.9821	-104.818	1
43.615	0.93753	1
42.7489	-84.4805	12
41.1307	-85.373	1
40.4466	-3.7997	3
-36.8288	-73.0439	2
55.9601	-3.19984	1
42.4928	-83.027	5
-21.1873	-45.4382	1
39.9674	-85.8915	2
60.238	24.9892	2
32.4406	-94.7298	2
39.4382	-74.6908	1
28.9699	-111.498	1
