Latitude 	 Longitude 	 Weight
42.9906	-7.57063	1
-2.62929	-44.3026	1
51.5143	6.85387	8
-19.9187	-43.9598	17
1.25664	103.821	6
5.40103	-3.98776	1
51.4465	6.72802	1
45.0752	11.7644	1
35.4055	136.314	1
49.3111	6.74548	1
36.7301	31.5236	1
45.0398	38.9989	4
12.9751	77.6215	1
23.6254	-102.558	1
36.7452	-4.08939	4
-7.8183	112.025	1
30.5905	-96.3556	1
43.6579	10.6373	1
58.5905	49.6388	4
35.6696	139.922	3
55.0811	36.6037	5
40.0978	-88.2497	1
42.7466	-75.77	2
41.1662	29.574	1
51.5096	4.31975	2
47.4597	2.16314	1
50.362	3.51427	1
61.4977	23.7573	1
44.447	-79.8013	3
51.7688	4.75251	2
43.1478	131.915	5
16.959	-99.7356	1
3.46206	101.655	1
47.6227	8.22252	2
19.0322	-98.1543	8
51.6861	-0.38015	1
-17.4297	-39.8367	1
33.8843	-5.53533	1
50.8653	4.25405	3
51.7968	-0.664166	1
33.1627	-117.314	1
-6.81917	107.128	1
34.2693	135.363	1
58.2181	12.3573	1
51.5882	-3.7691	1
47.4394	18.9107	2
51.7452	4.18774	1
37.3487	-2.44246	1
29.3096	47.9832	1
52.1674	-2.40599	1
43.3531	-5.88123	2
1.20363	-77.2768	1
47.5357	21.6237	1
53.7205	-1.95008	1
37.3831	-5.92354	2
-6.21603	106.964	18
-12.0783	-77.0817	10
-27.595	-50.3811	1
52.307	104.253	4
40.0691	45.0382	1
35.6679	-86.8911	1
52.573	-1.547	1
9.72683	-63.1553	1
50.1212	8.63661	11
-31.8005	115.783	1
47.1623	16.1592	1
35.356	-118.938	1
-17.9039	-51.7309	1
-33.3401	-60.2203	1
33.6783	-117.784	1
48.6833	9.81444	1
39.9789	32.7006	1
4.42053	114.007	1
39.6122	-119.67	1
30.4017	-87.3022	1
50.6033	3.09304	4
50.5153	4.38191	1
41.3663	-8.75147	1
41.4215	-81.9045	1
-7.39136	109.191	1
43.1058	6.116	4
47.8092	12.3625	1
54.174	60.2421	1
-29.6926	-51.2448	6
51.917	4.59611	1
-7.14941	-34.882	2
22.3111	-100.956	7
44.0764	12.5588	1
