Latitude 	 Longitude 	 Weight
33.6849	-78.9601	4
39.3542	-101.705	1
58.1725	16.8496	1
42.6703	21.1712	3
41.6814	-72.941	7
-19.9187	-43.9598	354
37.3201	-79.9806	3
39.7439	-75.5597	8
51.8586	4.35768	10
34.1938	-83.4521	2
-7.64123	112.902	2
38.1377	13.3472	33
52.0175	5.83418	5
19.3184	-98.2454	9
38.5615	-121.461	17
9.97036	-84.218	9
55.5715	38.2275	3
-6.26697	107.009	238
37.6799	-97.4703	10
34.2666	-5.92025	72
31.1512	-81.4944	1
37.2376	-6.9188	3
37.412	-79.1672	1
-21.9381	-50.5199	4
61.0527	28.3162	1
10.5968	7.48282	2
25.256	51.5522	6
51.4732	11.9725	1
42.4079	-71.162	17
-0.216815	100.633	1
3.88576	100.933	1
-23.2765	-46.7111	5
39.4572	-82.2897	1
39.216	-76.6648	50
31.6413	-7.99959	48
29.4634	-98.67	36
-19.5499	-56.0323	2
42.4374	-123.313	1
35.4052	-80.4475	2
51.838	5.98721	8
18.3568	-93.251	4
56.6901	23.7787	1
43.6126	-72.9788	1
42.7822	-1.35243	1
21.0288	-101.258	2
-8.36296	-74.5676	1
38.9961	-5.72435	3
40.7764	-111.92	25
-25.9924	-52.5902	1
55.9529	92.4567	1
53.401	-8.30764	1
41.3292	-74.3538	2
-33.8642	151.207	6
47.3195	-114.096	1
50.795	-2.61142	14
42.8071	-5.63558	6
32.4519	-85.7151	2
44.9917	0.179577	4
50.1212	8.63661	12
46.0443	4.08051	1
-3.414	114.843	7
6.49443	124.842	2
31.0671	-93.2506	1
58.3025	22.7216	1
-23.8573	-50.4314	1
45.7263	-93.7408	1
41.0784	-8.56101	54
38.8584	-8.98005	2
18.4912	73.8157	6
43.1952	-2.46631	1
43.7297	142.06	1
-20.5326	-49.1044	1
43.6814	-79.7831	8
29.8204	-97.993	6
38.8735	-92.0017	1
-26.4195	-51.8397	1
44.6407	-72.94	1
51.9187	19.1348	4
35.8305	-85.9786	2
5.04299	116.443	1
37.8749	32.5365	1
32.3329	-116.929	4
36.1797	-78.9004	1
51.6427	-0.367151	20
54.0217	19.0481	1
59.3853	17.9377	25
51.9008	-8.47483	2
-26.0158	28.2618	2
52.1516	-0.444921	1
22.2703	-97.9168	5
-20.6364	-44.2754	1
46.2868	-71.9828	1
58.5905	49.6388	3
41.5342	-8.62018	1
32.2187	-101.498	7
41.0712	14.658	5
-7.89481	112.507	15
36.6888	139.889	1
47.4013	8.39824	1
43.8775	-91.2289	3
31.1099	-83.4234	1
-3.99517	122.501	2
34.7103	138.192	3
36.7543	-2.78205	2
34.8638	137.058	1
-22.2854	-45.9068	1
50.5422	5.55708	1
32.3976	-99.4992	1
-5.17913	-36.3534	1
-6.86006	107.481	81
42.9427	-74.1917	3
5.55652	117.855	5
-29.5925	-50.8105	34
0.380584	109.946	2
19.7046	-98.9898	7
-19.4731	-40.6271	1
-21.21	-48.2936	11
43.6112	-84.5648	1
52.4566	0.308199	1
13.1577	-61.219	5
33.233	-86.806	3
39.8742	32.8255	20
-16.4622	-49.9525	1
32.491	-84.8741	4
-11.031	-37.4771	1
35.7932	135.645	2
41.0769	-111.967	1
54.2882	-1.59414	1
4.34365	100.904	5
31.1487	-94.8012	1
5.37802	101.046	3
-31.7603	-52.3487	1
41.2587	13.6113	2
43.1305	-79.0476	5
55.5965	36.8846	1
52.6003	39.6002	14
3.29526	101.649	79
7.69923	-72.354	2
38.9388	-94.5337	14
42.5117	-94.19	1
-23.6839	-46.9469	45
51.3597	42.1119	1
9.83999	-84.3269	1
41.6409	12.6928	3
5.66931	116.364	2
56.3572	37.5291	1
-0.238819	-50.7698	1
36.7828	-119.795	4
30.6918	-88.1786	4
30.4592	78.0747	2
-29.9153	-51.1771	85
36.8029	-114.101	1
32.3382	-93.8285	2
16.959	-99.7356	3
56.8105	24.6057	1
-22.6965	-43.5244	12
-6.818	-37.8213	1
43.2151	76.8932	1
41.8698	-89.1667	1
37.8223	-85.7682	5
52.8326	-9.43972	1
-21.2162	-41.8904	1
43.511	-8.26934	2
39.9789	32.7006	16
33.0364	-97.1308	4
4.64077	-74.0651	60
9.35791	-82.2505	1
-5.94912	-35.4266	4
39.57	-76.9877	5
43.2435	45.7462	1
31.8181	34.7911	1
56.5115	8.85136	1
52.5136	5.68839	4
49.3417	8.63664	2
42.0325	-88.0912	1
40.2876	-84.1672	1
42.2911	-84.4241	5
-8.22244	114.945	2
-28.739	-49.3605	123
54.4059	-1.742	2
42.7027	13.8385	1
41.6603	-4.42588	1
42.0162	-82.9908	1
31.6163	-87.0018	1
53.8872	27.4374	13
19.4685	-98.7874	8
35.894	139.951	9
43.6777	13.2102	1
43.3955	6.29457	1
42.3049	-71.4369	2
43.2979	-93.4638	1
-2.62867	-56.7356	2
32.1384	-111.166	1
39.1731	-97.6716	1
33.9453	-116.955	3
37.917	15.0542	1
