Latitude 	 Longitude 	 Weight
35.3706	-118.949	2
-19.9187	-43.9598	288
-8.27614	115.163	1
43.375	-4.49835	1
33.4158	-104.524	1
38.1377	13.3472	15
-5.97636	-35.9228	1
32.0066	-97.1302	1
-23.0175	-47.8493	1
18.2735	-78.3406	2
5.274	115.248	1
34.4357	135.245	2
0.132077	110.547	1
-7.07854	110.047	1
52.9908	6.25643	3
-0.238819	-50.7698	1
16.959	-99.7356	8
40.4148	-75.6111	5
36.3754	140.363	1
34.0574	-117.474	5
25.5288	-80.3904	1
29.4634	-98.67	52
-19.5499	-56.0323	3
29.6435	-98.2056	4
55.8	37.8002	10
43.0532	2.97562	3
-26.2485	-49.9051	2
33.6039	-117.658	5
42.6866	-8.98969	2
36.3998	-78.1593	4
39.0225	-80.4433	1
10.0577	-65.0257	1
-30.2365	-52.9791	1
36.7319	-76.3401	1
-6.21603	106.964	381
56.7431	12.7834	1
27.8155	77.3373	1
50.795	-2.61142	1
52.573	-1.547	3
50.1212	8.63661	10
51.3839	0.546475	6
40.618	-74.0231	35
32.5304	-110.924	1
49.4962	0.131479	1
10.4915	-66.8282	4
42.7363	-93.7162	1
-20.5326	-49.1044	1
36.101	-94.1813	2
42.0436	-91.6393	4
41.3661	-73.447	6
10.4807	-66.5918	1
34.136	-87.9964	1
44.6407	-72.94	1
-22.9527	-47.3038	19
35.8305	-85.9786	2
46.9647	142.735	3
-6.95344	107.42	19
41.9848	-79.3411	1
22.2703	-97.9168	1
40.7752	-111.94	19
-6.12295	106.195	7
48.8232	3.14248	1
-27.4113	-51.183	1
28.2563	-81.3115	3
-22.9228	-53.1241	1
-7.65633	112.907	1
43.4994	-84.9056	1
40.7405	-2.54198	2
-3.95811	120.172	1
33.6029	-112.306	8
51.5258	5.11875	10
36.257	139.412	1
30.5215	-87.0126	5
42.771	-71.4444	3
18.6276	-68.74	1
57.6184	39.8622	3
38.809	-77.6352	1
-11.031	-37.4771	1
34.057	-117.319	39
5.31691	116.152	1
4.34365	100.904	4
-7.88182	-38.7618	2
5.37802	101.046	3
0.567826	123.067	2
46.5913	-64.9941	2
34.7676	-92.3958	1
52.6003	39.6002	5
40.9792	-76.8015	2
10.2717	-67.5826	2
-1.90527	116.199	1
33.5086	-86.4325	1
41.2128	-73.8094	1
40.7687	29.9589	2
-23.6839	-46.9469	35
32.2893	-104.096	1
43.6211	3.88758	7
47.251	-1.93632	1
25.0716	55.138	2
33.6666	-112.455	1
42.1459	13.4929	3
38.7307	-82.9961	2
-23.7071	-53.4119	2
43.2944	-5.67792	1
39.9216	-79.7155	3
13.1418	-59.6235	1
50.8387	4.36307	5
45.1889	0.712975	4
51.9141	6.56715	1
6.11277	100.374	14
-33.4131	149.182	1
-1.26861	36.8318	7
52.8326	-9.43972	1
41.7405	-87.9454	4
52.619	4.63308	13
-3.70925	-40.3435	1
29.5602	-95.41	1
-5.94912	-35.4266	2
29.1738	-82.1567	3
53.099	-7.21739	2
37.1523	-85.9316	1
59.8653	29.8847	2
42.3722	-88.3529	4
38.2018	-90.4203	1
52.3943	6.26724	11
-7.08648	110.305	14
31.6061	-97.1174	1
52.5136	5.68839	1
15.5651	32.5294	1
40.2876	-84.1672	1
55.3593	86.0516	5
-28.739	-49.3605	14
-21.2386	-47.9781	1
34.2585	-6.58228	5
41.2039	-73.0972	8
25.5196	-103.422	1
34.5417	135.454	1
19.4685	-98.7874	3
-4.05584	119.632	1
-23.5781	-51.4235	1
43.3955	6.29457	1
33.0337	-111.652	3
47.4762	-3.10392	1
32.7982	-117.232	25
48.0246	-122.059	2
38.9734	-119.889	1
55.9048	-3.14177	3
54.9488	-1.54301	6
44.7533	11.5817	1
50.861	5.81868	9
52.4021	37.5692	1
3.89111	102.602	2
29.3333	-98.4391	3
53.6586	-1.41183	3
37.7286	-79.3551	1
-8.04557	111.719	1
18.4901	-66.8568	1
5.02861	118.292	1
37.583	-115.227	1
14.4215	121.023	19
42.7489	-84.4805	1
40.3855	-79.705	2
-24.1931	-54.2211	3
-22.7467	-47.1389	4
32.7795	-96.799	15
54.7603	-1.32754	6
40.9683	-81.6947	4
-26.3964	-51.0271	2
41.9383	-93.3898	2
37.8072	-25.4945	1
52.5055	4.86152	10
49.0807	2.66823	3
-24.7263	-48.1159	1
38.1486	-85.6023	1
51.8351	5.97218	7
37.2854	-120.493	1
39.1151	-76.6287	7
28.9699	-111.498	1
50.409	2.7593	3
48.3946	7.44362	6
51.769	4.95143	11
34.1682	-111.931	1
54.8079	-1.57972	2
-7.03353	-37.3471	1
-5.40306	-37.5589	1
41.3458	-84.3618	7
35.3473	-106.603	2
-5.569	-50.0651	3
44.0358	42.8779	1
19.2838	-70.2558	3
33.1959	-96.5376	1
37.2357	-76.515	3
34.9091	-82.2144	5
39.9231	-77.046	1
49.2884	-123.073	16
48.6886	2.51529	49
35.2091	-101.138	1
42.2868	-71.7138	6
38.7126	-9.27044	25
48.9458	2.49126	58
37.5864	-82.3983	1
-22.8312	-43.2884	29
-26.4233	-49.1569	36
40.7335	-73.1152	2
-33.9947	18.4723	4
45.3914	11.7935	12
56.1527	-3.78595	5
-23.6	-48.0418	2
-30.9286	-51.8289	1
-3.00533	104.764	32
-6.71779	108.556	16
56.1459	8.81087	1
41.2229	-111.973	3
38.533	-121.977	1
39.9928	-75.5583	2
-5.90692	-36.7753	2
25.7876	-100.33	9
52.0508	113.401	1
50.7128	3.21647	6
39.3403	35.9684	1
-6.81584	108.429	3
-23.4057	-51.9683	9
35.3103	136.791	2
3.8171	100.833	2
-3.77315	-43.4628	1
1.23225	-52.3827	1
39.7797	-86.1329	5
40.3653	-3.4874	2
35.2103	-81.1069	1
54.3446	-1.42211	1
32.6428	-16.8292	1
56.4116	-3.4647	5
-33.05	-71.6139	2
-18.9857	-47.0712	2
-23.2969	-45.9737	15
42.5199	-4.0056	1
38.8622	-76.9943	163
52.7063	41.5872	1
-29.6877	-49.9908	4
-33.6063	-70.8959	2
52.9779	-2.11203	6
-6.93471	107.716	133
36.6235	-88.3211	1
29.207	-99.7924	4
51.046	2.84731	1
39.3735	-104.841	1
33.8971	-84.7722	1
61.2046	-149.864	3
33.4433	-84.2589	3
55.0844	38.7976	2
41.1667	-81.4128	7
40.6045	-75.4917	3
-28.6978	-49.5816	1
43.9465	12.4257	2
-8.32052	113.418	1
8.24555	-80.5478	1
-21.6506	-46.4169	3
-29.1058	-51.5365	12
38.4773	-77.4471	1
53.029	-1.45874	1
-9.39536	-40.5178	1
38.485	-75.9092	1
60.5355	22.2621	1
51.9642	6.30756	1
-16.6428	-49.2612	15
38.5995	-78.5219	6
42.2206	-85.8786	1
52.0231	5.55162	6
36.7389	-4.09347	8
-23.3552	-47.9037	1
51.3146	9.45975	1
-28.3656	-50.9336	1
34.9671	135.773	17
-0.42135	116.979	1
40.6788	-4.09946	3
39.6477	-104.997	3
34.6768	-82.8329	4
-26.1685	-48.533	1
36.3356	-94.1519	1
-3.94954	-38.3799	1
30.3449	-81.6832	10
-22.1761	-47.3406	4
10.4413	-84.0396	1
-10.8797	-37.1759	5
37.4834	14.9671	1
45.7578	4.8351	3
52.0828	-0.739571	1
52.7843	-1.23715	1
40.5672	-105.094	1
-29.7338	-51.0571	63
42.0376	-88.2818	1
-22.959	-49.8674	6
10.6719	-71.6086	2
-18.6831	-41.0904	1
-20.8668	-51.308	2
2.88408	101.526	6
36.0076	-80.2031	1
55.9834	37.2087	1
-12.0158	-76.988	8
9.52288	123.138	1
52.5379	5.34582	6
4.88983	114.922	3
9.05865	7.39776	2
-15.3603	-41.9798	4
48.0599	-106.042	1
-6.88952	106.942	11
-1.44566	-48.4763	20
42.1202	-96.3567	1
52.4091	-1.44352	10
4.29285	117.889	1
-8.11343	112.626	36
38.6532	0.0390267	5
-31.5614	-52.3342	24
56.205	95.7269	1
18.2614	-66.0408	2
-7.32828	110.519	6
38.4329	-115.02	1
34.5543	-118.056	4
48.4561	135.099	3
38.3274	-85.7708	14
1.3404	103.958	295
29.3294	47.9677	10
2.50099	102.993	2
-7.18892	111.864	1
-30.1564	-50.1998	33
-26.4426	-48.7768	14
-19.6897	-42.1507	1
58.2103	-6.32186	3
56.1385	40.4177	1
-27.6364	-52.2459	4
-26.2945	-49.3292	3
-27.1	-48.635	16
-20.5185	-43.8771	3
53.3549	-6.2474	8
41.4693	-87.2428	1
39.8769	-7.1126	1
