Latitude 	 Longitude 	 Weight
33.6849	-78.9601	2
37.2376	-6.9188	3
-19.9187	-43.9598	262
25.5399	-103.389	1
39.7574	-75.5432	5
-6.92977	108.856	2
38.1377	13.3472	24
52.0175	5.83418	1
30.0452	-94.8042	1
19.3184	-98.2454	6
-7.8183	112.025	2
29.2311	48.0818	5
34.2666	-5.92025	36
41.3445	-86.266	1
-22.8129	-45.2349	5
42.7466	-75.77	6
35.1172	-80.9568	1
32.6215	-96.8303	1
38.496	-1.28756	1
-0.216815	100.633	1
-19.9329	-41.4612	3
38.0941	27.7296	2
31.6413	-7.99959	6
-19.5499	-56.0323	1
55.7002	37.5611	103
44.9397	-93.106	1
40.8481	-8.46797	3
55.9529	92.4567	1
35.1191	33.3827	1
51.5242	5.97285	2
50.795	-2.61142	5
32.4519	-85.7151	1
44.9917	0.179577	3
50.1212	8.63661	5
-27.7299	27.2351	1
38.8547	-82.912	1
-9.95786	-67.8066	1
30.0365	-97.8179	4
26.9541	-82.155	1
49.4962	0.131479	1
38.3542	-0.474761	6
36.8306	-76.3006	3
54.174	60.2421	2
-26.4195	-51.8397	1
35.3481	139.215	2
51.9187	19.1348	5
32.5755	-85.5019	1
31.1109	-89.3775	1
32.3329	-116.929	1
53.5538	10.0159	1
33.8637	-98.576	1
58.8909	55.6322	3
58.5905	49.6388	3
41.5342	-8.62018	1
36.1498	-95.9934	6
-7.67412	110.831	22
-7.89481	112.507	8
10.2172	-64.6307	4
48.0795	-4.32464	1
31.1099	-83.4234	2
-1.45565	-48.4791	24
31.9457	-89.8384	1
34.7103	138.192	1
36.7543	-2.78205	2
32.0386	-93.6879	1
5.55652	117.855	2
34.0922	-118.308	109
-19.4731	-40.6271	1
-21.21	-48.2936	3
-26.8274	-48.7225	8
44.829	-87.3752	1
39.8742	32.8255	11
32.491	-84.8741	1
0.0261706	36.2735	1
41.0102	28.8199	24
-25.3493	-57.4877	7
43.1305	-79.0476	3
55.5965	36.8846	1
-6.3134	106.732	99
39.9911	-0.0505615	2
51.4387	0.21547	4
8.26739	-62.7628	1
41.2836	-84.3511	1
14.2202	121.125	1
17.8038	-97.7842	1
30.2189	-93.3297	1
-1.27436	36.8131	6
29.0354	-95.3995	1
40.9598	-73.9195	15
33.8899	-84.6668	1
34.7721	-80.3895	1
0.178365	132.259	2
3.04231	101.447	43
37.001	35.3172	1
39.3793	-76.8167	2
-6.818	-37.8213	1
39.1328	-77.1564	5
37.8223	-85.7682	1
-21.2162	-41.8904	1
-20.5235	-54.6388	7
55.9183	-3.26502	6
4.64077	-74.0651	48
41.5609	-87.6987	9
-5.94912	-35.4266	2
51.3146	9.46005	1
4.57077	101.137	2
42.4624	-70.9611	1
52.5136	5.68839	4
-2.90278	-79.0026	3
33.372	-112.215	1
40.0724	-86.9794	1
-28.739	-49.3605	61
51.7347	-1.97539	1
20.5926	-100.367	3
-7.0949	110.925	1
-30.377	-55.1591	1
50.0443	22.7159	2
53.4693	-113.504	1
-4.17521	121.615	3
38.1986	-75.6972	1
-21.4551	-45.2045	1
52.7841	6.12585	3
-26.0411	27.9623	3
34.8572	136.581	2
50.9576	6.96747	1
-0.869174	100.434	6
28.9489	-95.9612	2
37.2384	-77.418	2
42.5092	-7.58527	22
-20.0806	-44.5819	1
-22.967	-43.1807	32
53.533	-1.10687	3
