Latitude 	 Longitude 	 Weight
36.1314	-120.153	1
-19.9187	-43.9598	293
30.3346	-95.0785	2
39.4511	-83.8314	2
30.8348	-89.5499	14
40.2071	-89.6896	2
-34.5315	-58.525	5
37.9646	-77.0343	5
49.0713	18.925	1
36.7542	34.5464	8
34.7792	-85.0021	1
-33.012	27.9157	3
34.7031	-77.5405	11
42.7466	-75.77	103
41.5493	-6.12791	1
40.8458	17.2978	2
41.6931	-71.6615	7
13.0746	80.2379	6
-6.91607	110.831	1
53.7607	-0.3596	25
41.3326	-94.3184	1
38.0378	-84.501	58
40.8747	-80.2825	12
53.3107	8.7361	1
40.092	-78.5208	1
37.7506	-92.1075	7
41.9461	-80.3864	2
36.5741	-105.562	2
46.4445	7.56682	1
50.795	-2.61142	3
36.8866	-75.9868	5
38.7332	-82.9913	9
-7.90368	110.555	5
-26.2079	28.0587	55
49.1281	-0.576864	2
37.924	127.078	6
-2.23626	113.931	1
43.7901	-0.922984	5
54.174	60.2421	5
51.9187	19.1348	6
43.2187	2.05788	6
-25.4814	-54.613	5
33.7369	-87.2695	3
37.5267	-120.887	16
38.6334	-85.4996	1
-17.8651	-41.5082	1
-20.6364	-44.2754	1
37.6175	-79.5888	3
36.5942	-101.64	1
43.3305	-83.737	1
36.2592	-77.4939	2
43.4835	13.4489	2
36.604	-119.449	46
30.5883	-97.6917	14
38.3934	-120.679	1
-35.212	149.008	1
-38.0268	144.439	1
46.707	-92.432	1
49.1985	2.95745	5
48.3693	1.61603	8
-1.69975	103.267	1
40.7717	-72.9367	19
47.81	7.10117	1
36.0678	-79.3056	6
48.4068	-119.537	2
35.6435	-81.2259	7
1.28818	124.913	4
32.493	-94.1605	1
-6.90558	107.626	402
38.0675	15.6677	3
29.7213	-90.609	3
28.4811	-81.3687	225
35.4798	-81.2436	1
42.6234	-83.9128	2
46.0844	-100.628	9
27.1386	-80.2843	3
48.1261	1.52292	1
45.5308	-122.465	66
35.2073	-97.4255	15
29.3544	-98.4938	317
37.4061	-80.7982	1
30.5807	-84.6125	5
-21.7783	-51.1702	2
47.8939	0.0643983	8
16.7711	-93.099	10
14.6399	121.067	272
-28.739	-49.3605	9
41.24	-81.4406	63
42.7026	-83.4261	7
30.0035	-97.8789	18
37.062	-95.4216	1
51.1175	4.00601	11
14.4135	-90.6851	3
40.4802	-4.64732	1
32.0039	35.2802	3
50.861	5.81868	59
44.4267	-73.0869	3
34.5498	-117.172	3
34.0344	-80.4909	29
-22.7467	-47.1389	10
-26.3964	-51.0271	1
47.0484	8.55027	1
37.8072	-25.4945	1
50.1802	11.5164	1
45.3687	-122.64	8
-1.26841	-78.6404	1
34.3679	-79.5571	2
34.9952	24.7533	1
28.9699	-111.498	2
3.07882	101.421	198
-26.2467	-48.8051	2
51.342	1.4269	6
51.012	8.58861	3
47.4815	-0.563019	40
-4.91685	-38.9252	1
57.6811	11.734	12
