Latitude 	 Longitude 	 Weight
14.5339	100.938	1
36.1314	-120.153	1
-19.9187	-43.9598	475
30.3346	-95.0785	3
39.4511	-83.8314	4
30.8348	-89.5499	19
40.2071	-89.6896	2
-34.5315	-58.525	7
38.7946	-123.02	1
37.9646	-77.0343	7
49.0713	18.925	1
36.7542	34.5464	12
34.9371	-83.8465	1
34.7031	-77.5405	17
40.9703	-76.6164	1
41.5493	-6.12791	1
37.9149	-87.964	1
31.2232	29.958	14
39.5237	-89.2743	2
41.6931	-71.6615	11
-0.216815	100.633	1
41.387	-80.7616	8
53.7607	-0.3596	39
41.3326	-94.3184	1
38.0378	-84.501	99
40.8747	-80.2825	18
6.04935	102.135	2
47.957	-3.86783	6
39.5164	-1.9672	1
53.3107	8.7361	1
52.1674	-2.40599	3
37.7506	-92.1075	17
41.9461	-80.3864	2
37.5812	126.897	19
38.8778	-104.704	60
46.4445	7.56682	2
34.5509	-90.6481	4
50.795	-2.61142	4
36.8866	-75.9868	11
46.603	7.10056	1
33.3085	44.3738	5
49.1737	0.658647	2
33.0032	-94.6325	2
-26.2079	28.0587	78
52.1184	-1.01848	8
49.1281	-0.576864	2
13.7355	100.553	42
-2.23626	113.931	1
43.7901	-0.922984	9
54.174	60.2421	8
-7.27048	-38.9555	1
51.9187	19.1348	14
43.2187	2.05788	8
-25.4814	-54.613	6
33.7369	-87.2695	2
37.5267	-120.887	21
35.636	-108.863	2
-20.6364	-44.2754	2
53.1689	8.5988	1
43.3305	-83.737	3
36.2592	-77.4939	2
43.4835	13.4489	4
44.5238	-69.6652	3
30.5883	-97.6917	22
50.5667	137.044	2
38.3934	-120.679	2
-35.212	149.008	4
31.9802	-93.9989	1
-21.21	-48.2936	5
-38.0268	144.439	1
46.707	-92.432	1
30.8783	-102.855	2
48.3693	1.61603	26
-1.69975	103.267	1
5.06824	-75.5095	7
33.8082	-98.2164	1
48.4068	-119.537	1
-4.17223	-40.5196	1
2.95982	101.777	263
1.28818	124.913	5
33.15	-86.2564	2
46.3112	7.49254	1
32.493	-94.1605	1
-6.90558	107.626	846
6.4342	7.5306	4
28.4811	-81.3687	305
43.1496	3.03367	2
35.1766	-79.5729	2
