Latitude 	 Longitude 	 Weight
50.0645	5.76072	1
-19.9187	-43.9598	65
30.0452	-94.8042	1
52.1184	-1.01848	2
19.3184	-98.2454	2
55.5715	38.2275	3
43.1863	-70.8904	1
41.7479	-88.16	6
57.2547	60.1177	1
34.6809	135.163	1
35.165	136.911	3
52.9908	6.25643	10
-6.83788	108.232	2
49.1197	2.52179	8
36.5771	-79.4133	1
16.959	-99.7356	4
35.341	-80.7606	3
10.2099	-71.3146	1
37.3518	-79.181	1
52.0429	18.3787	2
9.18928	12.5042	1
36.4181	-95.599	1
53.9265	27.5648	12
18.3568	-93.251	1
33.6039	-117.658	6
40.97	-5.65174	1
36.3998	-78.1593	3
51.5288	0.00616451	64
49.097	7.10438	1
38.611	-0.0362707	1
47.546	-122.061	4
3.67766	100.987	1
54.7597	55.8957	13
50.795	-2.61142	4
38.1299	13.6112	1
32.4519	-85.7151	1
27.8303	-97.2212	1
42.0483	-72.5696	2
38.502	-117.023	2
40.6141	-74.4499	11
-22.4012	-49.4018	2
48.3429	-122.674	1
41.568	-72.1428	6
-29.5564	-49.8927	1
-15.6069	-47.6195	1
50.6294	-2.46326	2
18.6269	-68.7116	1
47.47	-122.337	2
54.7515	83.0878	1
54.174	60.2421	1
43.6814	-79.7831	5
42.7118	-80.0441	1
-26.4195	-51.8397	4
35.8305	-85.9786	1
33.7532	-112.317	2
42.4875	-83.2484	49
32.3329	-116.929	3
38.2862	140.289	4
49.6221	6.5865	2
10.403	-61.4709	2
22.2703	-97.9168	5
56.4004	-3.47885	1
28.2478	-17.14	2
29.2069	-99.7833	1
5.27975	-73.5843	1
-22.7177	-42.6203	1
31.1099	-83.4234	1
53.3934	-2.91859	9
59.2241	9.54735	1
30.6733	29.334	1
-37.0419	-72.3728	1
-37.7362	145.015	13
58.6047	99.1873	1
40.0331	-75.085	43
13.3272	77.1249	1
-22.4361	-45.3967	1
42.9427	-74.1917	1
5.55652	117.855	1
30.5215	-87.0126	1
-19.4731	-40.6271	1
36.743	-119.243	2
1.1306	104.055	1
