Latitude 	 Longitude 	 Weight
35.4405	137.008	2
50.0645	5.76072	3
35.2989	-101.785	1
61.0527	28.3162	2
39.924	-80.7276	2
30.4527	-97.599	9
38.1377	13.3472	5
43.9291	2.13251	1
51.7259	11.0554	1
51.4631	-1.00671	76
55.6759	12.3535	3
55.5715	38.2275	9
50.9351	0.803452	1
51.7499	11.8455	1
34.8204	-89.5531	1
32.7001	-113.962	1
-21.21	-48.2936	1
42.8797	-100.543	1
42.7466	-75.77	18
40.002	-86.1301	3
35.018	-91.9592	1
59.6125	16.2392	1
-15.9473	-49.5791	1
21.4584	-158.014	5
-22.9837	-43.2218	2
41.3747	-72.1601	5
32.9096	-97.6366	2
51.4732	11.9725	1
16.959	-99.7356	8
48.7623	7.8512	1
31.8996	-106.421	12
43.1495	3.03364	1
53.4412	41.8039	1
53.1034	-2.30862	3
16.9225	-89.8927	1
42.5105	-7.49825	6
47.4987	8.73303	2
42.6483	12.9537	1
32.683	-117.039	28
53.3107	8.7361	3
38.1594	-0.83502	2
10.7141	122.552	4
-33.5978	-70.6845	13
36.3998	-78.1593	1
39.6359	-86.1016	3
53.6799	9.37269	4
37.7897	-80.3693	1
52.1674	-2.40599	2
54.0019	-0.44364	17
46.1446	-122.885	2
52.3682	5.19166	9
-7.00298	107.279	1
42.4423	-79.3274	5
51.7661	0.110915	2
50.795	-2.61142	2
42.8071	-5.63558	7
44.3605	8.58884	1
37.8004	29.017	4
50.1212	8.63661	1
38.502	-117.023	2
2.7967	101.812	35
-7.92159	113.819	1
39.8821	-76.8249	4
30.0586	-90.6948	1
48.2247	8.38952	1
41.8267	-74.1219	1
39.7407	-75.5664	17
-28.3896	-54.8743	3
46.4727	6.4246	1
-35.1891	149.667	1
53.0153	17.7251	1
-28.6758	-52.1656	1
34.7893	-111.783	1
54.6625	-6.2166	4
34.8974	-95.6669	1
43.6814	-79.7831	9
42.7118	-80.0441	1
45.4266	-75.4864	1
-26.4195	-51.8397	6
34.198	-90.5699	1
42.5468	-71.3037	3
35.8305	-85.9786	2
56.7347	-2.65909	1
32.3329	-116.929	3
50.2317	-5.23014	1
24.2438	-100.381	1
-38.1648	144.36	1
50.7549	-1.88556	11
22.2703	-97.9168	4
39.295	-7.4421	1
43.2157	-79.9153	2
41.1166	-73.4509	5
53.3347	-8.34474	1
48.8583	2.75571	3
5.8108	100.383	1
47.4317	9.40213	2
40.9912	-75.1447	1
39.2692	-0.557376	1
33.388	-84.569	1
50.6905	-1.28967	1
50.7159	-3.48524	1
40.7721	30.394	1
33.6029	-112.306	7
51.8243	-3.01451	2
42.2353	-88.3376	1
41.5227	-93.7558	5
49.839	2.052	5
41.8192	-79.4159	1
42.0977	-79.3109	1
37.7717	-121.202	5
54.2305	-4.56943	1
46.5485	-95.6154	1
38.8954	-76.8076	32
55.4359	65.2991	2
44.9036	37.3293	1
51.4498	-2.61618	26
55.5102	47.4854	1
51.3448	7.56404	1
11.6609	-70.208	2
35.7932	135.645	1
29.8969	-97.9665	7
55.9712	47.3613	1
-27.7689	-48.6676	2
64.5245	39.7407	6
-12.0161	-77.0785	13
-23.751	-45.4078	2
61.2465	46.8807	6
-20.5174	-54.5962	6
53.0326	-1.34089	19
52.6003	39.6002	19
49.4961	0.134406	1
32.9612	-97.0946	12
7.69923	-72.354	2
46.7486	-71.3682	3
-20.5308	-47.3748	4
37.7734	-79.5452	1
-23.6839	-46.9469	33
49.2721	23.5141	1
-17.7477	-48.6322	1
38.8784	-6.97418	1
-22.8132	-43.2003	17
-6.90558	107.626	280
39.4848	-77.547	1
9.37391	-83.7087	1
-6.54424	107.448	3
47.2166	-123.114	1
49.607	0.765367	1
36.7828	-119.795	19
36.3468	-82.4071	1
54.5377	-3.5558	10
53.0195	-2.15902	5
52.6738	6.74201	1
33.5456	-84.2733	6
-22.6965	-43.5244	2
-37.7815	144.871	13
6.11277	100.374	15
-33.4131	149.182	1
41.636	-79.563	1
29.6801	-95.3996	33
37.8223	-85.7682	4
