Latitude 	 Longitude 	 Weight
42.1211	-87.8134	13
-19.9187	-43.9598	504
39.5136	-78.7689	1
54.1364	-7.22303	1
6.62889	3.49335	10
37.7408	-122.158	80
46.971	-122.508	3
-34.5867	-58.5734	34
38.4214	-75.0576	5
-23.751	-45.4078	2
17.7272	83.3034	2
-0.216815	100.633	7
52.0429	18.3787	3
53.4412	41.8039	1
53.3107	8.7361	4
-33.5978	-70.6845	58
52.1674	-2.40599	7
18.2737	-78.3407	1
39.9688	-84.9258	1
44.5331	-78.7402	1
50.795	-2.61142	17
13.7478	121.074	2
49.1737	0.658647	1
50.1212	8.63661	10
37.7878	14.5901	1
52.3043	-0.58794	4
48.2247	8.38952	1
-28.6758	-52.1656	1
39.5922	-8.37447	3
54.174	60.2421	2
40.9219	-74.1794	99
-35.0918	138.491	4
46.4884	0.195374	2
-6.95344	107.42	29
32.6785	-97.4162	22
43.6452	10.6388	3
50.7549	-1.88556	36
-20.748	-42.8803	2
32.9733	-80.0056	9
-20.6364	-44.2754	3
-21.6508	-54.4583	1
41.5621	2.00891	21
48.5642	3.49571	1
47.4317	9.40213	3
43.4835	13.4489	4
39.849	-75.7156	6
41.4554	-82.0129	19
-42.7831	147.045	2
58.3613	11.9121	2
13.3272	77.1249	1
53.0003	6.53539	8
55.8779	-3.98681	21
37.6282	-87.1142	3
35.0136	-97.3592	1
4.01689	101.971	1
38.5301	-82.7489	16
49.3363	1.38275	1
36.1573	-109.588	3
49.1743	6.93111	6
34.5621	-117.338	18
42.8956	-77.3042	3
69.3596	88.2029	1
-12.7627	-76.6008	1
-22.3076	-53.8466	1
35.4798	-81.2436	3
28.2781	-81.6722	8
34.7829	134.849	15
52.3326	0.529435	7
31.2264	121.527	9
46.2635	20.1404	2
42.5756	1.7843	1
-7.0949	110.925	4
-37.5764	144.941	2
42.3049	-71.4369	5
-7.82079	110.922	4
49.4321	0.818074	4
46.5889	-120.553	4
40.5647	-74.6836	2
37.8937	-122.122	19
37.7286	-79.3551	2
37.0509	35.2748	13
54.9942	-6.56471	1
4.06907	98.1222	1
42.7489	-84.4805	41
29.7047	-95.1159	50
-22.7467	-47.1389	10
37.8072	-25.4945	11
-45.8707	170.507	2
-38.1355	176.24	1
46.4858	-84.3744	1
8.39156	99.8111	1
40.1873	-92.5815	1
8.43101	-82.4189	5
52.3354	-0.16595	4
33.0157	-96.7084	66
28.9699	-111.498	12
47.1964	-122.177	14
39.7896	-8.95415	1
44.0595	-123.123	13
36.583	-85.1381	1
47.0249	6.99048	1
47.4815	-0.563019	14
-4.91685	-38.9252	8
-2.06885	102.272	1
3.67051	-76.5115	1
-1.19236	-46.7872	2
32.5281	-92.7041	4
61.7302	17.1388	1
49.2884	-123.073	63
34.6038	-98.4206	6
55.7143	60.4835	1
43.5084	-5.69195	6
53.2739	-3.29565	1
41.8956	-88.5707	1
-26.4233	-49.1569	23
-42.0933	-73.7664	1
45.3914	11.7935	147
10.07	-69.2913	20
49.6046	6.15424	2
6.41559	100.139	12
58.163	55.8611	3
45.0545	3.91226	3
30.4711	31.1789	1
-0.805657	37.2541	2
33.2157	-96.6532	4
52.7494	-8.89838	1
-36.3341	141.649	1
10.3119	-85.8209	1
45.457	-73.9003	14
-23.6604	-47.5864	2
44.3212	-61.8117	4
-0.370226	35.9287	2
53.8736	-0.476868	69
45.7958	12.1639	2
-34.7134	150.008	1
38.659	-94.6844	3
46.7352	-117.165	3
34.132	-86.8676	2
27.6847	85.3208	14
57.1691	23.2264	1
59.3501	17.0616	1
35.5382	-82.5655	3
39.1476	8.96152	3
-21.3646	-46.0058	6
-8.36631	114.158	3
36.3361	127.449	1
-2.67947	118.872	1
43.0352	-76.1391	42
33.1237	-95.0222	8
-27.8411	-54.5215	5
35.7549	-83.0694	1
-1.06756	36.6244	1
8.98002	-71.9014	10
16.8691	-99.898	4
52.6364	-8.65146	4
48.6274	4.17626	1
29.7143	-98.1263	2
60.5355	22.2621	1
35.309	-98.7166	8
45.0974	-93.3611	24
60.5779	15.609	1
44.1092	0.88906	1
41.4893	-81.7885	68
30.6239	-84.4154	1
-20.4787	-51.2229	4
10.1561	-61.6826	2
20.3944	-99.9857	11
41.568	-72.1428	22
63.2847	118.308	1
40.4647	-74.5019	26
48.3839	0.122438	1
-22.0586	-48.7344	13
-22.1761	-47.3406	5
62.3262	22.2659	2
-23.0629	-49.606	1
52.0828	-0.739571	13
33.6742	-111.858	4
51.8067	-4.96178	1
-8.19082	-34.9227	14
-25.2299	-50.605	4
52.5379	5.34582	2
-34.4124	150.891	1
33.917	-84.8454	2
11.1605	7.65205	1
3.42034	101.44	30
19.9147	-155.879	1
19.7237	-101.15	1
31.8608	-97.0838	2
-29.753	-53.8242	34
-8.11343	112.626	498
43.856	10.2697	4
33.9465	-84.3564	38
-31.5614	-52.3342	29
47.8035	-1.38119	1
48.255	32.2023	1
43.8272	-83.2576	1
30.9854	31.1724	2
43.0204	-78.6558	18
41.3948	-73.4721	35
51.8142	-1.43194	2
53.4181	-3.03987	367
44.6111	-64.2732	2
56.1385	40.4177	31
35.7312	-81.7013	1
42.0485	23.8222	1
43.5449	-1.09903	2
55.6808	-4.07731	1
-22.9527	-47.3038	31
-18.1772	-41.8296	2
54.4585	-6.3549	2
57.8602	56.2942	3
49.8513	20.2544	8
-15.5305	-47.3352	1
36.2579	139.396	1
33.2828	-111.864	20
45.9146	8.48912	3
43.8483	-79.0423	15
-6.98476	108.497	11
36.5178	-4.89375	4
34.6662	112.398	1
-7.96881	110.724	2
40.2984	-86.1268	3
52.545	5.92005	18
36.3318	-92.0202	1
37.7914	-3.74254	19
30.5803	-92.0893	2
35.8877	-80.1143	2
49.5815	34.5538	1
50.1054	-112.309	1
-21.2388	-47.9779	2
32.5343	35.8543	6
25.2208	55.3626	30
27.9626	34.4725	1
-4.58986	-49.2488	1
32.5117	-89.1901	2
48.4739	35.0242	14
45.5311	10.5373	1
-9.88518	-36.9668	1
-27.6616	152.923	6
39.1109	-80.4091	5
52.6505	1.45308	3
12.5743	80.1379	1
-1.45852	102.131	1
50.5196	30.8036	2
19.7702	-98.5797	1
44.9295	4.90578	14
44.6088	10.52	1
44.6448	10.8969	2
21.1669	-101.733	2
28.6817	-99.8205	2
3.22809	113.072	11
-15.6082	-56.1144	2
35.4656	139.625	22
38.0739	-0.733166	6
45.4266	-75.4864	1
-22.6446	-43.3052	29
48.8197	2.20105	316
39.4012	-6.44079	13
15.1677	120.585	6
-14.7837	-39.046	1
51.8771	-0.4144	23
24.6017	46.72	7
20.8765	-100.884	1
-17.8757	-41.5077	3
52.6019	4.71134	31
5.03509	115.069	1
-21.0444	-47.6215	1
-21.8793	-47.9053	19
-28.7189	-53.5192	4
-21.2741	-50.7091	1
28.5316	-99.8522	6
36.9078	14.657	1
40.8623	-74.3815	28
41.187	-96.0538	61
23.021	72.5707	1
48.7791	9.17711	8
47.9002	-1.68541	1
14.0007	-60.9795	6
44.4985	-78.1911	2
-7.49837	112.486	5
44.0343	-92.4849	4
38.5794	-77.7611	1
37.2313	-76.6237	8
44.669	8.48652	3
52.88	-9.40846	7
-7.80891	112.015	20
51.5207	-0.142822	29309
-12.6735	-38.902	1
39.2692	-0.557376	4
39.2333	-119.943	1
44.8294	37.6465	3
-7.83756	-35.441	2
38.6105	21.423	1
50.053	11.6674	1
38.762	30.5442	2
36.2329	-115.238	160
21.3841	-100.218	3
35.0255	34.0374	1
65.8259	21.69	1
40.7419	-84.1162	5
30.1158	-93.7248	2
51.2976	17.643	1
-1.46336	-48.4969	106
51.272	-0.395409	10
25.6014	-103.377	7
38.183	-86.1459	1
-5.57916	-39.4606	21
46.1206	3.40236	2
38.5305	-8.86894	98
-23.0595	-46.972	39
41.0239	-84.0714	1
43.6707	7.15032	139
43.3662	-124.211	1
-27.0976	-52.6197	7
33.7241	-85.6721	2
38.9737	-92.499	1
29.0185	-80.889	2
51.5698	-0.505873	78
39.1066	26.5568	1
43.2618	-71.5846	1
-6.81149	-35.2573	1
36.3274	-86.7057	2
6.35533	5.60179	1
52.5577	9.44965	2
-7.14362	-35.8589	4
44.985	-93.2394	74
42.579	-83.148	118
41.0313	-73.5976	14
40.3269	-78.9188	3
-24.4958	-47.8554	28
-19.0373	-41.223	2
-3.99807	119.833	1
-15.6717	-54.7717	3
0.488257	117.531	1
40.7764	-111.92	71
-1.47674	36.9592	1
30.0586	-90.6948	1
35.8432	139.777	34
52.3277	-66.7913	1
61.5054	23.7625	1
56.2545	37.9894	1
42.5357	-88.9855	4
44.2044	-94.2754	1
38.863	1.28645	9
47.1614	5.61871	2
37.555	-97.2565	9
41.6193	-87.9113	5
51.9026	6.4112	5
-4.36208	-38.0899	1
49.9236	2.8477	1
52.4499	-9.47954	1
52.1895	-8.67155	2
38.8754	-104.757	35
10.1988	118.894	1
52.7642	23.1903	8
36.1337	-5.35317	9
39.4072	-76.4743	31
10.9543	-63.8669	15
35.1952	-78.9607	14
43.0293	-77.9798	1
40.738	-114.046	1
40.0911	-104.806	6
19.6328	-70.2838	1
40.0242	-75.078	138
43.3168	-73.6454	1
-8.01733	-35.1047	2
14.1178	121.082	15
38.9399	-8.85752	6
3.47134	101.173	14
-20.7898	-41.1967	2
39.8182	26.0014	3
-6.71431	108.303	4
-6.80248	107.648	1772
34.8299	-86.5102	21
41.8761	-93.8225	7
40.5122	-111.395	1
36.1523	-95.9093	24
2.94682	102.075	3
53.2697	-4.47998	2
53.706	-1.69514	57
51.0694	9.92561	1
51.4136	6.79609	1
46.4812	30.7397	7
-25.553	-48.4967	21
51.2869	-0.232738	26
50.6051	4.34416	1
-35.5161	-71.5123	4
52.9651	5.02403	1
-8.7093	115.183	393
4.93251	-52.3258	24
-33.5868	-71.6116	3
-21.948	-45.9404	1
43.4213	5.05086	16
58.8052	16.7742	1
-22.2895	-48.8787	5
48.8836	6.04402	4
17.5674	120.387	2
52.005	47.8008	3
-21.466	-55.3341	1
44.3682	-100.349	1
51.3207	5.36275	4
38.1935	-85.7954	41
59.3597	18.1963	24
46.4247	6.92461	1
40.6251	-111.862	17
-33.8154	-70.7506	2
-6.12549	106.158	27
40.073	-74.7243	50
51.8789	6.07713	31
6.08409	116.165	39
41.7282	13.0022	1
48.0832	41.2726	3
5.58583	7.47662	1
36.0788	32.8314	2
36.4441	-85.2451	1
-22.0585	-46.575	5
42.4931	1.59266	4
43.054	-87.9779	100
-15.8845	-55.1062	10
40.5822	-84.2262	1
27.1879	-81.8598	1
45.6753	15.6566	1
-31.2458	-54.066	24
26.2126	84.3724	2
-32.0165	-52.067	5
59.016	16.194	1
52.139	11.6472	3
42.2742	-85.5972	33
46.8859	-1.83838	1
34.9305	-82.436	1
38.4053	-105.26	3
8.60112	-70.3045	2
-38.1175	147.088	1
-21.0924	-40.8783	1
-8.98489	-64.5216	13
50.2133	19.007	29
54.7006	25.253	6
-28.7263	-51.7604	1
36.2479	-93.0942	1
26.4226	-82.0884	1
-24.2162	-47.6402	1
-14.6758	-52.3502	2
44.9053	-92.9241	11
41.7449	-87.5992	66
-29.106	-51.5365	19
4.23955	103.192	10
51.0648	6.33896	2
5.82609	-55.1616	2
48.7591	17.9329	1
52.7324	41.4335	4
47.7829	-2.91644	7
39.2204	9.09584	4
41.2834	-73.8856	16
55.3492	-131.672	1
45.0593	42.0608	8
55.8832	-3.33702	21
47.0797	5.47161	15
39.0604	-90.8904	1
33.5199	-116.116	10
-1.75216	112.635	10
49.1048	6.19605	45
41.2068	1.52188	3
37.3117	-121.999	71
2.61789	112.412	1
34.1078	-107.243	1
51.8624	12.6551	1
29.8809	-95.6658	30
-5.14383	119.426	774
8.13435	-71.9888	1
36.3305	139.011	1
35.6798	-109.053	3
44.2839	0.247698	5
50.9419	0.206954	1
28.197	-82.5046	1
30.0011	-90.1793	25
44.3577	-78.2854	2
54.9986	61.1645	1
51.1971	6.44682	3
41.7052	-122.64	1
33.2488	35.2383	2
43.8942	12.8673	1
6.38868	2.76644	1
43.1486	-88.1245	13
-6.98644	110.367	414
-29.8769	-71.2471	17
61.5799	-149.429	1
45.6576	9.9636	3
26.2676	-98.1308	40
27.8965	-15.4611	1
38.059	-85.5498	5
-22.7612	-49.5745	1
1.27756	101.851	13
16.3308	-61.3488	1
45.5846	8.57615	4
41.0485	28.9867	134
37.3592	-81.1061	6
43.1372	-83.0856	1
43.7484	-1.09442	3
50.5977	36.5848	5
60.7891	11.1484	1
34.9671	135.773	19
48.2924	4.07631	18
40.87	-75.2171	6
-33.0485	-71.3938	6
-12.8753	-38.5026	232
-41.2922	174.773	4
-2.16352	115.404	2
35.5771	-5.34233	3
21.2954	-157.827	59
-5.62501	123.772	1
40.6006	-80.66	1
52.4309	1.55757	4
35.4464	-77.6725	1
54.2427	-7.10323	10
33.4337	-117.62	32
33.3593	-86.8202	40
-18.0111	-70.2483	2
41.3708	-84.0129	1
36.8636	-120.783	2
40.6102	-75.5569	5
42.5021	-92.3267	12
33.1148	-94.1709	1
38.3036	14.9179	1
-22.5615	-45.0123	7
49.4073	3.12248	1
47.8279	-122.3	47
49.0225	7.03398	4
40.1949	-85.3876	20
18.6512	-91.79	3
44.7321	-92.8553	2
4.43242	101.218	31
42.6818	-93.6299	1
19.4576	73.3207	1
36.7771	-2.7866	1
34.2385	-116.949	4
37.7703	-122.436	323
34.1844	-118.132	114
28.4891	-16.3174	10
42.2733	-83.7377	18
31.8111	-106.43	73
40.0691	45.0382	20
10.6524	-61.2849	2
43.1672	11.4455	1
51.4405	-0.306996	51
-34.0095	25.674	2
19.8167	-90.5269	20
36.5176	-121.448	1
3.63298	114.533	6
34.3985	-119.75	38
-12.9364	-38.3586	3
44.7432	-93.2883	10
35.1465	-90.1923	6
45.344	28.808	7
37.0551	-84.0982	2
48.202	16.3824	18
5.35851	100.539	79
-22.1447	-43.2678	1
49.1399	2.24282	10
42.2013	-85.4717	3
53.7315	-7.70581	1
25.1148	55.1154	11
39.6375	-119.284	1
50.0729	8.24857	3
-6.90019	109.516	3
40.1315	-79.8596	2
35.8679	127.074	4
32.3651	-86.1563	8
54.5359	52.8014	2
35.4392	-78.4263	1
43.4782	-80.5283	13
39.5829	26.9259	3
29.8962	-82.5462	2
-14.5043	-56.8506	1
40.175	18.1651	2
47.9706	-96.1611	1
37.5709	126.737	9
45.8498	3.42808	1
39.9505	-75.8283	2
1.22835	110.697	7
38.32	-78.3121	1
-12.3812	130.872	1
38.3808	-86.0127	6
62.1732	129.816	27
-5.0765	-42.7405	9
-37.978	176.954	1
45.616	-106.667	6
-22.7106	-47.7943	81
49.2535	4.05493	9
51.1357	23.4886	6
54.8902	23.9267	6
45.4813	8.99464	5
52.6004	19.1766	5
44.5307	-89.5521	1
51.3102	4.49962	7
39.295	-7.44543	7
13.1511	123.717	3
43.8586	11.1034	4
41.464	-75.65	11
44.4785	-80.1412	1
