Latitude 	 Longitude 	 Weight
37.3619	-120.574	1
44.3435	11.6763	1
-2.62929	-44.3026	1
9.99027	-84.1541	7
33.6017	-7.60975	1
-19.9187	-43.9598	37
30.5078	-81.6127	1
-25.3335	-53.898	1
50.5991	5.47116	2
38.1377	13.3472	1
43.522	10.9426	1
36.7508	-84.1611	1
40.9168	38.3896	1
55.6759	12.3535	1
39.4234	-119.748	1
35.8928	-79.0681	1
40.6615	-74.1955	10
51.5143	6.85387	1
-3.26077	-79.9616	1
-7.15684	107.935	1
35.6696	139.922	1
55.0811	36.6037	9
34.0283	35.654	2
41.1662	29.574	1
-29.0686	-51.0353	2
35.9925	-78.9343	1
40.4138	-79.5769	1
54.3609	18.6908	1
34.5854	-118.101	1
50.5913	137.054	2
-25.344	-57.6339	2
19.0322	-98.1543	7
55.5855	26.5068	1
41.2425	-82.6043	1
10.355	123.914	1
61.7464	50.8191	1
51.2524	-1.61777	1
56.1385	40.4177	4
42.6866	-8.98969	1
52.0781	21.0099	2
32.7478	-97.1295	1
1.34311	103.776	7
25.9531	-80.1366	4
32.7732	-80.9683	1
51.852	4.43776	1
53.7205	-1.95008	1
40.3442	-75.8734	1
-33.8831	18.491	1
34.1844	-118.132	2
-6.43799	107.398	1
31.7921	-106.287	2
31.8111	-106.43	1
52.307	104.253	4
-6.95375	107.775	3
-26.0794	27.772	1
51.1113	17.1073	1
41.3508	-85.1328	1
41.16	-80.6953	1
62.0321	129.634	1
50.1212	8.63661	6
40.3524	-79.8513	1
32.5055	-98.4565	1
-33.3401	-60.2203	1
46.4735	30.7394	1
32.5711	-89.8764	5
51.4116	-0.842725	5
51.2384	6.81431	2
50.5153	4.38191	1
42.3937	-82.8628	1
36.6866	-121.641	1
43.1058	6.116	4
30.0292	-90.3331	1
54.174	60.2421	2
-29.6926	-51.2448	6
-29.9153	-51.1771	1
22.3111	-100.956	5
55.5715	38.2275	1
-33.8906	18.6333	1
53.1958	45.0387	4
0.001924	-51.0913	9
58.5534	31.2773	5
13.2986	-87.1838	1
32.1774	-110.884	1
36.1133	-5.48741	2
55.5467	34.9866	1
-16.4298	-49.1948	1
-22.5778	-50.4376	1
52.1516	-0.444921	1
