Latitude 	 Longitude 	 Weight
32.354	-90.3224	1
38.6656	-9.18317	2
50.0645	5.76072	1
50.7528	6.96448	1
-19.9187	-43.9598	2
30.1636	31.6214	1
25.584	-80.3439	3
34.0609	-4.97544	3
38.1377	13.3472	1
23.7679	90.3683	2
-6.71672	107.026	2
53.2465	-6.1403	1
41.3485	2.04286	5
22.5387	113.912	1
-6.82164	107.145	1
55.5715	38.2275	2
30.6913	-88.0457	1
48.0036	0.198993	2
46.3601	48.0341	1
0.901498	104.487	1
39.563	-104.877	1
-9.82361	-36.2866	1
42.7466	-75.77	1
-6.26794	107.133	4
43.2519	-2.93316	2
-6.37468	106.768	133
36.6168	-88.3255	1
16.959	-99.7356	1
41.9671	-86.0828	2
39.7821	26.3453	1
19.0322	-98.1543	8
41.8311	-79.1528	1
2.31785	98.9659	1
-4.14567	120.04	1
5.40243	100.695	1
61.7464	50.8191	1
-38.3622	145.562	1
52.605	-1.97522	1
29.9522	-90.0703	2
33.6039	-117.658	1
33.372	-112.215	1
37.0382	27.4039	1
38.8106	-76.9523	10
49.0273	1.17707	1
41.4988	-81.7059	1
30.3388	-95.4439	1
47.0525	-122.375	1
50.1477	6.95529	1
-6.47902	108.157	1
-22.4873	-44.1755	1
-3.3671	-39.5891	1
54.1476	12.1451	1
51.1508	71.5044	1
1.5065	103.925	5
52.307	104.253	1
48.3054	37.9988	1
52.5532	-1.39073	1
50.795	-2.61142	7
38.2615	-77.9817	1
39.7571	-9.02998	1
38.5305	-8.86894	1
-2.42837	106.432	2
26.0735	-80.1385	2
34.6726	-89.028	1
32.9733	-115.515	1
33.8495	-84.3469	6
34.1277	35.7979	1
44.7503	45.0003	3
40.0495	18.0566	1
42.0396	-72.1288	1
2.71563	101.953	5
34.6982	135.493	1
48.7549	2.72725	3
28.3743	-106.247	1
48.1549	11.5418	1
13.7296	-89.2166	2
42.9931	-81.3034	1
53.3892	-6.42257	1
19.1312	72.8354	3
59.3754	18.0111	2
38.4363	27.2018	1
28.9008	-81.2395	2
6.62928	3.4847	3
22.3111	-100.956	1
-25.4516	-50.0507	1
53.1958	45.0387	2
35.8305	-85.9786	1
46.8812	-102.786	1
45.4533	4.7654	2
28.7678	-106.909	1
42.4732	-71.0982	2
50.7711	0.279488	1
34.0231	-117.613	1
19.2755	-99.2646	2
27.6882	-97.3655	5
-6.51122	110.766	2
-2.62921	-44.3026	4
55.66	37.2299	1
58.8909	55.6322	3
56.1889	36.9791	1
39.1134	16.7864	1
44.7641	11.4954	1
4.38674	100.967	2
51.4774	-2.6026	1
44.2333	8.32421	1
20.3296	-97.8959	2
34.3864	35.7896	1
28.7749	-100.607	2
-0.173024	-78.4816	2
53.6976	-8.34987	1
45.5284	11.3334	1
32.4698	130.758	2
-23.6828	-46.5955	52
-19.6047	-47.9692	1
51.4292	-0.35344	3
32.9591	-97.0954	1
5.06813	-75.5281	1
39.1301	-76.6903	1
37.5753	126.969	2
52.2656	4.96483	3
38.6644	-90.3318	3
36.0809	-80.2547	1
40.9292	-73.7368	1
-20.1139	-44.9368	1
17.3972	78.5226	1
-12.0714	-77.0154	2
-23.3771	-46.7393	1
47.303	-122.222	2
53.3287	6.91407	1
41.6566	-83.5743	1
32.491	-84.8741	1
68.954	33.1359	2
44.2151	20.9238	1
35.7932	135.645	1
48.4266	-123.331	1
3.35359	101.253	8
41.445	-82.1971	1
29.9835	31.4383	2
1.22835	110.697	1
-6.74538	-38.2186	5
40.0349	-3.59367	2
52.8676	5.04595	1
41.3655	-81.7758	1
61.2465	46.8807	1
3.18186	113.084	1
39.3703	-5.877	2
-7.32432	108.364	3
13.1382	123.737	1
4.63427	73.5632	1
26.3662	127.805	1
29.5837	-95.4729	1
-22.5918	-47.3616	1
0.830694	104.072	1
-22.7106	-47.7943	4
39.9488	-75.1931	9
31.0366	31.365	1
42.3444	-3.68944	1
36.0609	-79.9212	1
6.89258	79.9812	1
-34.1218	18.4889	1
-6.23597	106.988	55
53.3441	-6.26749	6
16.7419	-93.1397	1
30.4592	-81.6926	1
56.3698	36.6859	1
49.2557	-123.069	6
-20.2804	-40.2928	3
3.82881	103.217	6
48.4429	35.0001	1
35.6107	-83.4253	1
18.144	-94.4761	5
48.4052	-4.47429	1
55.0193	-1.65244	2
-7.45259	109.243	2
37.2367	-121.902	4
42.588	12.6653	1
-37.8693	144.991	1
34.0553	-117.427	2
49.4396	32.0804	1
53.8215	-1.7143	1
50.8387	4.36307	5
55.0015	82.9557	1
44.8638	-0.586176	3
19.1346	73.0027	1
49.1585	2.65999	1
43.2735	5.38795	2
50.8479	-1.16857	2
42.2488	-71.7957	3
