Latitude 	 Longitude 	 Weight
-19.9187	-43.9598	10
2.83046	101.621	13
52.0202	5.57439	1
39.1865	-96.5685	1
38.3553	-0.515529	5
42.7466	-75.77	2
-8.58975	116.134	1
36.3754	140.363	3
47.3857	-122.176	1
47.4987	8.73303	2
51.8598	4.66345	1
43.3023	-8.38074	1
-37.7537	145.001	2
36.5558	139.887	10
47.7906	1.03705	2
36.6376	-87.3676	3
27.8155	77.3373	1
37.6992	-121.79	1
32.4519	-85.7151	1
50.1212	8.63661	1
32.3403	-95.2826	1
43.4202	-83.9056	1
36.6866	-121.641	1
14.8725	120.775	1
53.2592	-1.38378	1
14.9943	120.489	1
34.2301	132.617	1
35.8305	-85.9786	1
34.0663	132.998	1
32.3329	-116.929	1
42.4282	-8.62728	1
33.4482	129.955	1
22.2703	-97.9168	2
42.658	-8.12614	1
43.7082	7.29069	4
40.7405	-2.54198	1
40.4497	-3.56948	5
50.5667	137.044	1
36.9488	140.911	5
34.6844	-79.1955	1
44.7243	142.263	1
35.5016	140.31	7
35.1033	138.56	3
-8.11326	112.119	4
27.7122	-97.3772	1
55.5561	37.4334	2
33.5238	134.117	1
52.6003	39.6002	2
32.4916	-88.2986	1
1.28818	124.913	1
32.3624	-80.5679	1
50.5625	5.38682	51
-23.6839	-46.9469	1
-12.9602	28.6341	1
2.9783	99.6446	2
50.1767	8.91825	1
36.7828	-119.795	3
36.7392	138.221	2
13.1418	-59.6235	1
53.0195	-2.15902	1
50.8387	4.36307	2
33.1137	-92.363	1
47.7584	10.9912	1
5.74759	0.0504532	1
36.0084	139.864	2
34.729	134.891	1
40.3379	-76.4214	1
53.5875	10.0137	2
54.9882	-1.69998	1
32.4529	-83.7483	1
30.2491	-85.5354	2
33.3287	131.496	1
48.2711	4.06304	1
3.00871	101.393	16
-21.4551	-45.2045	1
37.5573	-77.4381	2
50.9576	6.96747	1
42.3939	-87.855	2
52.3766	9.74059	1
41.9383	-93.3898	1
14.7533	-17.4718	2
39.2339	-84.9978	1
53.1302	18.0379	1
-3.45363	114.842	3
-12.9704	-38.5124	7
4.4964	101.96	1
32.7088	-97.4434	1
44.0595	-123.123	1
39.8439	-75.3748	4
54.1227	-115.666	1
35.3019	136.798	8
-7.03353	-37.3471	2
1.5744	110.302	3
42.0569	12.336	1
49.2884	-123.073	6
43.5084	-5.69195	1
41.8877	12.5044	12
36.9748	-86.4302	1
-26.4233	-49.1569	2
33.5459	-90.6817	1
38.4038	-78.7486	1
49.0714	2.10159	6
40.1406	-88.1816	1
37.9159	139.05	35
-22.3011	-48.5366	4
30.2847	-91.2438	1
43.1252	-77.623	2
-29.2431	16.8805	1
13.6218	123.19	1
51.387	0.55138	1
-23.4057	-51.9683	2
30.4454	-84.2453	3
37.9741	-87.4865	1
33.6581	-84.1835	3
38.9696	-76.504	1
32.7667	-96.5968	12
23.6019	58.5432	2
34.8468	137.359	2
-5.42423	105.251	3
53.3215	50.0679	1
42.6835	-73.1183	2
39.8343	-86.2319	7
61.2046	-149.864	2
-7.72715	113.098	2
55.6108	37.7189	1
36.8053	-79.9343	1
36.2955	136.049	1
39.2654	-84.4697	6
33.8859	133.072	1
1.48689	124.839	8
-16.6428	-49.2612	1
56.1889	36.9791	1
-4.06925	121.623	1
31.5365	-83.6035	1
-0.774199	100.592	28
51.3146	9.45975	1
59.1863	17.6566	1
24.8969	85.5414	1
36.7905	140.746	3
52.5653	-2.04043	2
30.3449	-81.6832	2
32.5254	-92.0619	1
40.9287	-73.0976	1
45.7578	4.8351	1
37.0097	127.158	2
33.1414	-96.6173	1
43.4069	4.82439	1
-7.8326	112.713	4
38.289	-122.068	1
-22.959	-49.8674	2
-33.0609	-71.3881	2
-27.8557	153.3	1
37.9052	28.2996	1
34.2044	-79.252	2
36.0112	-95.7211	1
-33.9266	151.078	2
-32.0021	115.76	2
-8.11343	112.626	4
-31.5614	-52.3342	1
34.6426	135.984	1
35.1836	-89.8393	1
-32.8729	151.645	1
52.869	18.6961	3
48.4561	135.099	1
37.829	-0.77586	1
55.1254	73.3788	1
55.3589	86.0515	3
31.0882	-97.7518	1
30.0027	-90.2653	2
-23.5108	-46.8823	11
41.5647	-73.0253	4
40.1207	-82.9265	3
50.236	21.7668	1
33.8134	-86.8207	1
-12.0797	-77.0368	6
36.5252	136.606	3
35.1298	138.91	2
34.908	135.82	184
7.924	98.3857	1
4.80132	101.057	1
31.8749	-91.1388	2
38.2071	-84.2613	1
46.4504	-120.476	1
41.7012	-87.8182	2
35.392	139.927	1
-4.40285	136.86	1
38.6842	-121.216	1
32.6782	-83.1783	12
42.0015	-72.7253	1
-7.34302	107.782	1
