Latitude 	 Longitude 	 Weight
55.5006	38.3266	1
50.0645	5.76072	1
53.4039	-1.56304	5
-7.41249	112.542	3
-19.9187	-43.9598	23
45.6276	-64.2353	1
-2.93492	115.152	1
51.9179	-2.59688	1
19.3184	-98.2454	2
54.009	27.8556	1
42.7466	-75.77	4
41.8998	-88.8949	2
51.8868	4.68756	1
32.0497	-81.0544	1
55.9774	26.299	1
16.959	-99.7356	4
-33.4421	-70.7477	5
-29.6122	30.3928	1
45.375	134.708	1
-19.5499	-56.0323	1
33.8843	-5.53533	7
2.55151	102.418	1
8.25944	98.3095	1
45.5231	-122.463	2
42.093	-87.8534	15
50.795	-2.61142	1
2.92719	101.76	34
38.502	-117.023	1
33.9721	-6.86441	9
3.19912	113.051	1
36.3245	139.014	1
31.1655	-88.9456	1
51.9187	19.1348	2
-25.0965	-50.1152	2
35.8305	-85.9786	1
33.5907	130.407	1
45.8198	1.23643	2
-15.2863	-47.2063	1
37.3069	-79.1188	2
18.4793	-69.9364	6
37.5192	127.024	10
58.8909	55.6322	1
38.6707	-121.072	1
59.9674	11.0659	1
49.0054	2.92852	2
51.5337	-0.445685	7
30.2233	-93.1777	2
46.5372	6.61834	8
-7.6093	111.897	1
41.533	9.27379	1
-8.82848	13.3066	1
39.1301	-76.6903	2
49.839	2.052	1
34.1457	-118.134	7
32.3549	-93.719	3
-9.82361	-36.2866	1
-15.7922	-47.9753	3
44.9336	-92.2236	1
-34.1618	-70.7477	2
-0.475355	117.136	5
37.9176	-76.8671	1
34.598	-86.5628	2
50.8713	7.10588	2
35.3005	-119.105	1
-25.7366	28.3778	2
-2.16364	115.404	2
37.1195	27.393	5
47.9129	106.914	1
48.9561	6.2744	1
-23.6839	-46.9469	2
35.426	136.974	1
-12.0923	-77.0333	6
36.7828	-119.795	1
36.7392	138.221	2
41.5072	-81.6373	3
48.6747	2.61084	19
47.2493	-122.457	2
41.3423	-73.6817	1
18.0722	-66.7445	1
37.8223	-85.7682	3
-7.16411	113.448	1
41.8551	-80.7884	2
13.7752	100.408	2
55.9183	-3.26502	2
33.377	130.49	3
45.0011	-86.2707	1
49.4961	0.134415	2
2.84185	104.159	1
29.9848	31.2443	4
40.8803	17.1621	5
-28.739	-49.3605	9
54.1242	-114.398	1
48.8014	2.43994	99
33.9405	-118.404	17
18.2577	-65.9633	1
43.6777	13.2102	1
43.3955	6.29457	1
40.7324	-112.205	1
2.31785	98.9659	1
13.581	144.858	1
43.7494	4.80534	2
36.8691	-121.731	2
43.5378	3.4597	1
42.7489	-84.4805	8
41.1307	-85.373	1
34.0344	-80.4909	2
34.673	-96.6606	3
46.0537	8.98049	1
-33.785	150.886	1
34.7292	137.635	2
