Latitude 	 Longitude 	 Weight
-12.1967	-45.9236	1
35.8069	139.569	11
41.6814	-72.941	5
-19.9187	-43.9598	678
28.9761	-95.9578	8
25.5399	-103.389	1
51.6303	-0.752124	5
18.5256	73.8429	4
30.4527	-97.599	6
38.1377	13.3472	39
30.0452	-94.8042	1
19.3184	-98.2454	6
-22.8437	-47.2618	46
33.2145	-97.1438	3
51.7015	-3.05165	2
37.6799	-97.4703	8
40.6615	-74.1955	42
41.3456	-84.3615	2
34.2666	-5.92025	19
39.1787	-74.724	2
37.2376	-6.9188	4
41.3133	69.3283	1
-21.9381	-50.5199	4
40.1564	0.0452409	3
51.4149	21.154	1
40.5296	-86.869	1
39.2091	-0.430216	24
16.959	-99.7356	5
-19.9329	-41.4612	11
40.9932	15.6597	1
53.2109	5.67335	4
45.375	134.708	1
38.0941	27.7296	2
-22.3708	-46.9378	3
53.0728	-1.28276	2
39.7574	-75.5432	8
-19.5499	-56.0323	3
16.9225	-89.8927	3
41.2425	-82.6043	1
55.8	37.8002	18
5.40243	100.695	3
46.438	-97.6833	1
51.838	5.98721	12
-6.92977	108.856	2
55.7002	37.5611	532
52.31	11.9616	1
36.3998	-78.1593	2
40.8481	-8.46797	2
-32.9275	-71.5214	2
-6.21603	106.964	524
-29.8079	30.9681	10
51.521	4.56272	1
30.4551	-88.4656	1
51.5242	5.97285	3
48.4008	11.7432	1
50.795	-2.61142	5
1.91863	102.936	17
32.4519	-85.7151	1
-39.5374	-72.9607	1
50.1212	8.63661	7
-27.7299	27.2351	1
6.49443	124.842	2
31.0671	-93.2506	1
41.6163	-91.9127	1
41.7185	-88.0033	8
37.799	-7.19326	1
29.109	-110.999	2
-8.18	112.68	4
46.4513	30.7621	7
28.0466	-82.4284	6
38.8584	-8.98005	6
36.8306	-76.3006	6
10.3205	9.84168	1
54.174	60.2421	3
43.6814	-79.7831	7
58.2103	-6.32186	1
-7.27048	-38.9555	1
-26.4195	-51.8397	6
44.6407	-72.94	1
51.9187	19.1348	7
29.2311	48.0818	9
35.8305	-85.9786	1
-6.91991	106.932	11
31.1109	-89.3775	1
32.3329	-116.929	3
52.3043	6.50626	1
53.5538	10.0159	1
48.7045	1.57461	1
-21.2162	-41.8904	2
33.8637	-98.576	1
58.8909	55.6322	4
40.3944	-74.2999	2
56.8767	53.1966	4
41.5342	-8.62018	1
32.2187	-101.498	2
-7.67412	110.831	64
-7.89481	112.507	44
19.6009	-99.0068	126
10.4738	-66.631	2
48.0795	-4.32464	2
30.2427	-91.8586	1
43.8775	-91.2289	6
31.1099	-83.4234	2
10.0554	-84.4352	1
31.9457	-89.8384	1
34.7103	138.192	1
36.7543	-2.78205	2
38.9849	1.29991	1
8.59295	-70.1778	1
50.5667	137.044	4
27.862	-82.3468	1
32.0386	-93.6879	1
35.6696	139.922	5
30.5215	-87.0126	26
38.9308	-76.4978	1
44.5854	33.4711	2
-19.4731	-40.6271	1
41.3445	-86.266	2
-6.95375	107.775	33
19.2767	-99.1655	155
37.2401	-93.2732	1
53.29	83.6478	13
13.1577	-61.219	4
57.6184	39.8622	6
32.491	-84.8741	5
53.2419	-2.49735	3
59.366	28.1106	4
35.5016	140.31	1
46.0532	8.9861	1
-27.7689	-48.6676	15
31.1487	-94.8012	1
5.37802	101.046	3
2.44039	-76.6188	5
37.9176	-76.8671	2
41.2587	13.6113	2
-31.5614	-52.3341	29
43.1305	-79.0476	4
-7.98	112.63	108
8.39843	-80.2669	1
52.6003	39.6002	12
40.9792	-76.8015	1
51.6955	4.88224	4
55.7446	37.2974	12
19.7459	-155.54	1
45.5322	8.88755	7
14.2202	121.125	2
