Latitude 	 Longitude 	 Weight
44.5472	0.04196	1
51.9522	5.90207	1
41.4799	-87.6792	1
-19.9187	-43.9598	1
3.88653	11.5042	1
39.6186	-75.6795	1
31.11	-83.4233	3
49.1232	-122.827	2
42.1087	140.576	1
52.1331	1.42032	1
-1.71186	113.698	1
31.7538	-93.115	2
40.0675	-79.8931	1
48.9537	2.87728	3
38.8151	-77.0909	9
33.7666	-116.976	1
60.6647	28.9247	1
0.90875	104.443	1
41.122	-75.9529	1
48.3884	2.96241	7
0.518773	101.459	2
47.9964	2.73025	1
2.42937	102.215	1
38.2631	-77.5619	1
4.47098	97.9734	2
42.2733	-83.7377	2
-3.23194	123.185	1
27.8155	77.3373	1
34.0009	-81.7712	1
35.5882	139.728	2
-2.42837	106.432	2
3.66668	98.6712	16
50.1212	8.63661	1
32.5711	-89.8764	1
41.6124	-81.2327	1
1.42821	124.977	1
-7.14941	-34.882	2
48.299	2.39383	1
48.7734	2.07451	20
40.8314	-73.8681	4
-25.7504	28.2064	1
-7.97656	112.628	73
42.917	-78.8507	4
55.705	37.3564	1
33.1135	-96.672	1
40.5778	-111.91	3
50.8642	-103.333	1
43.2943	5.40513	3
-6.81011	107.151	2
50.5225	3.03375	5
35.2035	-80.836	1
1.36294	103.951	2
34.385	132.589	1
46.8415	-71.3703	1
43.0967	-87.9122	10
3.35359	101.253	1
1.22835	110.697	1
50.8302	4.34216	7
37.7542	-92.116	2
4.87181	-52.3279	2
1.27938	124.889	3
48.3421	-122.671	1
47.3321	5.03236	1
52.3834	13.1196	1
51.6636	-0.810113	1
48.6221	22.2912	1
-6.90558	107.626	30
48.9226	2.51516	112
43.2607	-79.9135	1
48.9356	2.04449	20
46.6352	1.09568	1
-0.514978	117.166	1
52.3547	4.90405	1
41.4278	-81.6245	1
50.8333	4.0	1
48.1261	1.52292	1
29.6296	-95.2624	2
44.8638	-0.586176	6
-6.56218	106.771	8
34.7829	134.849	1
-7.15262	111.583	1
42.572	-83.3814	2
-1.27144	36.8123	1
33.8881	-84.541	1
-22.9365	-46.5619	1
-0.0097584	109.307	2
50.4426	-4.95555	1
52.8323	-9.43962	1
-7.29068	108.004	2
36.8687	-2.37369	1
-2.76744	107.693	1
55.4329	37.7628	1
-2.97932	104.738	6
36.1007	-79.839	1
46.5831	0.34654	1
32.3795	-95.3224	1
40.2659	-7.5764	1
47.613	-122.342	4
48.5895	2.24626	11
7.25343	5.16884	1
48.1205	-1.65225	7
-7.42272	109.25	1
45.7607	4.85089	4
34.1693	-80.8932	1
42.469	-82.8954	1
-7.82869	112.02	1
40.5646	-74.1468	1
-30.0997	-51.1593	1
39.211	-76.8439	1
28.9699	-111.498	1
59.3942	18.6174	2
0.0	0.0	18
48.9875	1.91135	5
47.8566	1.9147	3
56.8747	16.6574	1
43.0039	-83.6333	2
40.3537	-94.8858	1
47.4815	-0.563019	2
58.3788	13.4678	1
-33.9076	25.5553	1
35.684	-81.991	1
29.5042	-95.5239	1
6.43955	3.36608	1
55.7355	37.0359	1
-8.45547	115.072	1
38.9366	-76.7722	1
59.9341	30.3287	6
-0.789275	113.921	1
44.9281	2.44146	1
-3.42718	114.791	1
33.7976	-118.193	3
49.0714	2.10159	7
-8.58183	116.107	1
34.6881	-79.2023	1
21.7836	-72.2039	1
47.3859	-122.313	1
48.9751	1.71	3
-7.46435	112.429	2
35.975	-78.8993	1
-23.8633	-46.2901	1
-22.5832	17.0928	1
40.9437	14.2333	1
56.1107	-3.32511	2
52.0508	113.401	1
49.0805	2.67006	12
34.0889	-117.966	1
2.2879	111.831	1
-8.64872	115.173	7
30.0277	-95.5155	1
49.2771	2.46442	1
