Latitude 	 Longitude 	 Weight
-17.8316	31.1381	1
34.3736	-80.0839	1
34.4014	-101.777	1
-19.9187	-43.9598	187
45.2333	7.84736	1
41.387	-80.7616	2
38.1377	13.3472	4
-5.97636	-35.9228	1
19.3184	-98.2454	5
39.5785	-80.136	2
55.5715	38.2275	4
13.3438	-88.4353	1
40.6615	-74.1955	49
34.9909	137.064	3
43.3512	-2.83942	1
34.6809	135.163	1
-21.21	-48.2936	1
-22.8129	-45.2349	10
35.165	136.911	12
38.5213	-90.0134	2
46.2899	-119.964	2
3.14715	101.841	128
58.3533	11.8134	1
-0.238819	-50.7698	5
47.2493	-122.457	9
31.4162	-103.494	2
53.2109	5.67335	2
49.4527	-2.54198	1
45.9653	13.4063	1
48.8534	2.64746	120
5.40243	100.695	1
-24.1895	-54.0695	1
51.4208	-1.10123	3
47.0895	-122.426	6
28.9707	-80.8529	1
38.028	-121.892	3
33.516	-82.2263	3
4.85494	6.98791	1
36.3998	-78.1593	6
48.086	7.36353	4
-29.6239	-50.9986	7
-14.5329	-49.1422	1
52.2816	-1.94571	1
37.7946	-76.5499	1
8.27059	98.3332	2
44.9375	-92.9214	2
40.9514	29.3893	1
56.7431	12.7834	1
-8.1179	112.189	2
41.7434	-88.3088	4
-7.03353	-37.3471	2
46.6604	-122.979	1
22.8881	69.543	1
43.6044	-96.5591	1
23.6254	-102.558	1
42.0483	-72.5696	11
50.1212	8.63661	8
33.5153	-86.656	8
43.6604	-84.9087	2
-33.2367	-70.7706	1
-22.4012	-49.4018	1
-23.5298	-45.8447	1
33.6783	-117.784	12
36.0778	-86.9129	4
38.4614	-82.648	10
44.969	-93.0852	6
34.4873	-118.159	8
38.0096	-121.353	2
42.3937	-82.8628	3
-7.82777	-35.3164	1
29.5825	-98.2757	7
14.9678	-91.782	1
43.6814	-79.7831	8
-28.3787	32.2971	1
-26.4195	-51.8397	2
51.9187	19.1348	5
-16.4024	-41.0586	1
42.8355	-106.272	1
35.8305	-85.9786	9
33.7532	-112.317	4
3.42042	101.441	6
34.8789	-117.004	1
10.9018	106.706	1
38.8736	-94.6415	6
