Latitude 	 Longitude 	 Weight
35.528	-108.69	20
-19.9187	-43.9598	1009
41.387	-80.7616	4
40.2071	-89.6896	1
50.0645	5.76072	7
34.2964	-83.4102	2
47.6093	-122.154	35
5.09294	100.492	47
-34.5867	-58.5734	71
34.9371	-83.8465	1
3.17036	99.4192	1
41.7616	-87.8592	47
40.8458	17.2978	4
39.5385	-119.862	23
-22.8099	-43.1853	214
-0.216815	100.633	18
52.9265	-0.645783	1
38.4817	-80.766	1
53.2109	5.67335	36
42.7821	20.4988	1
52.1674	-2.40599	26
37.5812	126.897	33
36.5741	-105.562	1
50.795	-2.61142	13
52.2854	8.91688	3
39.573	-87.9402	2
49.1737	0.658647	2
32.7575	-88.9737	2
56.1353	-3.22462	2
49.1281	-0.576864	2
36.953	-84.7006	1
-28.6758	-52.1656	1
38.3239	-122.307	4
35.0384	-76.6958	1
51.9187	19.1348	21
33.7369	-87.2695	1
41.8571	-84.3516	1
41.2954	-89.0679	4
-20.748	-42.8803	2
-20.6364	-44.2754	4
-21.6508	-54.4583	1
44.7698	-63.6992	1
36.858	-121.628	2
51.7299	11.1164	1
43.4835	13.4489	14
53.8581	-8.88359	1
-12.9679	28.6391	1
12.0682	124.596	1
-42.7831	147.045	3
58.3613	11.9121	2
13.3272	77.1249	1
1.91873	102.936	131
31.4791	-110.259	8
31.9802	-93.9989	1
43.5252	0.1685	1
30.0453	31.3692	104
28.9498	-96.6971	1
52.9691	10.5584	3
35.7839	-77.5285	23
-1.69975	103.267	1
49.8892	10.8891	2
36.1573	-109.588	2
33.8082	-98.2164	1
41.3095	-4.92024	4
36.5172	-4.88835	21
-4.17223	-40.5196	3
40.307	-99.3492	1
33.9053	-94.8313	1
-0.62613	100.154	5
37.8485	27.8379	2
35.9406	-80.1447	15
51.0938	1.13786	5
-6.90558	107.626	4085
44.0384	11.1562	1
42.8956	-77.3042	6
-22.3076	-53.8466	1
-3.25604	116.22	1
50.5396	18.7283	2
-4.08732	-63.1433	2
-7.59176	-37.5407	1
44.3659	5.51724	1
29.6934	-91.2732	3
37.9226	-121.304	106
38.7368	-1.67796	1
-34.4591	-58.6512	1
10.1589	-70.0658	2
46.5748	-96.0849	1
30.1669	-97.6281	56
49.0492	-0.7597	1
40.3379	-76.4214	15
52.0429	18.3787	3
41.9502	-86.3397	9
-6.4686	108.295	3
40.9889	-94.7486	1
37.9233	15.788	1
52.1898	-0.0621373	2
52.5136	5.68839	6
36.544	32.0152	5
-28.739	-49.3605	38
34.2377	-89.6251	2
46.2635	20.1404	13
-7.0949	110.925	5
44.9022	-0.710472	208
41.401	-73.4256	30
32.0039	35.2802	2
46.5889	-120.553	8
44.4267	-73.0869	5
55.2507	11.784	2
-20.0806	-44.5819	8
-4.1373	104.184	4
