Latitude 	 Longitude 	 Weight
35.0371	-80.6017	1
33.8337	-118.351	5
-29.4982	31.2444	1
-19.9187	-43.9598	47
40.5755	-8.50895	2
19.4805	-70.7274	1
30.4527	-97.599	2
38.1377	13.3472	2
43.9291	2.13251	1
3.10113	103.088	1
38.5615	-121.461	3
39.8775	41.2398	1
34.6809	135.163	3
37.7547	-100.043	1
-22.6622	-45.0031	1
17.7272	83.3034	2
42.4079	-71.162	4
-23.2765	-46.7111	2
34.4258	-119.718	2
34.1524	-118.431	14
5.40243	100.695	2
56.6901	23.7787	1
42.6866	-8.98969	5
34.7195	-114.491	1
-6.60056	106.815	37
10.3119	-85.8209	1
-7.28581	108.209	7
-41.4595	-72.9031	2
35.1191	33.3827	1
50.795	-2.61142	7
40.4668	-81.4078	1
50.1212	8.63661	2
-9.95786	-67.8066	1
40.0495	18.0566	3
39.8668	-75.0347	2
-7.08701	110.763	1
35.6331	140.062	1
4.46395	114.041	2
52.0938	6.16122	1
43.536	5.38792	1
51.807	5.71386	1
3.4625	101.657	6
43.6814	-79.7831	5
50.7853	-2.24756	2
-26.4195	-51.8397	1
37.9947	23.753	1
32.3329	-116.929	2
13.7201	-88.8707	1
53.2733	-3.22186	5
41.0712	14.658	5
36.6888	139.889	1
48.0795	-4.32464	9
5.05512	-75.4841	7
43.4835	13.4489	2
14.6246	-90.6159	3
53.3934	-2.91859	17
38.7913	0.0334633	2
30.5215	-87.0126	2
38.9308	-76.4978	1
-19.4731	-40.6271	1
29.2775	-98.6717	1
33.233	-86.806	1
58.6482	31.415	1
37.3944	-121.99	3
46.0532	8.9861	2
2.83864	101.752	32
37.9176	-76.8671	2
55.5965	36.8846	1
61.2465	46.8807	1
36.8406	-76.2676	4
52.6003	39.6002	4
39.7189	-84.1764	1
45.5322	8.88755	6
35.0122	-90.7854	1
41.6999	-88.3145	2
-23.6839	-46.9469	8
51.6653	5.61256	1
52.2858	5.65324	4
49.2887	-123.091	2
36.3468	-82.4071	3
-7.45259	109.243	6
-29.9153	-51.1771	10
37.5992	-122.406	3
16.959	-99.7356	2
3.04231	101.447	68
50.8387	4.36307	2
51.9141	6.56715	3
-6.37905	106.833	127
6.11277	100.374	6
-38.265	142.866	1
37.8223	-85.7682	1
-7.87435	110.423	29
4.02948	9.69485	2
51.7432	-0.980592	2
12.9087	77.6279	6
-5.94912	-35.4266	1
6.25384	-75.5968	1
38.0197	12.5266	1
-21.5723	-45.4008	2
-28.739	-49.3605	69
18.5305	-72.342	1
5.65801	-0.00969	1
52.899	6.885	1
42.5756	1.7843	1
45.094	11.654	1
53.8872	27.4374	3
-4.56236	136.875	1
35.894	139.951	4
42.3049	-71.4369	2
-33.4426	-70.648	18
37.0719	-8.77555	7
43.8096	-89.1172	1
44.0149	-92.4318	1
42.5092	-7.58527	1
4.06907	98.1222	1
23.2438	87.0624	2
43.6469	7.09828	7
-23.534	-45.2259	1
39.9436	-0.0907974	1
51.62	19.3657	1
49.1697	2.23616	1
10.9516	-74.7783	5
-23.4052	-51.9367	2
48.6927	5.33116	1
28.9699	-111.498	2
48.3946	7.44362	1
-29.3289	-49.8051	1
-7.42692	108.164	3
19.8872	-100.914	1
52.8471	-2.29813	4
-4.91685	-38.9252	2
-1.45502	-48.5024	5
38.5029	-0.255463	1
-19.6263	-43.8892	1
53.5947	-2.31195	9
43.4526	-80.4673	1
41.7167	-71.4652	4
39.9107	116.386	1
-29.1822	26.2293	1
-26.4233	-49.1569	1
42.8879	47.6334	1
36.3087	-119.29	3
51.6524	39.2406	8
45.3914	11.7935	31
2.95458	99.0491	1
39.1232	-94.7484	1
33.6625	73.0762	2
23.8661	90.3989	1
52.7008	1.62898	1
52.0983	-0.476927	2
3.81677	103.293	5
52.7898	4.79728	2
42.0579	-71.0743	1
37.9733	-122.056	1
39.774	-75.7293	1
50.827	-1.35515	3
49.3598	1.79644	2
30.4639	-90.9718	1
53.5577	-2.04767	44
0.503619	108.909	1
52.6184	-1.68823	1
38.6761	-90.1707	3
53.3215	50.0679	8
34.8421	138.135	1
-22.6456	14.5256	1
71.9769	102.492	1
22.4926	88.3625	2
13.7832	100.546	3
