Latitude 	 Longitude 	 Weight
25.897	-97.481	2
44.5472	0.04196	1
40.6067	-112.024	3
53.4039	-1.56304	2
28.5923	-81.2832	1
45.374	11.0348	1
-19.9187	-43.9598	13
40.9356	-72.9362	1
40.5721	-111.849	1
33.8843	-5.53533	4
38.1377	13.3472	1
33.7615	-117.767	2
43.5972	-84.7703	2
-8.50646	115.261	1
-26.3075	27.9439	4
35.4442	137.038	2
52.0231	5.55162	1
41.3438	-81.8311	2
64.5245	39.7407	2
-38.7653	-72.5958	1
55.5715	38.2275	1
2.33371	102.088	2
12.6199	102.146	1
5.85457	118.073	1
42.8747	-8.54308	1
34.6696	-80.7849	1
41.4755	-81.5064	1
1.51802	103.673	5
38.4104	-76.8517	1
44.805	-91.4403	1
9.76232	125.482	1
36.7789	34.5908	1
45.5162	-93.8206	1
40.8612	-82.3027	1
-4.40388	-39.4102	1
18.3392	-65.7116	1
35.1172	-80.9568	1
39.7666	-86.4413	1
47.2493	-122.457	2
50.8716	-1.57635	6
46.2651	-119.899	1
-23.3921	-46.4539	17
-29.3292	-51.5004	2
38.0378	-84.501	5
44.7321	-92.8553	1
35.8582	-86.3724	1
19.0322	-98.1543	14
36.4239	-82.5757	1
42.1379	-83.2056	2
39.6126	-75.9444	1
61.7464	50.8191	1
5.32964	103.141	1
-33.9681	151.087	3
41.3941	2.1393	6
36.078	-110.175	1
32.964	-96.691	5
43.2398	76.9044	1
52.8665	-1.4321	2
49.4448	7.60418	1
45.3309	11.7639	1
46.0614	6.58799	1
43.3531	-5.88123	1
39.8392	-88.973	1
38.7779	-77.5281	2
33.6625	73.0762	2
-25.8547	-48.5643	1
48.8443	-67.1673	1
31.8111	-106.43	1
28.0004	-81.927	1
42.4884	-83.1481	5
50.795	-2.61142	1
32.974	-111.539	1
39.726	-104.986	1
-9.53333	-35.6873	1
32.2185	-101.498	1
38.502	-117.023	1
19.0171	73.0865	1
-33.2367	-70.7706	1
51.7487	18.0776	1
-9.95786	-67.8066	1
51.4666	-3.20636	1
41.8815	-88.1973	4
29.513	-98.6558	9
55.8827	37.7051	2
39.4007	-9.10914	2
9.90951	-84.5164	1
49.0497	-122.34	1
57.1691	-2.13901	3
32.3111	-90.1888	4
47.9442	-122.255	2
31.6465	-8.01249	4
30.3337	-81.4865	1
43.8726	-79.2961	1
41.7625	-72.757	5
35.0297	135.573	2
-5.28852	-35.6104	1
-26.8728	-49.1096	2
-26.4195	-51.8397	1
-20.7352	-48.5892	7
41.4248	12.7851	2
33.317	-111.764	1
40.0818	-80.6862	2
59.9383	30.4895	4
38.105	-85.3421	1
32.1774	-110.884	2
54.9389	-7.20699	1
-27.6442	-48.6774	6
29.6753	-95.2226	1
48.6147	7.73853	2
-6.71964	108.55	1
35.4736	-108.545	2
35.9188	126.622	1
-2.62921	-44.3026	4
42.0491	-88.2728	1
59.3607	18.2219	1
46.5847	0.371571	1
57.1492	65.5256	2
39.4767	-87.401	1
33.9777	-118.07	21
53.6059	-2.43136	1
33.1135	-96.672	6
12.1854	-68.9618	1
-7.99402	-34.841	1
32.7328	-116.977	2
33.6691	-84.0393	1
41.1621	-8.62191	3
41.9527	-88.0122	1
-23.6828	-46.5955	64
51.529	0.438418	1
30.2847	-97.7036	1
47.6816	-122.026	1
49.4931	0.121868	2
49.839	2.052	1
41.5589	-87.6652	1
-19.6047	-47.9692	1
52.4332	-1.05322	1
48.1159	-1.68833	1
43.4782	-80.5283	3
32.5917	-96.837	1
5.37301	100.555	1
35.2035	-80.836	5
29.7985	-90.791	2
