Latitude 	 Longitude 	 Weight
43.8127	7.76592	1
50.0645	5.76072	1
45.0478	35.3753	1
37.2376	-6.9188	2
-34.4058	-70.849	3
29.887	-97.9438	5
40.4644	-75.157	1
38.1377	13.3472	10
39.9688	-84.9258	1
43.9291	2.13251	1
29.9174	-95.6526	1
13.2549	-59.6306	1
-22.8437	-47.2618	14
39.5785	-80.136	1
47.888	-3.91904	1
34.4495	-88.6634	1
53.5256	-1.54917	6
0.132077	110.547	1
10.0607	-65.0133	3
45.3487	-75.666	1
41.3747	-72.1601	2
41.3432	-81.1865	4
-0.238819	-50.7698	1
16.959	-99.7356	10
15.5738	32.5729	3
-23.2765	-46.7111	8
53.2109	5.67335	3
41.9196	-91.6524	1
48.1086	-96.5876	1
47.3122	-122.345	6
39.8117	-76.9816	1
-32.7967	151.661	1
5.40243	100.695	2
12.8399	77.6588	1
18.3568	-93.251	3
32.683	-117.039	18
33.6039	-117.658	3
32.4977	-111.264	1
36.3998	-78.1593	1
-29.6239	-50.9986	50
52.1674	-2.40599	1
2.97404	99.1284	2
40.8481	-8.46797	2
-22.0779	-48.7323	2
37.5755	127.005	2
44.0541	3.9765	1
56.7431	12.7834	1
29.1978	-81.9201	1
41.3292	-74.3538	3
38.3806	-76.9681	1
50.795	-2.61142	2
44.1666	10.1187	1
-1.87743	106.115	1
50.1212	8.63661	35
32.2953	-85.5405	1
-6.99464	-36.7142	1
47.7114	-3.35196	1
2.86791	98.2405	1
-31.7484	-52.3994	1
42.3937	-82.8628	7
36.6866	-121.641	5
-28.6758	-52.1656	2
-37.4731	-73.3523	1
-0.853156	100.37	7
42.7118	-80.0441	2
42.0341	11.839	8
55.9154	38.0113	2
51.9187	19.1348	3
19.2295	-98.8538	1
35.8305	-85.9786	3
33.7532	-112.317	4
41.9065	-87.8552	3
-8.62316	116.523	1
32.3329	-116.929	2
19.2542	-99.1246	12
-26.0158	28.2618	1
33.4123	-86.7165	1
22.2703	-97.9168	7
-20.6364	-44.2754	1
58.5905	49.6388	2
-27.4113	-51.183	1
41.5342	-8.62018	2
-7.89481	112.507	22
48.0795	-4.32464	1
26.2992	-80.0823	4
