Latitude 	 Longitude 	 Weight
43.8127	7.76592	1
50.0645	5.76072	1
45.0478	35.3753	1
37.2376	-6.9188	2
2.82097	101.443	3
38.1377	13.3472	11
43.9291	2.13251	1
-22.8437	-47.2618	14
39.5785	-80.136	1
47.888	-3.91904	1
34.4495	-88.6634	1
18.2735	-78.3406	2
52.078	21.0101	15
51.2689	0.509831	3
0.132077	110.547	1
45.3487	-75.666	1
42.6093	0.528115	1
34.6927	-77.5023	1
41.3432	-81.1865	4
-0.238819	-50.7698	1
16.959	-99.7356	14
0.536591	123.066	1
-23.2765	-46.7111	9
53.2109	5.67335	4
41.9196	-91.6524	1
48.1086	-96.5876	1
39.8117	-76.9816	1
42.8926	-88.1985	1
42.5105	-7.49825	14
5.40243	100.695	2
12.8399	77.6588	1
47.4987	8.73303	1
18.3568	-93.251	2
32.4977	-111.264	1
-29.6239	-50.9986	47
40.8481	-8.46797	2
-22.0779	-48.7323	2
44.0541	3.9765	1
56.7431	12.7834	1
29.1978	-81.9201	1
27.8155	77.3373	1
50.795	-2.61142	2
14.7015	121.021	65
52.573	-1.547	3
33.8232	-84.3679	17
50.1212	8.63661	39
32.2953	-85.5405	1
47.2516	-122.316	8
-6.99464	-36.7142	1
47.7114	-3.35196	2
-31.7484	-52.3994	1
-28.6758	-52.1656	2
-37.4731	-73.3523	1
42.4172	14.1835	1
42.7118	-80.0441	1
42.0341	11.839	10
51.9187	19.1348	3
19.2295	-98.8538	1
35.8305	-85.9786	2
39.0711	-108.47	1
9.84043	-84.3272	1
32.3329	-116.929	2
43.2446	1.36499	1
31.8876	-89.7297	1
4.4856	97.9506	1
-20.6364	-44.2754	1
-20.1651	-47.4249	1
-32.1947	-52.8591	1
41.5342	-8.62018	2
46.0232	-1.38466	1
-7.89481	112.507	30
48.0795	-4.32464	3
26.2992	-80.0823	3
-6.38408	-47.0995	1
43.4835	13.4489	2
21.2503	-102.329	1
53.3934	-2.91859	41
-3.95811	120.172	1
36.8464	-80.7117	1
43.8576	7.22183	3
38.3934	-120.679	1
5.55652	117.855	1
30.5215	-87.0126	9
36.9488	140.911	2
-19.4731	-40.6271	1
