Latitude 	 Longitude 	 Weight
36.1314	-120.153	1
-19.9187	-43.9598	330
30.3346	-95.0785	3
39.4511	-83.8314	3
30.8348	-89.5499	17
40.2071	-89.6896	2
38.7946	-123.02	1
37.9646	-77.0343	7
49.0713	18.925	1
36.7542	34.5464	9
-33.012	27.9157	3
34.7031	-77.5405	11
-38.0268	144.439	1
41.5493	-6.12791	1
40.8458	17.2978	2
45.184	5.71568	134
41.6931	-71.6615	9
13.0746	80.2379	6
53.7607	-0.3596	22
41.3326	-94.3184	1
40.8747	-80.2825	14
53.3107	8.7361	1
40.092	-78.5208	1
35.7369	-80.3782	7
37.7506	-92.1075	12
41.9461	-80.3864	2
37.5812	126.897	12
38.8778	-104.704	45
46.4445	7.56682	2
50.795	-2.61142	4
36.8866	-75.9868	6
49.1737	0.658647	1
50.1212	8.63661	8
-26.2079	28.0587	52
52.1184	-1.01848	8
49.1281	-0.576864	2
37.924	127.078	6
-2.23626	113.931	1
43.7901	-0.922984	9
54.174	60.2421	8
-7.27048	-38.9555	1
51.9187	19.1348	9
43.2187	2.05788	11
44.4653	3.19363	3
33.7369	-87.2695	2
37.5267	-120.887	16
38.6334	-85.4996	1
43.4594	11.8788	2
53.1689	8.5988	1
43.3305	-83.737	3
36.2592	-77.4939	2
43.4835	13.4489	2
44.5238	-69.6652	3
36.604	-119.449	53
41.4554	-82.0129	42
30.5883	-97.6917	17
6.27782	-75.5984	3
-35.212	149.008	2
45.9337	6.12311	6
46.707	-92.432	1
30.8783	-102.855	2
39.8507	-74.9097	60
48.4068	-119.537	1
1.28818	124.913	4
46.3112	7.49254	1
32.493	-94.1605	1
-6.90558	107.626	414
29.7213	-90.609	5
28.4811	-81.3687	225
35.4798	-81.2436	2
-8.50603	115.268	15
42.6234	-83.9128	1
46.0844	-100.628	11
39.7279	-77.4624	3
45.5308	-122.465	71
29.3544	-98.4938	335
40.3379	-76.4214	11
37.4061	-80.7982	1
30.5807	-84.6125	4
-21.7783	-51.1702	4
47.8939	0.0643983	16
33.8732	-86.2722	1
52.5136	5.68839	5
43.6347	4.82084	4
36.544	32.0152	1
-28.739	-49.3605	14
35.9538	-83.9315	41
46.2635	20.1404	3
30.0035	-97.8789	20
37.062	-95.4216	1
51.1175	4.00601	11
40.4802	-4.64732	1
32.0039	35.2802	2
50.861	5.81868	70
44.4267	-73.0869	4
37.583	-115.227	1
34.5498	-117.172	4
34.0344	-80.4909	34
-22.7467	-47.1389	13
-26.3964	-51.0271	3
47.0484	8.55027	1
37.8072	-25.4945	1
50.1802	11.5164	1
-1.26841	-78.6404	1
34.3679	-79.5571	1
34.9952	24.7533	1
28.9699	-111.498	3
-6.7111	107.111	4
44.0595	-123.123	29
-26.2467	-48.8051	3
51.342	1.4269	5
51.012	8.58861	3
47.4815	-0.563019	43
-4.91685	-38.9252	1
30.4041	-88.5181	17
57.6811	11.734	15
53.2046	50.2277	4
40.384	-76.2693	1
48.2331	4.71679	1
32.4311	-104.242	7
26.9944	-82.0175	11
40.3107	-86.1278	3
51.9686	6.73188	6
37.0777	-76.6947	2
36.0873	-79.997	62
19.7496	-88.0135	2
38.9391	-76.0642	4
13.9311	33.7628	2
45.3914	11.7935	2
38.6898	-4.10785	1
44.2127	-100.247	1
37.2169	-121.977	63
39.8945	-75.2283	512
45.0545	3.91226	5
48.6455	4.96577	1
41.1727	-87.8813	16
54.591	-5.88083	7
20.2605	72.9491	1
27.76	-80.6047	3
15.5836	120.499	5
50.4059	6.83124	3
54.2795	-0.404397	7
36.8973	-79.3947	2
