Latitude 	 Longitude 	 Weight
43.8127	7.76592	1
41.6814	-72.941	2
-19.9187	-43.9598	52
39.0664	-84.2017	1
43.9291	2.13251	2
10.4396	-64.154	1
42.1414	-83.1934	2
41.6856	-71.1047	3
-22.8129	-45.2349	3
33.9023	-118.082	55
-3.76324	102.283	1
16.959	-99.7356	2
5.19934	96.7021	1
-34.0394	150.848	1
5.40103	-3.98776	2
-3.85604	-32.4342	1
38.7788	-94.6656	1
55.4715	-4.29541	1
58.5255	13.4626	1
54.2685	-0.417182	1
40.5247	-3.81615	17
39.1564	-76.9915	10
28.6024	-81.3416	20
-3.68096	-79.6827	1
-7.37955	109.241	2
31.0544	-97.5045	1
46.0452	6.42475	1
46.929	4.77614	1
49.8414	-97.152	2
54.0019	-0.44364	3
48.7793	9.17735	1
28.5905	77.3374	1
39.4487	-83.8163	1
33.2173	-87.5488	2
42.0918	-71.0196	5
50.1212	8.63661	3
38.502	-117.023	2
4.93197	-52.313	7
45.641	0.258407	2
52.2648	-1.53987	1
1.40264	124.959	2
13.9336	121.164	1
53.0153	17.7251	2
47.6975	2.01961	2
43.6814	-79.7831	22
10.4807	-66.5918	1
-26.4195	-51.8397	6
35.8305	-85.9786	1
39.0711	-108.47	2
53.2775	-2.89531	4
14.84	-91.5295	1
58.8932	17.9428	2
48.8254	2.13053	91
44.9088	-74.3486	1
-20.6364	-44.2754	2
30.3863	-91.5225	1
41.5342	-8.62018	1
50.7043	4.23713	2
-7.65633	112.907	2
53.1039	-1.03438	1
30.4208	-97.9225	1
-1.48433	-48.4968	5
37.4499	-4.45184	1
43.1059	-80.7545	1
38.9798	-94.7856	2
55.1872	34.3036	1
-19.4731	-40.6271	1
26.2316	-98.2207	2
3.18654	101.605	62
42.2945	-85.6512	3
26.3064	127.767	4
3.62601	98.4994	2
2.83864	101.752	14
33.5226	-84.3557	4
54.6303	-5.94374	1
35.5242	-108.721	1
36.7349	-108.21	1
52.6003	39.6002	1
9.90948	-84.5164	1
25.5901	-80.3875	7
33.3808	-79.1068	1
18.513	-69.8242	5
41.817	-71.4212	19
-23.6839	-46.9469	16
52.2858	5.65324	7
-8.21467	114.354	1
-33.308	26.5221	1
33.9169	-117.211	11
34.0161	-118.497	13
9.18046	-79.2727	2
45.1557	5.75038	8
-29.9153	-51.1771	33
46.0844	-100.628	1
32.3329	-95.2843	3
-7.01965	-37.2632	4
50.8399	5.31865	1
-5.11026	-36.6291	1
-8.59047	116.116	2
51.4	5.26978	1
33.4312	-82.0648	2
55.9183	-3.26502	3
33.377	130.49	2
-29.1662	-51.1825	2
31.8622	-81.6381	2
6.25384	-75.5968	2
41.9119	-87.9312	2
18.352	-67.0021	1
-26.4283	-49.3274	3
51.8954	5.07865	3
35.4483	-80.8525	2
-28.739	-49.3605	11
33.9088	-116.48	1
38.6463	-77.3461	8
38.3655	-93.7629	1
33.1688	-90.4994	1
30.3349	-82.7671	1
-23.5781	-51.4235	1
43.6777	13.2102	1
43.3955	6.29457	2
37.9777	-87.4585	9
-10.2392	-48.8529	1
40.6809	-89.6215	1
42.7478	-88.5522	1
-3.99241	122.498	1
37.9319	-1.20803	2
49.3039	8.10471	1
28.0328	-97.5071	2
42.5092	-7.58527	2
14.4504	-60.8768	7
29.0856	-80.995	3
42.7489	-84.4805	3
41.2447	-80.8899	2
47.2262	2.05921	1
51.62	19.3657	2
-25.9289	28.254	1
10.2536	-67.6076	6
38.5731	-76.0657	1
52.9974	6.55836	5
39.285	-8.40527	1
42.2607	-84.4255	2
10.6041	-71.658	7
38.8808	-77.1022	36
52.7016	6.18915	3
47.7456	-3.37891	1
40.0149	-75.076	24
2.69053	101.881	5
45.8583	4.95212	2
45.5588	5.89786	1
52.8471	-2.29813	3
19.2843	-81.3815	6
19.4325	-99.1534	54
-13.8375	-171.77	1
23.4781	-75.7553	1
-19.6263	-43.8892	3
4.04619	100.823	1
34.9091	-82.2144	1
-18.734	-39.7575	3
-7.46064	-35.1597	1
42.5666	-96.5158	2
-26.4233	-49.1569	2
40.8481	-8.46797	2
45.3914	11.7935	2
-23.417	-54.5603	1
10.07	-69.2913	5
-24.6352	25.9342	5
55.819	-4.03966	1
43.6144	-84.2233	1
-30.9286	-51.8289	1
51.0847	1.13573	1
22.8259	-100.317	2
-5.90692	-36.7753	2
35.9559	-83.9287	1
35.5238	136.167	1
52.2346	-0.881222	1
33.6911	-84.6256	1
39.956	-75.2413	25
45.0973	6.0811	1
-29.6334	-50.7686	7
35.6069	-97.5472	1
-23.4057	-51.9683	5
30.4454	-84.2453	12
45.005	-64.6031	1
41.9286	-74.0077	1
46.0443	4.08052	2
40.7394	14.6806	1
39.458	-75.7276	2
34.7233	-92.3379	3
48.9655	4.38	1
31.1085	-83.4246	2
59.3507	26.3605	1
39.9979	-83.1499	3
-29.6877	-49.9908	3
51.3587	5.56415	3
31.4802	74.2813	1
12.1274	-86.2648	1
29.5846	-98.2438	5
55.6594	37.9464	2
26.3251	-80.9939	1
53.4108	-2.97784	31
39.1175	9.52031	1
3.58111	98.6676	26
54.0536	-2.19073	1
47.1453	8.33557	1
-27.8411	-54.5215	1
42.9117	-87.8607	3
54.8744	20.5387	1
46.8901	-103.007	1
48.3966	2.47701	2
40.4244	-3.69168	4
-2.64275	-56.7431	2
48.1114	-1.72194	6
30.5141	-97.7049	3
35.309	-98.7166	1
10.9543	-63.8669	12
-23.3552	-47.9037	4
38.8169	-76.7549	5
50.406	6.83129	1
29.5812	-96.3305	1
53.6799	9.37268	2
-3.79757	-49.8633	2
47.5576	-122.19	5
53.6424	-1.7902	2
22.7392	-102.589	1
38.0402	-78.4849	4
30.3449	-81.6832	1
34.7359	135.575	1
-0.479125	117.156	3
34.088	-84.205	4
6.60011	3.23036	10
45.7578	4.8351	30
39.081	-94.3669	1
33.5786	-116.094	1
52.0828	-0.739571	4
55.4427	-1.69756	1
42.473	2.75637	1
55.8516	-4.51094	1
-22.8738	-52.5483	1
35.1788	-111.651	2
-21.4566	-41.6664	1
-20.8668	-51.308	1
33.6579	-117.906	12
52.3517	6.8595	9
40.0911	-104.806	1
52.5379	5.34582	2
41.1355	-85.0619	1
-5.89638	106.024	1
7.60731	5.30594	1
27.8773	-15.4801	1
49.6616	0.928599	2
-31.7484	-52.3994	2
25.559	-97.5474	1
-36.7325	144.288	1
-12.0374	-77.0847	10
41.4935	-90.4398	1
24.4878	54.3603	5
42.1498	-71.4885	1
45.4771	-122.848	2
-22.1148	-45.0545	1
17.0713	-61.789	4
48.4561	135.099	1
29.6679	-98.6497	2
45.6742	1.07781	1
51.9346	4.55594	11
52.7528	6.71888	1
50.6729	4.57014	3
36.101	-94.1813	1
29.3235	-89.3959	1
36.7821	-119.8	2
41.5938	-87.3418	2
48.7143	1.35211	3
35.4137	-119.501	3
-27.6364	-52.2459	1
-27.1	-48.635	2
53.3549	-6.2474	8
34.0609	-4.97538	1
39.8769	-7.1126	1
54.3695	11.0645	1
33.9113	-6.97045	6
-19.0705	-40.1465	1
33.8395	-118.247	72
39.1047	-77.5322	2
30.2172	-92.0386	1
50.3312	3.40581	1
13.5251	2.08931	1
49.8513	20.2544	1
42.2313	-71.1776	10
30.7136	76.7611	1
53.1955	6.29097	1
43.5398	7.00931	7
38.7921	-90.5164	1
-4.24577	-44.7828	1
33.7532	-112.317	1
44.702	-93.246	2
40.7368	-73.3564	16
13.442	144.792	2
-6.12445	106.66	31
-37.1136	-56.8603	1
-18.578	-45.4518	1
57.385	21.546	1
38.8778	-99.3181	1
45.4718	-73.8733	1
46.7925	-100.751	2
37.0567	35.3516	1
-16.3856	-46.8307	3
5.95387	104.191	1
9.04648	7.51198	9
50.7715	5.47086	1
39.5919	-0.587357	1
59.4268	17.9449	1
-32.0735	-52.1608	1
17.9968	-76.9259	4
36.1102	-95.8471	2
40.5626	-112.296	1
0.0675273	32.4756	2
-23.0614	-45.9175	21
-1.41893	36.9638	2
34.7124	-86.6664	3
48.5457	7.76367	16
-6.93841	108.482	1
45.7032	9.03668	1
-26.7242	-53.4817	1
48.7207	1.17068	2
-5.36709	-49.1241	1
50.6463	5.59416	1
64.1047	27.4529	1
44.6448	10.8969	1
37.2692	-119.307	24
47.9749	-122.349	1
47.8026	13.0543	1
-22.1868	-49.9589	7
51.138	6.74008	3
37.7153	-121.71	1
32.5762	-86.6807	1
-8.50846	115.265	5
42.4956	-8.77461	1
50.3545	3.59525	1
31.9918	-81.2688	1
49.1037	-1.11188	1
-22.6446	-43.3052	7
10.3524	123.89	4
33.5527	-112.259	4
14.5721	-90.4729	2
-27.1111	-52.6609	2
14.6134	-61.0962	41
49.8621	10.8501	1
-34.5993	-58.4105	4
-26.4775	-51.4095	1
45.5617	4.28996	1
7.28574	5.15005	1
18.4228	-77.1644	2
38.6669	0.0655531	1
-21.8793	-47.9053	5
33.9355	-84.3792	3
-21.893	-45.0983	1
43.6384	4.86301	2
-24.8917	28.9165	1
33.8605	-118.42	11
39.6226	-75.7677	8
51.4727	-2.81238	1
37.001	-121.556	2
-33.9284	18.8334	1
-29.392	-50.9007	1
39.3621	-111.584	1
35.0282	11.0021	1
47.4317	9.40213	1
-3.27028	-79.9659	1
37.9695	-7.85798	5
42.5643	3.01809	2
-29.1921	-51.3739	1
52.8947	-2.13544	2
37.4669	127.037	1
39.5071	-84.7452	1
-19.4679	-44.2477	2
35.8833	139.737	1
51.5207	-0.142822	1959
-6.0	35.0	1
-5.7915	-35.5497	2
-26.1206	-51.0906	2
26.4772	-81.7868	1
13.9128	120.907	1
36.2329	-115.238	29
48.516	2.63661	47
-6.9958	110.428	10
38.4634	-76.479	1
-20.939	55.2963	3
-20.3371	-43.3298	2
-25.4951	-49.2884	183
53.8089	10.1616	1
51.4471	-3.40543	1
38.1984	-81.5024	1
29.481	-98.4934	11
2.44051	-76.6188	1
-23.0595	-46.972	9
48.8371	2.48126	348
40.556	-74.2876	8
38.6855	-87.5089	1
38.7407	-121.232	6
38.3934	-120.679	1
34.8694	-118.158	2
-16.9046	145.76	1
38.185	-85.627	4
8.12923	-63.5409	2
16.2026	-61.6052	15
51.868	-8.43868	1
41.703	-88.1607	1
4.73156	118.1	1
42.7846	132.867	1
48.6772	2.50266	122
51.9561	7.62691	2
1.86117	104.63	4
-12.3487	-46.5503	2
53.5339	-2.18322	9
-3.8318	-49.6803	4
45.0403	7.65917	2
48.7951	3.2737	1
44.0358	-78.8645	2
-29.787	30.9576	5
28.0133	-82.0188	2
6.44918	3.25695	3
40.6795	-8.43651	2
50.9619	3.62986	1
55.9018	37.4381	2
53.4301	14.6255	1
48.8292	44.7576	1
-23.2877	-45.9637	5
56.2339	-3.14363	1
4.34365	100.904	2
-12.124	-60.2921	1
38.5617	-121.461	22
4.84982	114.886	3
