Latitude 	 Longitude 	 Weight
-35.1465	-70.0827	1
-19.9187	-43.9598	1587
41.387	-80.7616	13
39.5136	-78.7689	2
40.9635	-76.613	1
54.1364	-7.22303	1
51.4631	-1.00671	284
38.5615	-121.461	168
39.9703	-74.1321	16
10.1468	76.2261	1
47.888	-3.91904	2
50.6215	6.32316	1
4.06907	98.1222	1
41.3093	-72.9278	58
3.54994	99.0355	1
39.5385	-119.862	25
41.3432	-81.1865	14
-0.216815	100.633	14
-19.2175	-41.1462	1
40.9932	15.6597	1
52.0429	18.3787	1
38.0941	27.7296	3
53.4412	41.8039	1
40.3074	-75.1137	1
42.0177	9.34861	1
41.6108	0.617812	1
42.6483	12.9537	1
53.3107	8.7361	4
9.94388	-67.1725	1
43.7896	-89.3224	1
52.2701	-0.747592	27
52.1674	-2.40599	8
36.5558	139.887	2
10.3119	-85.8209	1
39.9688	-84.9258	3
-7.94169	110.507	227
60.4672	26.9411	4
50.795	-2.61142	33
13.7478	121.074	7
43.6009	78.2529	8
39.573	-87.9402	2
-1.06756	36.6244	1
50.1212	8.63661	71
-23.3312	-46.7082	90
48.2247	8.38952	1
53.144	8.22096	2
45.7263	-93.7408	1
41.0784	-8.56101	238
6.62889	3.49335	19
-28.6758	-52.1656	2
42.7363	-93.7162	1
39.5922	-8.37447	2
54.174	60.2421	7
43.6814	-79.7831	53
33.4792	-86.9954	5
-22.9527	-47.3038	98
33.9125	-6.97121	81
39.0711	-108.47	3
-6.95344	107.42	62
52.1789	-0.88267	5
41.2954	-89.0679	5
50.7549	-1.88556	55
-20.748	-42.8803	2
-20.6364	-44.2754	5
-2.96991	119.901	2
-21.6508	-54.4583	1
47.4317	9.40213	1
30.2427	-91.8586	2
38.9849	1.29991	2
-42.7831	147.045	5
13.3272	77.1249	1
3.24967	102.421	1
38.3934	-120.679	1
31.4791	-110.259	14
-29.5925	-50.8105	154
-27.1412	-51.5856	1
41.3445	-86.266	3
35.3559	-85.9545	2
37.6282	-87.1142	3
35.0136	-97.3592	1
21.4883	-104.901	9
13.1577	-61.219	20
39.8742	32.8255	99
4.01689	101.971	2
35.5475	-84.3198	1
-21.7916	-51.8625	6
22.3711	113.995	14
33.5238	134.117	1
18.1718	-77.0127	1
17.7272	83.3034	2
36.1573	-109.588	7
41.3095	-4.92024	4
38.66	-87.1592	2
33.3808	-79.1068	1
35.0122	-90.7854	1
42.6093	0.528115	1
41.5951	-83.7874	4
-33.308	26.5221	7
9.33254	-79.8886	3
42.8956	-77.3042	5
37.7126	-5.27936	2
35.4798	-81.2436	2
0.499754	111.843	2
38.9395	141.105	2
41.8005	-88.1674	53
8.87987	-75.6895	2
43.511	-8.26934	4
53.1871	9.74718	1
52.3326	0.529435	5
30.1669	-97.6281	27
9.35791	-82.2505	1
40.3379	-76.4214	7
49.8572	3.30689	4
31.8722	-91.1348	2
52.5136	5.68839	9
38.5367	-0.133035	4
51.757	5.71842	15
-28.739	-49.3605	217
40.8654	-79.8874	1
46.2635	20.1404	2
41.6603	-4.42588	1
-7.0949	110.925	5
42.0901	-78.4347	1
40.4539	-8.44551	3
41.7474	-74.0794	4
34.324	-86.3131	1
18.4901	-66.8568	4
37.0509	35.2748	27
37.2515	-76.7661	2
-20.0806	-44.5819	9
-22.0829	-49.742	1
43.5378	3.4597	6
42.7489	-84.4805	85
46.8222	29.4859	1
29.7047	-95.1159	96
38.9728	-97.0224	1
-26.3964	-51.0271	7
37.8072	-25.4945	7
-38.1355	176.24	1
