Latitude 	 Longitude 	 Weight
2.04811	103.382	5
52.8865	-1.43711	1
47.7395	7.36367	2
59.9341	30.3287	3
4.46404	114.041	1
-19.9187	-43.9598	1
-1.74911	102.839	2
-22.916	-43.4473	2
52.4996	4.97251	2
33.4337	-117.62	2
4.6218	-74.0695	1
56.0229	92.8965	1
32.7571	-108.141	1
10.3645	-66.9791	1
-6.57691	106.778	2
9.65787	123.853	1
52.6636	4.85427	3
53.3933	-2.91859	1
55.8598	37.6881	1
52.6003	39.6002	1
43.3984	-94.8158	1
52.2561	18.2626	1
46.8091	7.17737	1
40.7835	-81.2765	1
37.1511	127.068	1
36.5772	-79.4132	1
-6.16913	106.854	16
48.9798	1.98491	1
50.7776	5.97682	1
51.8825	5.60462	2
52.4949	-1.88127	1
-7.54717	110.816	2
-23.3804	-46.3128	1
19.184	-96.2312	2
-9.71929	-35.9061	1
52.5511	5.90544	1
30.4467	-97.6618	2
33.9899	-117.892	1
5.10574	100.969	1
53.168	5.43387	1
24.5955	-104.841	1
48.8574	2.49693	8
51.9542	4.47246	2
49.1994	-122.913	4
-23.4057	-51.9683	1
51.4943	3.62649	1
54.777	49.9181	1
25.7558	-80.2957	3
53.1866	6.1661	1
18.3568	-93.251	2
53.3601	6.41883	1
35.8792	14.4836	1
52.0842	5.08277	9
42.5654	20.9269	4
53.8461	14.3126	1
-30.0997	-51.1593	2
40.4103	-3.89828	6
19.2708	-99.6499	2
-23.621	-46.7853	7
51.6862	3.72291	1
38.5231	-77.2899	1
53.4946	-6.23572	2
39.4914	27.903	1
52.0475	6.10239	2
48.8588	2.34693	10
-7.78094	110.363	5
53.3215	50.0679	1
31.8111	-106.43	1
-29.4693	-54.6294	1
33.2357	126.306	1
19.3719	-99.1687	11
54.7597	55.8957	1
45.7456	4.71819	2
52.0263	4.92474	1
7.11614	125.64	1
-12.0397	-77.0444	1
1.42922	110.333	1
57.1506	65.5568	2
2.82812	101.737	4
48.8271	8.21144	1
29.8877	-97.6849	1
5.92365	116.064	1
-45.8798	170.498	1
33.7227	-5.00904	1
21.9267	-99.9972	1
59.0838	17.5272	1
50.6031	7.21263	1
56.8563	35.8886	1
36.4751	-95.0172	2
54.9508	-1.6193	1
1.47326	124.871	1
51.3066	5.79682	4
-22.8952	-47.0303	2
38.9637	35.2433	9
39.7798	-86.1328	1
49.9783	9.14356	1
12.1291	-86.2615	1
-23.5108	-46.8823	1
-26.8728	-49.1096	1
-25.4443	-49.263	5
52.073	4.32055	2
3.05122	101.559	22
38.9966	-76.9372	2
-23.0614	-45.9175	1
51.4022	5.38426	1
40.9617	-72.1948	1
41.7597	-88.3011	1
-2.57242	-59.9803	3
48.7061	6.1677	2
50.4594	4.85369	1
46.5115	6.61958	1
50.3799	3.10048	1
51.5207	-0.142822	94
20.941	-89.6236	1
1.32662	103.903	13
34.7015	-118.103	2
44.3711	-83.8055	1
36.1306	-86.7922	1
-24.4958	-47.8553	1
52.2844	6.44019	2
3.35881	101.629	1
45.7655	-0.614422	1
33.6745	-116.161	1
0.247298	-51.0637	1
52.341	6.24061	3
10.1551	-64.6995	1
28.9567	-13.5873	1
43.6409	1.39302	1
47.9614	11.7875	1
-23.1884	-46.8777	1
51.8379	4.35844	1
51.6035	4.31716	3
53.206	5.97229	1
8.86649	-79.785	1
51.7525	4.09969	1
55.795	49.0696	1
-23.6828	-46.5955	16
33.8901	35.5675	1
52.3671	4.88943	2
25.9422	-97.4151	1
28.6791	-99.8343	1
3.14853	101.705	33
30.3449	-81.6832	5
40.0277	-74.8917	1
2.20133	102.248	4
39.7312	-81.5157	2
-26.3075	27.9439	2
50.871	15.7373	1
0.0254708	-51.0719	2
44.2838	0.24769	1
16.2586	-92.301	1
51.5818	0.800536	2
53.1119	6.62842	2
51.5083	5.98973	1
-6.9958	110.428	1
42.4317	-8.64096	1
51.4905	5.13782	2
-36.7374	-71.0353	8
4.11115	101.29	2
39.728	-105.036	1
-23.3921	-46.4538	1
51.5163	3.83821	2
51.5599	4.76485	1
42.9345	-88.403	1
5.4298	100.318	2
56.4073	61.9156	1
37.7892	-122.404	1
52.5142	6.10694	2
53.2791	34.3808	1
55.9738	37.5038	1
41.6755	-71.4999	1
39.7416	-8.95246	1
48.383	31.1814	13
-37.8568	144.885	1
-6.2096	107.197	1
31.7084	-106.315	1
40.6879	-73.8083	2
52.2186	5.62404	1
51.5624	0.501003	1
42.2388	-84.4078	1
14.6632	-89.6243	1
39.8593	32.6496	1
47.4324	12.2198	1
34.0004	-83.9166	1
2.95314	101.862	2
54.5905	-5.88673	1
37.7735	27.277	1
37.6178	-122.071	2
20.3881	-100.015	1
43.8332	4.34264	1
52.2328	21.0607	3
51.5737	-0.776357	1
23.6254	-102.558	1
54.8902	23.9267	1
-20.2804	-40.2928	2
-26.2617	-48.9665	2
52.6107	6.49519	1
51.9369	5.92568	5
41.7581	2.06928	1
34.2535	-118.3	1
55.7559	37.5483	5
50.8234	15.592	1
35.5755	139.354	1
-7.9725	112.629	22
6.01225	116.396	1
52.9765	6.04419	1
36.0056	-78.9524	1
41.5011	-74.027	1
52.2317	5.16053	1
40.828	-73.9203	6
52.3381	35.3655	1
56.6283	47.8837	1
34.0209	-118.211	4
37.9695	-7.85798	1
52.3445	6.65941	2
32.8246	-117.109	1
40.6533	-74.3463	1
51.7341	5.53575	3
-33.4027	-70.5792	2
43.2591	5.39441	1
38.1154	-85.8264	1
-20.8756	-54.2616	1
51.9624	6.25097	1
-26.985	-48.6375	1
4.19393	100.67	1
51.7146	5.8605	1
3.8325	101.836	1
49.3715	6.14425	1
-34.648	-58.6194	1
33.4185	-112.247	1
33.6245	-80.9266	1
44.8064	-0.616226	2
52.0182	4.7085	3
53.3362	-6.39928	1
-29.0686	-51.0353	1
54.782	31.998	1
40.5987	-80.2533	1
38.2753	24.508	2
38.3102	26.6817	1
39.7643	-104.855	1
53.4424	-2.23348	1
48.4786	2.54733	1
17.9838	-92.9277	1
50.6195	3.06571	1
-27.6364	-52.2459	1
55.0825	10.5866	1
52.899	6.885	1
-25.6598	31.6856	1
45.0466	-93.3144	2
32.7962	-96.8219	1
37.4913	-77.5975	2
19.219	-99.1969	1
53.1776	6.34408	1
33.7778	-117.984	1
14.6243	121.066	2
44.2151	20.9238	2
10.7736	106.697	1
41.8338	-87.7319	1
55.1559	61.3679	1
5.00681	116.19	1
51.6388	4.60664	1
43.7036	7.2924	3
-8.14372	-34.9085	3
37.562	-6.72125	1
-7.2771	112.717	12
20.5723	-100.367	1
3.44052	102.417	1
50.8404	5.70664	1
39.0853	-77.1655	1
38.4811	-82.6818	1
45.8304	1.22642	1
19.7496	-88.0135	1
40.4778	-3.70352	1
6.15966	102.305	1
5.94983	116.661	1
-33.5804	-70.5818	1
3.89572	103.077	2
51.0797	5.91599	2
26.2701	-80.25	1
36.303	-82.3642	1
18.8977	-99.1783	1
50.3605	3.48816	1
43.1534	-8.48066	1
3.66646	102.85	1
