Latitude 	 Longitude 	 Weight
14.5339	100.938	1
-19.9187	-43.9598	278
38.5615	-121.461	57
-34.5867	-58.5734	28
34.0696	-86.7718	1
3.54994	99.0355	3
-0.216815	100.633	3
52.0429	18.3787	1
41.6738	-72.8542	46
53.3107	8.7361	1
52.1674	-2.40599	4
50.795	-2.61142	8
3.16532	101.885	19
39.6321	-84.1588	3
50.1212	8.63661	8
40.0495	18.0566	2
41.0784	-8.56101	29
52.4211	0.76017	1
38.923	-84.4109	2
54.174	60.2421	1
43.6814	-79.7831	17
-21.8843	-52.1946	2
40.9219	-74.1794	43
33.9125	-6.97121	21
8.12158	123.814	2
32.6785	-97.4162	8
41.2954	-89.0679	1
25.0316	-77.3458	6
-20.748	-42.8803	1
42.3677	-84.0671	1
-22.9247	-43.2348	51
38.6011	-77.3129	20
32.065	34.7874	1
38.6795	-6.40246	1
37.9089	-4.78227	1
49.9236	2.8477	2
-21.7916	-51.8625	1
-31.5614	-52.3341	20
30.9856	31.1724	3
36.1573	-109.588	1
37.1195	27.393	4
-25.8609	32.4271	1
37.6768	-82.2892	1
27.7699	-82.6812	3
32.9581	-97.6792	1
69.3596	88.2029	1
35.4798	-81.2436	1
59.8459	10.8033	2
41.8005	-88.1674	20
34.4791	-118.321	1
18.4366	-66.0034	15
53.8777	27.4345	12
40.3379	-76.4214	5
41.9502	-86.3397	1
37.9233	15.788	1
-28.4523	-52.1968	1
19.199	-99.1549	37
-7.0949	110.925	6
42.0901	-78.4347	1
-20.4605	-43.8498	9
49.4321	0.818074	3
9.98108	76.2796	1
46.5889	-120.553	2
-1.05373	36.7782	1
44.3103	0.0894421	1
-6.29497	106.964	754
-20.0806	-44.5819	3
43.6469	7.09828	44
34.0344	-80.4909	2
-22.7467	-47.1389	11
-12.8797	-38.2963	2
38.9728	-97.0224	2
50.7372	2.37859	1
30.1755	-82.6452	2
46.4858	-84.3744	3
43.3505	-8.40263	1
28.9699	-111.498	1
44.0595	-123.123	3
47.0249	6.99048	2
46.8973	-102.795	8
42.3691	13.3433	1
-20.4615	-54.5989	6
35.6596	-80.1683	1
-1.19236	-46.7872	1
52.926	-0.621067	1
32.5281	-92.7041	5
49.2884	-123.073	35
51.034	-114.067	4
43.5084	-5.69195	6
27.3207	-80.4158	1
-26.4233	-49.1569	8
-32.0143	-52.0448	1
-0.805657	37.2541	1
38.7894	-121.227	6
-36.3341	141.649	1
51.7161	-3.45534	1
53.1937	-6.14047	5
2.66845	101.669	3
39.4622	-77.9679	4
44.3212	-61.8117	7
55.9883	37.154	1
46.0443	4.08052	2
46.2533	5.65817	1
53.3215	50.0679	12
-23.2969	-45.9737	33
41.5319	-81.5768	58
27.6847	85.3208	3
-29.6877	-49.9908	4
35.5382	-82.5655	3
47.4535	-122.649	3
2.3877	99.1389	6
-2.67947	118.872	1
-27.8411	-54.5215	3
-19.9785	-43.782	1
30.7603	-85.7276	1
6.31505	99.8568	2
48.6274	4.17626	1
51.3899	-0.451484	20
35.309	-98.7166	2
49.3294	8.43412	8
51.3992	6.8718	2
31.2919	-94.73	2
18.0761	-15.9768	4
46.2557	9.4199	4
46.9709	-122.508	1
25.1807	121.45	2
-22.1761	-47.3406	3
34.78	135.414	10
35.413	-81.6311	1
41.5144	-90.4197	1
47.4338	-120.329	1
23.6148	-75.9162	1
43.856	10.2697	3
-8.05304	-48.4846	1
44.6237	21.1752	1
38.5357	-76.9658	19
27.0575	-82.2359	2
56.1385	40.4177	1
35.7312	-81.7013	1
39.7705	16.3691	1
51.9187	19.1348	5
-18.1772	-41.8296	1
31.2714	-86.2672	2
40.607	-75.3782	2
49.8513	20.2544	7
49.9453	7.78424	1
46.4884	0.195374	1
-6.98476	108.497	9
49.5	15.4763	1
52.545	5.92005	10
52.1308	-2.20064	2
36.3318	-92.0202	1
30.5803	-92.0893	3
1.34199	104.164	1
-3.9518	120.066	1
-21.2388	-47.9779	5
39.855	-75.3911	25
25.2208	55.3626	16
33.5905	-86.1745	2
27.9626	34.4725	1
-4.58986	-49.2488	1
32.5117	-89.1901	2
53.7952	-1.46495	16
45.5311	10.5373	1
37.7087	30.3	1
39.1109	-80.4091	3
54.5977	-5.92651	34
2.81455	102.414	2
38.5459	-77.803	1
47.6375	19.4986	1
31.4452	-97.2004	2
42.0779	-76.8072	4
32.8207	-96.7315	48
42.0162	-88.1781	6
21.1669	-101.733	1
-6.79142	39.0863	1
35.4656	139.625	11
-0.0324076	110.109	1
50.9454	18.2251	1
39.4012	-6.44079	11
39.2076	-7.64752	1
20.8765	-100.884	1
52.1715	5.64248	15
-17.8757	-41.5077	2
52.6019	4.71134	10
41.485	-87.5675	19
-21.8793	-47.9053	12
-28.7189	-53.5192	2
-21.2741	-50.7091	1
41.7443	-85.9629	9
43.6421	-70.2475	1
-34.1663	-70.6415	9
52.4743	-1.73294	4
-7.65408	111.35	33
-7.61285	110.2	15
53.6867	-1.86821	16
37.5562	-97.2632	8
37.2313	-76.6237	5
35.0763	-92.3821	7
42.7129	-71.1543	10
-7.80891	112.015	15
51.5207	-0.142822	14516
-12.6735	-38.902	1
44.8294	37.6465	2
-7.83756	-35.441	2
-7.66259	111.134	6
50.053	11.6674	1
41.4635	1.91045	1
36.3102	-86.5224	3
40.7419	-84.1162	4
3.5759	98.8608	5
2.13073	102.765	4
22.7306	-102.694	3
-5.57916	-39.4606	15
43.1841	5.61739	6
38.5305	-8.86894	34
-23.0595	-46.972	7
40.7807	29.4825	1
38.7309	-82.9865	2
