Latitude 	 Longitude 	 Weight
34.9667	-81.9385	36
-19.9187	-43.9598	163
41.387	-80.7616	3
34.2964	-83.4102	2
38.5615	-121.461	199
44.3436	6.3797	1
-34.5867	-58.5734	13
-7.80004	110.94	2
-33.012	27.9157	7
42.7466	-75.77	56
37.9149	-87.964	2
-0.216815	100.633	3
38.4817	-80.766	1
52.0429	18.3787	1
43.6048	-73.2392	1
50.7154	2.60333	1
52.8029	-1.6304	4
52.1674	-2.40599	2
34.5509	-90.6481	2
50.795	-2.61142	3
28.4473	-81.2902	86
34.7599	-77.4244	27
33.0032	-94.6325	2
52.1184	-1.01848	1
33.8988	-5.50469	13
48.2336	-122.273	1
52.4211	0.76017	1
41.544	-93.9801	1
-25.6982	28.7493	1
54.174	60.2421	1
40.9219	-74.1794	163
27.9626	34.4725	1
44.0937	4.97881	2
37.5267	-120.887	11
50.2908	4.10553	1
34.7955	-85.003	8
9.73568	77.3184	1
37.7629	-121.163	23
31.4791	-110.259	4
32.065	34.7874	1
5.7801	102.218	1
21.4054	-157.795	49
43.5252	0.1685	1
45.0237	7.63613	10
35.8704	127.077	1
36.1573	-109.588	1
37.1195	27.393	3
47.225	5.97476	8
30.0151	-97.7053	2
33.1243	-89.0509	5
30.0739	-90.4981	16
69.3596	88.2029	1
30.0446	31.3575	26
42.2251	-85.8736	1
35.2073	-97.4255	8
44.3659	5.51724	1
29.3544	-98.4938	73
34.4791	-118.321	1
34.1146	-84.5184	17
18.4366	-66.0034	17
53.8777	27.4345	9
40.3379	-76.4214	11
53.2109	5.67335	3
51.5291	-3.67348	1
15.0688	120.739	1
14.7833	121.056	25
33.372	-112.215	41
36.544	32.0152	1
40.1884	-80.2611	1
-28.739	-49.3605	3
46.2635	20.1404	3
-7.0949	110.925	4
42.3049	-71.4369	7
-1.05373	36.7782	1
7.40614	13.5501	1
34.0344	-80.4909	24
34.7164	-81.6864	3
45.3687	-122.64	22
61.5046	23.8478	1
3.45896	98.5429	12
28.9699	-111.498	1
40.5931	-4.14081	1
39.7896	-8.95415	2
44.0595	-123.123	13
-26.2467	-48.8051	1
-1.45502	-48.5024	23
-0.71671	8.77784	2
37.5393	-122.282	68
-1.19236	-46.7872	1
11.15	7.66914	3
0.60123	123.061	4
49.2884	-123.073	56
37.0777	-76.6947	3
-25.8288	25.6118	10
43.6441	141.945	1
58.163	55.8611	1
36.8223	-76.7396	2
34.2791	-118.666	9
-0.805657	37.2541	1
50.4059	6.83124	1
52.2346	-0.881222	13
38.7894	-121.227	14
31.2048	-82.3495	2
43.7158	7.28877	22
34.009	-81.9102	3
39.4622	-77.9679	19
44.3212	-61.8117	1
45.005	-64.6031	1
32.3165	-90.8561	4
48.0895	-4.33461	1
41.6072	-70.5748	2
-41.2863	174.776	2
-6.33977	107.664	3
40.5487	17.2498	1
43.6487	6.85456	4
53.3215	50.0679	8
-23.2969	-45.9737	12
-29.6877	-49.9908	3
43.2995	-100.661	1
39.3472	-77.0567	2
43.1664	-93.183	2
51.8901	4.46817	47
35.1486	138.898	2
42.9814	-81.3082	3
-27.8411	-54.5215	3
40.5631	-8.45894	1
47.9928	-122.22	20
8.98002	-71.9014	10
38.9274	-94.7379	24
-35.7571	-71.67	1
25.092	-107.684	1
-33.6958	-70.5695	3
