Latitude 	 Longitude 	 Weight
47.2179	7.58584	1
47.6236	-117.542	1
-19.9187	-43.9598	2
44.0734	142.394	1
-6.62609	106.811	1
50.8396	-0.815585	1
3.87159	11.4459	1
-7.80545	110.369	21
-6.29024	106.781	94
-7.28193	112.038	1
38.8186	-76.891	3
48.9425	3.33123	1
60.1778	24.9498	1
45.5088	-73.6321	3
53.2109	5.67335	1
-2.16561	-79.9084	2
19.0322	-98.1543	2
51.651	-0.0411751	1
48.6461	2.71092	7
53.2218	6.56477	2
53.1902	6.13888	1
49.4288	1.08034	3
42.4651	-83.5272	1
35.4854	-82.4954	1
1.36186	103.989	1
39.9531	-76.7216	1
19.7852	-70.6696	1
48.9338	2.34599	62
52.0716	5.74901	1
48.5225	7.72093	1
43.7986	11.2147	1
43.0951	-0.040271	1
-2.42837	106.432	2
38.8048	-77.237	2
47.4279	-0.445616	1
28.1031	-15.46	1
-8.22898	114.355	1
2.24843	102.185	2
29.1788	-82.1667	1
40.5516	-74.4641	1
24.9517	67.0464	1
22.2924	113.943	1
43.6814	-79.7831	3
-29.8704	30.8009	1
3.18752	101.533	6
33.5907	130.407	1
32.5286	-92.6343	1
-7.04882	107.129	1
40.3817	-79.8099	1
51.0552	2.45065	1
52.8618	4.82551	1
4.19267	103.436	1
31.7403	-106.315	2
20.5796	-100.41	1
33.1135	-96.672	2
29.8907	-93.9284	1
53.3934	-2.91859	3
-5.14549	119.402	10
53.9398	27.5961	1
51.5034	-3.13504	1
51.5051	4.2956	2
39.1023	-121.581	1
37.5276	127.022	1
48.9518	2.91734	1
3.35359	101.253	2
-11.4119	33.9994	1
51.1689	7.65501	1
36.2768	-6.07974	1
50.8302	4.34216	3
34.3815	-83.8725	2
51.56	0.236186	1
2.50032	102.867	1
4.35182	113.987	2
-22.5918	-47.3616	1
47.3321	5.03236	5
-1.24714	116.872	3
41.817	-71.4212	2
43.2975	5.48748	3
4.65862	101.081	1
52.2858	5.65324	1
-6.23597	106.988	16
-6.90558	107.626	32
-25.8171	28.2541	1
3.82881	103.217	1
44.105	-79.4658	1
-7.9725	112.629	36
43.7051	-70.308	1
32.1431	-110.945	1
28.6284	-81.3204	1
-2.9167	104.714	8
54.7838	39.3606	1
44.4121	12.1921	1
45.1937	5.69401	1
-7.27359	110.458	1
46.7877	-1.62297	1
41.5239	-81.5266	1
37.5394	-122.282	1
33.388	-84.569	1
41.7066	-72.8734	1
48.8325	2.63671	14
52.9997	6.53753	1
-7.29068	108.004	2
33.8015	-117.913	3
-3.33553	114.594	3
29.2103	-81.0967	1
35.5261	-90.4341	1
3.89572	103.077	1
27.7877	-82.3418	2
40.2659	-7.5764	1
24.8262	-107.443	1
51.9624	6.25111	2
52.5055	4.86152	1
-7.82869	112.02	1
52.774	-1.55662	1
40.5646	-74.1468	1
-30.0997	-51.1593	1
-1.10586	37.0062	1
-5.189	122.64	1
-7.30713	110.124	2
41.2861	-8.33608	1
50.6163	37.3015	1
0.0	0.0	15
-0.067277	109.353	11
50.967	5.48989	1
32.335	-95.2833	1
39.9533	-75.2217	8
48.6563	2.35137	20
33.7235	-84.729	1
45.8248	1.24523	3
6.01225	116.396	1
51.0535	3.73038	1
2.04811	103.382	1
52.0625	4.48642	3
48.9458	2.49126	29
1.34112	102.155	2
2.74773	98.3268	1
-0.789275	113.921	2
19.7496	-88.0135	1
-2.02356	105.24	2
48.7942	2.31893	15
33.8971	35.5297	1
40.7809	-73.9772	13
35.1406	-76.8454	1
36.0736	-115.217	1
32.5831	-97.593	1
1.41976	124.983	2
43.55	7.019	1
40.8456	17.2978	1
-1.40335	120.756	1
41.1929	-96.1267	1
48.2743	4.08057	2
35.846	-78.6572	1
45.5872	9.28743	1
39.4207	26.8072	18
44.8562	-0.63512	4
40.7446	-73.6062	1
30.4454	-84.2453	2
44.4834	11.3747	1
20.0301	-102.265	1
10.4772	-68.2224	1
53.7603	-0.348151	1
5.4981	100.385	1
39.6346	-75.6717	1
23.7682	90.3717	1
34.7233	-92.3379	1
52.4949	-1.88125	1
53.3215	50.0679	1
48.8491	2.81662	3
0.508334	101.419	10
39.028	-95.575	1
3.58111	98.6676	8
-6.28588	107.363	6
43.8482	-79.0435	1
35.2466	-80.781	2
43.7294	-79.4807	1
38.4815	-121.448	1
31.8192	34.7282	1
1.10687	104.044	1
48.3625	1.33228	2
-0.587732	111.388	3
49.8988	2.28468	1
38.7838	-82.9795	1
-6.98072	110.405	9
38.1209	13.3443	1
39.1451	-75.3867	2
5.95791	116.073	3
-23.3552	-47.9037	1
39.3007	16.2516	1
25.0656	-77.3408	1
51.576	4.64267	1
34.9671	135.773	1
36.6866	-121.641	1
-6.12986	106.887	9
26.1801	-80.1565	1
34.8364	-87.7018	1
-26.8274	-48.7225	1
31.6643	-7.99466	1
1.78574	102.97	1
-37.9214	145.196	1
0.898377	108.982	1
3.04231	101.447	1
-6.15075	106.744	3
41.5093	-87.6831	1
-36.7374	-71.0353	10
-0.869174	100.434	7
-22.7106	-47.7944	1
33.6823	-117.653	1
45.7851	3.10005	2
41.9073	12.5371	1
52.0314	6.04449	2
47.4815	-122.196	1
48.383	31.1814	5
38.086	-122.554	2
45.6762	15.6575	1
-25.6522	28.2599	1
-15.4552	-55.8425	1
42.465	-70.9615	1
35.9431	-83.9259	1
2.94886	101.77	2
52.3518	6.85941	1
40.4664	-80.0284	1
-33.4454	-70.6231	2
-26.2617	-48.9665	1
45.7012	4.88058	2
46.4429	4.11139	1
55.7559	37.5483	5
-34.1623	24.8286	1
39.0312	-84.5173	1
41.722	-85.298	1
-4.12598	104.17	1
48.4227	2.15247	1
52.2317	5.16053	2
-30.004	-51.0215	1
17.0713	-61.789	1
-7.54907	110.787	6
32.8247	-79.9705	1
29.3413	48.0689	1
48.4084	-4.49955	1
-6.70687	108.541	6
-7.77967	110.534	1
46.0353	13.2215	1
2.52615	101.81	1
64.0638	24.6625	1
26.0213	-80.2827	3
48.737	3.20063	1
42.2287	-96.4504	1
41.7396	-72.6345	2
33.9371	-117.493	1
39.7643	-104.855	1
48.7143	1.35211	1
10.387	-75.4898	1
50.5811	2.3688	1
41.5647	-73.0253	1
36.6835	27.9778	1
30.4602	-91.1116	1
-6.35789	106.495	3
4.97206	102.0	1
19.3284	-99.1525	5
26.6175	-80.0975	1
44.143	8.27331	1
9.96102	-83.9444	1
1.00185	116.394	2
-7.2771	112.717	25
52.365	6.46738	1
-6.10518	105.981	2
51.4626	0.0206584	1
1.74794	101.469	2
-5.41037	105.189	6
34.8876	-120.361	1
41.8191	12.7063	2
36.8137	10.1779	1
8.24602	124.247	1
-8.63314	115.245	9
-53.1572	-70.9042	1
28.7678	-106.909	1
28.4331	-81.4911	1
46.1956	6.13926	6
38.8778	-99.3181	2
45.4718	-73.8733	1
10.9204	-68.3812	1
56.0589	54.2785	1
-2.23123	-80.887	1
43.2365	-86.2565	3
47.2611	39.628	1
33.7678	-84.4181	4
52.3548	4.90405	3
-26.1893	28.0136	4
7.05677	125.6	1
25.7267	-80.4295	2
-7.61955	111.0	1
47.0191	28.8442	1
41.4738	-74.0284	2
-21.6665	-49.7515	1
33.9643	-84.218	1
18.0402	-63.0629	1
5.6574	100.524	1
48.2328	-4.26413	1
19.5442	-99.1651	2
59.9341	30.3287	3
-7.62612	111.522	1
-26.3749	25.4619	2
-25.395	-54.6406	1
-6.4169	107.482	1
30.0814	-94.1291	1
34.0608	-117.401	1
34.0682	-117.797	2
42.3144	-70.9703	4
1.04857	104.418	1
3.14845	101.705	34
47.8195	-4.01839	1
34.2585	-6.58228	2
52.1267	1.40085	1
48.6475	44.3981	1
-22.803	-47.4357	1
51.8213	4.79863	3
-5.11197	105.305	1
-25.1476	-50.071	1
-8.16045	113.723	1
-15.7763	-47.7966	1
55.6701	37.2795	1
14.611	-61.0861	7
4.58318	-74.2112	3
5.33263	100.305	9
33.6245	-80.9266	1
39.1843	-77.2337	2
36.8173	-76.3821	1
-23.4254	-46.0575	3
35.9019	-94.9585	2
60.7218	28.7527	1
-3.864	122.05	1
47.2124	5.97083	2
41.065	-85.1273	1
38.9637	35.2433	7
40.1847	49.4875	1
51.5265	45.9785	1
18.9338	-99.2608	1
32.7978	-117.232	1
49.1501	2.2728	2
51.5207	-0.142822	322
39.2846	-76.6205	2
-1.31638	36.7879	2
26.226	-98.2567	1
41.542	-88.1411	1
38.5359	-75.5561	1
52.1816	5.39888	1
27.6986	-83.8046	1
36.2329	-115.238	1
43.3562	5.3575	2
-37.7168	145.009	1
37.7862	-122.396	5
47.7321	-1.96704	1
36.2058	-121.145	1
33.9611	-118.189	3
36.2935	-109.217	1
-25.4951	-49.2884	2
43.7585	10.7745	1
-23.6828	-46.5955	10
1.47284	103.63	2
45.4613	9.15934	1
45.7377	8.96869	2
52.0233	5.03075	2
19.2524	-99.5724	1
50.6199	3.04381	2
41.3747	-72.1604	1
48.2837	6.95004	2
46.6758	5.5573	1
38.8936	-77.0146	9
37.0271	-76.3834	1
41.8341	-87.634	2
3.81222	100.816	1
56.1255	-3.16051	1
-6.12843	106.263	1
49.0374	2.04594	5
38.9512	-76.747	2
56.6583	12.7628	1
52.2328	21.0607	1
40.1936	-85.3706	1
16.0189	-61.7042	1
2.81129	101.482	1
35.8424	-86.3584	1
5.73768	101.86	1
1.86117	104.63	1
51.7341	5.53575	3
47.8737	1.91213	1
51.5689	-1.77506	1
-7.32815	108.363	1
57.9232	59.9781	1
41.3298	-72.9359	1
49.5571	2.93379	1
42.7879	-71.0801	2
35.3993	-119.092	1
14.5497	121.085	1
33.2055	-96.9507	1
5.32964	103.141	1
42.2119	-83.3517	1
45.0221	-93.2707	2
44.2151	20.9238	2
33.5226	-84.3557	1
36.1705	-115.064	2
43.6293	-79.2725	5
45.6763	10.405	1
-6.75221	111.022	1
38.0349	-84.5088	2
41.3156	69.2831	1
41.0428	28.8948	2
43.9342	4.87156	2
48.9742	2.64656	2
52.0868	5.24926	1
51.1752	4.45831	3
36.7957	-76.0126	1
51.2466	-0.764818	1
-41.4429	147.132	1
35.6672	-97.4073	1
33.8492	-80.8673	2
-22.442	-44.5232	1
52.7529	6.95947	1
18.106	-92.8581	3
51.6546	-4.08838	1
49.3294	8.43412	3
54.6303	-5.94374	1
45.5127	11.4849	1
37.5245	-77.4932	2
17.764	-64.735	1
42.0099	-93.6211	1
39.7379	-86.1518	1
51.7371	-1.25332	1
31.0549	31.4029	1
40.7639	-74.2479	3
43.367	-1.77014	1
41.3766	2.14615	2
-1.27293	-48.4598	1
43.2562	-2.91179	1
-29.9006	30.9726	1
39.4866	-77.9491	1
-1.74911	102.839	1
52.5008	6.09326	6
33.9674	-118.422	2
