Latitude 	 Longitude 	 Weight
37.2376	-6.9188	1
-19.9187	-43.9598	37
25.5399	-103.389	1
38.1377	13.3472	1
51.3881	-0.0788833	4
2.83046	101.621	7
55.5715	38.2275	1
1.44812	110.453	11
26.6416	-81.9978	1
48.0979	7.35439	1
24.124	-110.338	1
51.4732	11.9725	1
47.2493	-122.457	1
28.0311	-82.757	1
38.8976	-91.6	1
39.8439	-75.3748	5
43.2341	76.9053	1
43.0368	-76.1672	1
52.1674	-2.40599	2
8.46169	124.616	1
57.0056	40.9439	1
-6.83421	39.274	2
13.5445	100.259	2
48.2247	8.38952	1
38.1465	-122.254	1
35.4093	139.597	3
0.0188369	-51.0824	17
35.9459	-78.9058	1
47.184	-1.54343	1
32.3329	-116.929	1
49.6221	6.5865	1
-31.8133	115.822	1
49.4532	-2.54147	1
34.8435	-92.3498	1
58.1761	11.8968	1
40.6279	-74.3042	1
35.7932	135.645	1
31.3266	-89.2892	1
30.5295	-97.5586	1
-22.2916	-48.0552	1
-38.2363	-72.3494	1
41.6002	-72.8803	4
52.6003	39.6002	3
55.8899	37.258	2
44.9719	-93.2175	3
55.8979	-4.24118	5
-6.90558	107.626	54
28.4811	-81.3687	5
39.2091	-0.430216	2
6.11277	100.374	2
52.6511	5.0829	8
32.556	-117.054	1
37.8223	-85.7682	2
42.1255	-80.0785	2
41.8551	-80.7884	1
50.4562	-4.51776	1
59.7285	30.4116	2
45.0011	-86.2707	2
46.0443	4.08051	1
48.1239	11.7964	2
-6.34131	108.33	1
-28.739	-49.3605	1
50.861	5.81868	4
0.336369	32.5505	2
38.312	-77.5039	1
51.8477	-1.47674	1
42.5092	-7.58527	4
-20.0806	-44.5819	1
-22.7467	-47.1389	2
44.9723	4.95055	1
61.487	23.7781	1
52.5055	4.86152	1
-32.1078	26.465	1
56.8105	24.6057	3
54.5191	-6.05729	1
18.1163	-66.1405	10
43.5399	7.00931	5
35.0861	-80.6972	3
44.9393	34.1031	1
39.6061	2.67815	2
34.1682	-111.931	3
51.6752	-4.71038	1
50.1698	3.29655	1
51.1706	16.5965	1
-4.91685	-38.9252	1
57.6811	11.734	3
35.0962	-89.9627	5
-23.5026	-46.6247	8
49.2884	-123.073	6
-33.9176	18.3869	1
39.4642	-74.555	2
48.3571	-4.76601	1
58.2867	12.2874	1
41.2451	-85.8263	1
-23.0614	-54.1993	1
56.1459	8.81087	5
51.5307	4.4403	1
-31.9587	115.871	1
1.32674	103.945	9
42.3614	-71.5951	1
50.3759	18.9775	3
41.8126	-87.6092	12
47.3475	3.9926	1
33.9304	-84.5044	1
53.3215	50.0679	3
59.647	17.9304	1
30.4171	-84.2786	5
-6.28588	107.363	1
49.358	6.16093	1
39.1972	-77.2701	3
54.5986	-1.08026	2
-16.6428	-49.2612	7
55.8819	37.6437	2
34.4249	-119.715	1
-7.80774	110.343	28
6.31927	-75.5579	2
53.4777	-1.60102	1
36.1619	-86.7752	2
53.6424	-1.7902	7
39.1304	-76.6387	1
30.3449	-81.6832	1
16.2586	-92.301	4
45.7578	4.8351	3
29.6598	-81.2891	1
-29.7338	-51.0571	3
12.9161	77.6127	3
46.142	6.06127	1
34.7014	-86.6686	1
47.9985	20.4348	1
27.8773	-15.4801	1
34.2091	-118.401	13
51.6684	19.3582	1
53.0997	7.10982	3
40.4385	-99.3754	1
37.6746	-122.1	5
38.0651	-75.5556	1
26.7153	-80.1288	1
54.9824	-1.58098	2
52.9704	36.0825	1
53.8476	27.4412	4
36.1092	-115.28	4
-21.7619	-43.3419	2
33.8713	-117.949	1
48.4561	135.099	1
36.0614	-115.083	4
56.156	-3.73312	1
-34.0645	22.2014	1
55.4949	37.7365	4
35.1117	-106.623	2
55.1254	73.3788	2
55.3589	86.0515	2
