Latitude 	 Longitude 	 Weight
33.8337	-118.351	12
-19.9187	-43.9598	33
38.6621	29.3906	3
19.9724	-99.1748	1
52.1184	-1.01848	2
55.5715	38.2275	2
42.7342	-84.6287	2
52.9908	6.25643	3
26.2509	-98.1982	1
35.6649	139.857	18
16.959	-99.7356	4
35.341	-80.7606	1
-23.2765	-46.7111	1
53.2109	5.67335	5
9.18928	12.5042	1
-2.16561	-79.9084	19
36.4181	-95.599	1
33.6039	-117.658	1
36.3998	-78.1593	1
52.1674	-2.40599	1
47.7906	1.03705	1
29.2712	-98.6855	1
37.6792	-121.029	1
50.795	-2.61142	1
43.6166	3.77499	5
37.5153	15.0883	1
51.5466	0.635185	1
41.6194	-93.547	2
42.0483	-72.5696	1
53.6451	11.3582	2
38.502	-117.023	1
-22.4012	-49.4018	1
40.0495	18.0566	5
44.0264	-88.5437	1
-17.7029	-42.4872	1
-15.6069	-47.6195	1
36.0545	-115.279	4
50.6294	-2.46326	1
22.3671	114.174	2
10.6578	-61.4469	2
43.6814	-79.7831	2
33.888	-118.129	18
-26.4195	-51.8397	1
-22.9527	-47.3038	2
35.8305	-85.9786	1
42.4875	-83.2484	52
53.1519	0.34227	3
49.6221	6.5865	1
44.4446	6.28642	1
-31.8133	115.822	1
22.2703	-97.9168	5
34.9167	33.0189	1
28.6522	-81.2063	3
15.5475	32.5648	2
40.7405	-2.54198	1
34.4262	-117.434	1
-37.0419	-72.3728	1
41.3759	-88.6275	1
48.4384	-123.512	2
35.3994	-119.092	1
30.5215	-87.0126	4
-22.5926	-46.0515	1
36.5603	-87.3465	1
44.7243	142.263	1
1.52295	124.881	1
42.2462	-83.234	1
15.778	-86.7839	1
45.7548	21.2216	1
-23.6839	-46.9469	16
52.6752	-1.82349	1
51.6636	-0.810113	2
33.6666	-112.455	1
28.4811	-81.3687	4
40.9129	-74.0973	9
17.6348	120.411	1
-22.2279	-54.809	1
-29.9153	-51.1771	17
53.0195	-2.15902	3
46.2513	7.00218	1
51.9141	6.56715	2
18.0722	-66.7445	1
37.8223	-85.7682	1
-22.4513	-43.4782	1
53.944	27.6765	4
-19.4472	-44.2541	1
55.9183	-3.26502	7
-23.8078	-47.7261	2
-18.4436	-70.2939	1
18.181	-66.2706	3
56.2035	15.2779	1
-23.3116	-51.3669	1
-5.99643	106.009	3
-20.4583	-54.6457	4
-6.29743	107.148	3
36.767	-119.835	2
-6.34131	108.33	1
52.1295	1.4067	1
-28.739	-49.3605	20
52.899	6.885	4
55.1995	30.224	1
28.5091	-16.3378	2
43.3955	6.29457	2
32.3865	-84.9305	1
39.2852	-76.7432	1
37.3831	-5.92359	1
49.5892	10.9845	1
-3.27014	-79.9659	6
3.0996	98.4935	1
56.8544	35.8997	1
42.5092	-7.58527	1
43.4886	-8.22519	1
34.5338	132.441	2
41.7273	12.3005	1
46.3651	6.47418	2
48.8179	2.35853	122
52.5055	4.86152	15
13.7378	100.559	2
50.2891	2.76818	1
25.8111	78.3815	1
-21.1873	-45.4382	1
56.8105	24.6057	3
54.4292	-6.29417	1
38.8808	-77.1022	11
28.9699	-111.498	1
-23.195	-50.6389	1
47.0979	1.86477	1
31.6648	-7.99449	4
44.0562	10.0217	1
38.8347	-76.8925	3
35.0106	-80.561	1
-7.03353	-37.3471	2
6.67731	-1.57305	1
35.3288	139.352	1
-7.42692	108.164	2
-29.601	30.3715	3
21.4269	39.7859	1
31.9855	-87.5928	1
49.1132	-0.366889	2
20.9146	-89.6025	8
35.3519	136.767	1
51.8267	-0.645674	1
49.2884	-123.073	11
43.5084	-5.69195	1
37.8251	-7.87556	1
-6.91243	107.607	41
55.0796	38.7603	1
19.8041	-90.5279	2
-23.417	-54.5603	2
-30.9286	-51.8289	1
-5.11723	105.314	2
45.6762	15.6575	1
56.4811	23.155	1
-23.6716	-46.4477	19
37.9159	139.05	2
28.7678	-106.909	2
29.5669	-95.0587	2
-34.1777	-70.6909	1
1.32674	103.945	51
-23.4057	-51.9683	1
46.1907	6.13808	2
52.3188	6.90207	6
10.4772	-68.2224	1
4.08124	9.75538	4
53.0004	-3.04958	1
53.3215	50.0679	2
-23.2969	-45.9737	5
52.6355	5.05663	5
55.8647	37.6693	5
43.5424	5.44153	1
49.6555	0.872918	2
41.5485	60.607	1
42.0255	-93.6459	1
-27.8411	-54.5215	1
-23.6351	-48.1082	1
6.38993	100.426	4
9.85554	-84.3384	1
42.8962	-78.876	9
40.9173	29.1888	4
38.1209	13.3443	1
-16.6428	-49.2612	14
30.2613	31.7501	1
29.2139	-99.777	4
34.0888	-117.965	1
-9.95786	-67.8066	1
42.6716	21.1719	2
-16.393	-71.5373	1
53.6424	-1.7902	4
35.8904	-78.7183	4
53.4619	-1.04773	1
-26.0509	27.9207	2
-22.1761	-47.3406	1
41.3654	-88.8394	1
48.0114	7.38507	1
48.5345	2.70476	3
51.2518	4.43612	2
44.9636	10.6856	2
52.0828	-0.739571	2
5.33664	100.298	16
-22.7106	-47.7944	5
36.1665	-79.7388	1
-29.7338	-51.0571	6
-22.959	-49.8674	2
53.8484	27.4571	1
51.2858	-0.746423	1
40.7584	-73.0831	1
-19.7553	-41.7484	1
27.8773	-15.4801	1
10.2289	-67.3228	1
52.2078	4.43991	8
-17.3796	-44.866	1
-31.5614	-52.3342	2
52.9704	36.0825	3
45.6583	10.0366	1
57.8651	14.1586	1
54.7515	83.0878	1
54.3051	47.9533	1
-19.4526	17.5892	1
38.748	-75.1595	1
52.8706	6.54419	2
43.5075	-83.9596	2
14.5098	-60.9601	1
48.4561	135.099	2
38.5357	-76.9658	1
55.1254	73.3788	3
55.3589	86.0515	1
50.8577	5.70089	5
-28.7236	24.7328	1
37.3053	-6.11304	1
33.5783	-102.368	1
46.819	-92.0884	2
46.17	10.0384	1
-23.5108	-46.8823	66
36.2567	-86.6202	1
40.878	-73.8565	7
43.0352	-76.1393	3
-26.2945	-49.3292	1
-27.1	-48.635	4
53.3549	-6.2474	21
52.0055	5.94525	2
52.0063	5.66897	2
54.747	56.028	1
26.1959	50.5516	5
23.5316	89.1725	2
-35.7254	-71.679	1
18.2621	-66.8486	6
47.6131	-0.469075	2
-15.7182	-43.4193	1
44.7031	-88.8973	1
48.1795	-1.88882	1
42.2754	-71.8077	1
46.4355	30.7468	2
42.6681	-73.8107	1
40.8174	14.3403	8
38.8199	-7.47794	1
35.345	138.873	1
18.7647	-69.2559	1
52.545	5.92005	2
42.4651	21.4726	1
13.0344	80.2401	3
37.7914	-3.74254	1
-36.8115	-73.0731	1
32.6782	-83.1783	2
-29.1668	-51.1531	3
25.0966	55.172	2
34.5776	-106.792	1
48.4803	-2.65507	1
43.3484	3.2346	1
33.588	-79.0377	2
-25.3102	-52.3928	1
49.3715	6.14425	2
5.05504	-75.484	1
-20.5966	-47.8608	1
19.7246	-98.7579	1
47.2907	7.03242	1
-26.7242	-53.4817	2
41.1488	-104.821	1
2.24584	102.244	11
46.8023	1.69045	1
37.2692	-119.307	10
34.928	136.441	2
-25.395	-54.6406	1
3.20072	113.063	2
-22.1868	-49.9589	3
59.4048	27.2963	1
57.8106	28.3618	1
5.36187	100.462	2
52.9499	-1.1453	3
30.0825	31.3146	5
53.3598	6.41844	2
40.7358	-74.1686	5
1.51464	103.384	1
53.29	83.6478	2
41.8252	-87.7815	2
53.207	6.69752	4
53.9427	30.3563	1
28.0316	-80.6622	2
19.3343	-97.9228	2
1.66329	103.551	2
39.0298	16.4181	1
51.9132	-2.0545	1
38.9656	-95.2402	1
-28.7189	-53.5192	1
19.2708	-99.6499	21
54.5985	-1.08026	1
6.53381	3.38814	2
-29.6926	-54.8034	1
-33.9284	18.8334	1
-7.65408	111.35	2
-6.83272	107.486	1
56.2847	43.851	5
-1.28988	36.8797	6
38.1729	-122.589	1
41.4694	-8.15163	2
34.9716	137.059	1
41.7597	-88.3011	1
51.5207	-0.142822	1656
6.07143	116.183	1
52.5263	13.3926	4
49.4378	7.7067	1
-22.2628	-45.9406	1
37.5573	-122.002	2
-3.77009	102.297	1
39.0115	-76.9778	14
-20.3371	-43.3298	1
39.2416	-94.5656	1
51.272	-0.395409	2
56.6469	60.7841	1
38.5305	-8.86894	5
45.2049	-85.0155	1
49.0226	2.46295	12
42.2817	-8.74072	2
-23.0595	-46.972	1
4.53959	101.083	2
