Latitude 	 Longitude 	 Weight
53.4039	-1.56304	3
-19.9187	-43.9598	20
38.6621	29.3906	3
27.8303	-97.2212	1
52.1184	-1.01848	3
52.1372	6.17905	2
57.2547	60.1177	1
54.1602	37.5885	2
51.7689	4.95133	5
34.8297	137.237	1
35.6649	139.857	12
-0.246611	100.675	1
38.4037	-121.349	1
16.959	-99.7356	5
38.8551	-76.918	9
53.2109	5.67335	6
12.1126	-86.268	20
36.4181	-95.599	1
49.1703	-0.31857	1
18.3568	-93.251	1
51.29	-0.832989	4
39.8439	-75.3748	1
-29.601	30.3715	1
38.9751	-9.10021	2
52.1674	-2.40599	1
38.611	-0.0362707	1
0.901495	104.487	1
53.1997	5.50724	2
37.6792	-121.029	1
27.8155	77.3373	1
50.795	-2.61142	3
41.6194	-93.547	2
2.83046	101.621	22
-9.95786	-67.8066	1
40.0495	18.0566	5
-29.5564	-49.8927	1
54.7515	83.0878	1
34.2629	-5.9166	1
43.6814	-79.7831	5
47.7947	19.1306	1
51.9187	19.1348	1
35.8305	-85.9786	1
3.8359	103.274	5
18.5846	73.7309	2
49.6221	6.5865	1
44.4446	6.28642	1
22.2703	-97.9168	14
34.9167	33.0189	1
-23.6961	-52.3891	1
5.27975	-73.5843	1
-7.65633	112.907	1
40.7405	-2.54198	1
51.8188	4.60591	4
-3.95811	120.172	1
55.8	49.275	4
41.3759	-88.6275	1
30.5215	-87.0126	4
-21.2659	-50.3263	1
-2.09085	-79.9031	20
-27.7689	-48.6676	4
-5.3536	-49.0826	1
-31.5614	-52.3341	4
52.6003	39.6002	2
-1.90527	116.199	1
14.7408	-17.4667	1
39.8893	32.7975	2
29.6962	-96.5411	1
41.817	-71.4212	7
52.6752	-1.82349	2
51.6636	-0.810113	2
-6.90558	107.626	58
-1.27436	36.8131	8
33.6666	-112.455	1
2.78473	102.233	3
52.3984	6.29819	2
48.2215	15.7608	1
52.172	-0.662384	1
38.5617	-121.461	3
17.6348	120.411	1
53.0195	-2.15902	1
-22.4513	-43.4782	1
53.944	27.6765	5
-19.4472	-44.2541	1
55.9183	-3.26502	5
16.4104	120.598	1
52.0429	18.3787	3
56.2035	15.2779	1
-5.99643	106.009	6
-20.4583	-54.6457	4
31.6061	-97.1174	1
37.9191	-122.062	1
5.75841	102.274	2
-6.34131	108.33	1
52.1295	1.4067	5
-28.739	-49.3605	19
45.5542	12.3301	2
14.5414	-90.4007	4
39.2852	-76.7432	3
41.663	-70.3627	1
-21.5588	-51.596	1
52.2813	-1.53281	1
-1.26855	116.855	8
40.7096	-73.5928	3
30.7925	31.0081	1
5.02861	118.292	1
42.6281	-79.0825	1
43.4886	-8.22519	1
-22.7467	-47.1389	1
49.6671	0.88096	1
46.3651	6.47418	3
46.5747	-96.0849	5
52.5055	4.86152	17
25.8111	78.3815	1
9.05807	7.39808	4
38.1486	-85.6023	1
33.6039	-117.658	1
54.1791	45.1724	2
31.8621	-102.352	1
43.3841	6.30301	1
43.6301	5.16285	1
42.3254	-71.2136	4
41.6925	-88.0677	1
47.5249	-122.639	1
34.1682	-111.931	1
-7.42692	108.164	3
52.8471	-2.29813	1
21.4269	39.7859	1
20.9146	-89.6025	8
35.3519	136.767	1
34.9091	-82.2144	1
-19.7553	-41.7484	1
43.5428	-99.2455	1
49.2884	-123.073	3
43.513	3.41615	2
25.7936	-109.029	1
41.6402	-73.3197	1
-26.4233	-49.1569	2
30.6409	-88.2401	1
38.0453	23.7882	2
-30.9286	-51.8289	1
40.8084	-96.6981	3
56.4811	23.155	1
38.9893	-76.8728	4
-33.4317	-71.6464	2
41.2229	-111.973	1
-23.6716	-46.4477	8
38.8623	-77.3531	8
28.7678	-106.909	4
-6.46615	107.445	2
18.4414	-66.0165	3
-29.2431	16.8805	1
7.96722	-80.4351	1
33.9052	-84.2703	2
1.32674	103.945	36
-23.4057	-51.9683	1
46.1907	6.13808	5
62.0482	26.6718	1
53.0004	-3.04958	1
53.3215	50.0679	5
-23.2969	-45.9737	3
50.4609	30.3635	3
0.494796	101.461	4
3.09871	98.4961	6
-27.8411	-54.5215	1
13.5341	-89.8194	1
41.4698	-82.1481	1
9.85554	-84.3384	1
42.8962	-78.876	11
25.7543	-100.197	3
57.7	11.9701	3
-16.6428	-49.2612	12
30.2613	31.7501	1
30.6239	-84.4154	1
50.406	6.83129	1
-0.774199	100.592	2
42.4261	-8.62856	1
52.5008	103.845	2
51.2912	13.0955	1
-20.1343	-40.2992	1
-22.1761	-47.3406	1
41.3654	-88.8394	1
-33.5828	26.8875	1
53.3605	6.3819	1
45.7578	4.8351	2
4.56964	-74.1638	3
44.9636	10.6856	1
3.88372	-77.0657	1
29.3238	48.0405	6
20.7924	-103.485	1
40.7584	-73.0831	1
37.5245	-77.4932	1
47.4851	19.0864	3
62.6531	8.72498	1
52.2694	-6.96723	1
52.9704	36.0825	2
32.4827	130.155	1
54.8489	33.3119	2
-19.4526	17.5892	1
43.5075	-83.9596	2
-21.7619	-43.3419	2
43.4896	-1.51974	1
-29.4284	-53.3818	1
24.8704	46.8754	1
25.6604	-100.352	8
-33.9461	18.6065	2
40.445	-3.47291	1
55.3589	86.0515	2
