Latitude 	 Longitude 	 Weight
-34.015	23.4032	1
39.2469	-76.6239	1
-19.9187	-43.9598	3
33.4337	-117.62	2
-1.71186	113.698	3
19.3184	-98.2454	1
38.5615	-121.461	1
39.1865	-96.5685	1
41.0083	28.7897	1
58.5905	49.6388	1
46.3601	48.0341	1
51.2053	4.42619	1
33.8974	-118.323	1
-7.80284	110.375	10
13.7972	100.685	2
48.9949	2.24864	82
48.9425	3.33123	1
38.119	-84.5255	1
-4.25256	-38.2999	1
43.6104	3.87427	1
5.57276	-0.15253	1
51.4542	-0.0179565	6
34.0088	-117.443	1
-6.84219	106.761	1
19.0322	-98.1543	1
-6.59948	110.796	1
-28.3065	-53.9244	1
19.6302	-99.1307	1
-37.6676	-72.0187	1
41.1213	-81.5033	1
41.7598	-72.6399	3
51.9936	-0.729199	2
41.2381	-80.8078	1
43.7986	11.2147	1
41.9327	8.70883	1
37.7703	-122.436	1
53.2768	5.98029	2
31.6464	-8.01268	1
52.1617	6.39468	4
29.3329	-98.4391	1
48.9501	2.92619	4
40.5578	34.966	1
-23.1635	-49.9689	1
48.8898	6.38754	1
2.71563	101.953	3
10.2148	-67.9687	2
-6.76338	111.135	1
-1.27781	36.7958	1
2.79459	101.513	2
5.0183	100.427	1
34.3985	-119.75	1
48.6476	44.3981	1
-7.14941	-34.882	2
-8.70972	115.234	2
33.9367	-84.0042	5
32.7139	-117.226	1
54.271	-8.47802	1
41.7189	-87.5487	1
-32.5295	115.714	1
32.1774	-110.884	1
51.7909	5.44432	2
53.156	6.37757	3
53.0498	5.57368	2
48.5238	2.69875	13
-39.2955	-72.0154	1
48.007	0.307424	1
-26.1723	-51.9438	1
39.0149	-76.6672	1
-7.66848	109.648	1
5.54055	-73.3597	2
52.2004	-0.958179	1
-12.0916	-77.0036	3
-23.6828	-46.5955	11
39.2434	-84.5871	1
28.4976	-81.3308	4
-26.3749	25.4619	1
31.2005	30.0502	1
-0.463414	117.159	1
2.88622	101.366	1
48.1159	-1.68833	4
6.12841	100.39	1
45.4273	4.38605	1
52.8085	6.92526	2
-23.6496	-46.8549	1
39.0959	-77.1465	1
48.8205	3.08829	3
47.5808	12.1609	1
54.6303	-5.94374	1
13.6097	100.662	1
43.2685	-2.93067	1
14.5574	121.02	12
51.56	0.236186	1
22.6262	88.4173	1
1.27629	103.825	1
-7.7925	110.909	1
38.6275	-77.3202	1
43.8332	4.34264	2
52.5467	13.4057	12
37.6323	-0.720397	2
34.2952	-83.8595	1
-33.4607	-70.6451	1
52.3984	6.29819	1
43.6008	1.4329	5
30.6918	-88.1786	1
50.861	5.81868	4
52.4472	5.21763	1
-7.9725	112.629	14
46.8654	-0.47337	1
43.7051	-70.308	1
41.3827	-73.4701	1
14.4712	120.89	1
38.7965	-76.9693	4
45.7567	9.85388	1
44.8638	-0.586176	3
32.706	-97.2928	3
30.4648	-87.2895	1
49.2301	2.12824	3
38.7145	-9.2264	1
40.7522	-73.0131	1
52.9908	6.25623	1
33.9179	-116.962	1
37.4786	-82.5217	1
-38.029	144.413	2
44.4121	12.1921	1
37.9725	-121.804	1
51.4075	5.37308	6
-5.99643	106.009	3
48.5156	3.7144	2
-0.0314401	109.294	2
5.67384	-0.0305671	2
49.1846	-0.372109	4
-6.98266	110.409	2
39.5627	-119.82	1
35.3874	-96.9108	1
4.04912	9.74991	2
54.1242	-114.398	1
53.2147	6.56066	2
53.6882	-2.44559	1
51.427	7.66398	1
51.6909	4.28768	2
34.9898	-85.2094	1
53.1826	5.81839	2
41.0254	-85.1163	1
5.38853	100.409	2
54.5362	36.2486	2
33.1309	-91.9613	1
47.2778	1.56273	1
