Latitude 	 Longitude 	 Weight 	 Continent
28.8082	-81.2897	3	North America
32.7844	-91.898	4	North America
31.1268	-83.4183	5	North America
46.0199	0.160382	1	Europe
31.7683	35.2137	1	Asia
36.3302	139.434	1	Asia
-23.4057	-51.9683	33	South America
54.5363	36.2486	8	Europe
31.8987	-90.7105	1	North America
49.9678	30.1814	1	Europe
51.6541	-3.78687	3	Europe
-3.77315	-43.4628	1	South America
57.262	57.0407	1	Europe
35.0175	-85.2561	3	North America
-20.8756	-54.2616	42	South America
55.4359	65.2991	6	Europe
56.2009	37.0363	1	Europe
35.0384	-76.6958	1	North America
45.5109	-122.426	9	North America
8.66723	76.9114	2	Asia
40.3626	-74.0272	3	North America
32.0923	-84.2259	1	North America
41.4856	-86.6936	2	North America
-21.4551	-45.2045	1	South America
51.1635	10.4541	3	Europe
35.0419	-84.8282	1	North America
0.963314	103.979	2	Asia
-10.3355	-58.5891	2	South America
-6.08007	-37.476	6	South America
25.8364	-98.3625	7	North America
55.7282	-3.82357	2	Europe
3.1502	101.775	223	Asia
16.7419	-93.1397	18	North America
36.8026	28.2253	3	Asia
40.2753	-86.492	4	North America
42.1819	-71.197	5	North America
50.7035	7.11659	6	Europe
10.6223	-61.311	4	North America
29.2533	-82.2162	2	North America
38.6531	-90.2435	61	North America
48.295	14.3275	1	Europe
51.6646	-3.41505	10	Europe
49.0266	2.46772	399	Europe
37.5053	-85.7023	1	North America
14.6706	120.937	118	Asia
35.1998	-101.841	1	North America
3.84508	101.291	1	Asia
-14.0093	33.7344	4	Africa
8.80852	125.702	1	Asia
27.4627	-81.4314	1	North America
43.9502	7.66126	3	Europe
50.1108	18.55	2	Europe
13.7672	-89.0362	5	North America
-21.966	-46.7961	8	South America
-26.219	-49.4078	4	South America
8.00122	99.6395	1	Asia
18.2565	-93.2226	6	North America
44.9636	10.6856	2	Europe
46.0803	7.08705	2	Europe
57.2547	60.1177	1	Europe
48.7456	-3.46941	1	Europe
5.78908	-55.1859	1	South America
41.0345	40.5608	1	Asia
49.0492	-0.7597	1	Europe
34.4965	-82.0124	33	North America
-29.9139	-50.2646	1	South America
49.6121	3.22299	2	Europe
40.7764	-111.921	31	North America
-27.7689	-48.6676	7	South America
44.9483	43.2818	1	Europe
3.58698	98.6706	255	Asia
-2.13531	113.826	1	Asia
34.0071	-118.761	2	North America
10.2208	-68.0091	9	South America
51.7868	-1.3848	2	Europe
50.539	42.647	1	Europe
37.1853	-5.78667	1	Europe
43.9199	-0.9206	2	Europe
52.1973	0.146511	12	Europe
34.8786	-114.663	1	North America
35.4761	-95.53	2	North America
36.0244	-108.627	1	North America
-5.34808	-49.101	6	South America
26.903	75.8351	1	Asia
40.4663	17.2588	4	Europe
4.41373	101.385	2	Asia
51.576	4.64267	25	Europe
43.5534	141.902	2	Asia
53.5975	-113.379	2	North America
-22.5918	-47.3616	11	South America
-23.1117	-47.1947	27	South America
30.3157	-81.3852	1	North America
-9.94745	-67.8276	8	South America
28.8176	-97.8692	1	North America
35.1634	-115.9	4	North America
51.3181	12.3286	3	Europe
45.7578	4.8351	104	Europe
41.2927	12.5735	39	Europe
45.5353	10.2238	8	Europe
-1.15746	-50.5734	5	South America
38.4227	-75.0549	2	North America
38.7077	-75.1573	1	North America
38.6744	-76.6253	1	North America
20.5474	-100.399	3	North America
36.4486	-77.0942	5	North America
-27.4103	-70.278	1	South America
-2.63028	-56.739	25	South America
-4.14152	104.633	1	Asia
36.6374	-87.3678	2	North America
5.5516	5.77304	7	Africa
30.3528	76.3736	1	Asia
35.4478	136.993	4	Asia
-22.0668	-42.9237	77	South America
-5.47237	-35.8787	1	South America
-0.349769	35.9434	1	Africa
11.6604	-70.203	2	South America
56.5904	59.9662	14	Europe
41.0645	28.2869	1	Asia
33.5607	-117.731	10	North America
-7.09033	110.603	1	Asia
53.2227	-1.44067	11	Europe
30.0821	-90.4191	3	North America
36.8058	-77.4737	1	North America
7.89001	98.2971	4	Asia
41.9976	-71.5025	5	North America
34.9364	-88.9037	1	North America
32.9728	-117.091	3	North America
48.1795	-1.88882	2	Europe
34.0019	-117.955	68	North America
39.3405	-76.4429	7	North America
33.7129	-84.1009	28	North America
24.1515	55.6516	2	Asia
38.4404	-121.409	38	North America
-20.4597	-46.0594	4	South America
30.5928	31.4744	7	Africa
59.5969	11.1758	1	Europe
51.204	16.1524	3	Europe
39.6777	-75.7477	22	North America
32.8902	-84.3316	2	North America
46.8415	-71.3703	13	North America
43.0931	-79.0516	4	North America
49.1085	6.16526	19	Europe
43.3909	-80.3993	2	North America
55.8811	38.7853	1	Europe
39.8456	-75.3778	19	North America
-3.02054	114.389	1	Asia
38.2365	-0.646418	3	Europe
31.2703	34.7648	1	Asia
5.2918	115.697	1	Asia
39.1362	-84.2744	2	North America
-21.7766	-49.2498	1	South America
49.1035	-0.372141	9	Europe
47.2153	7.8091	1	Europe
32.5311	-94.3431	1	North America
17.998	101.755	3	Asia
17.5508	-99.5064	1	North America
24.0773	91.1153	2	Asia
-25.553	-48.4967	10	South America
-4.73107	104.596	1	Asia
46.6037	-122.917	1	North America
31.0939	35.7073	1	Asia
39.5881	2.68433	2	Europe
47.418	-120.281	3	North America
36.8769	-94.8673	1	North America
44.5956	4.75645	2	Europe
51.0212	-0.627686	1	Europe
-17.9039	-51.7309	1	South America
39.879	-82.0899	1	North America
32.8629	-96.9614	40	North America
46.6556	-52.6409	6	North America
19.857	-99.212	3	North America
-22.5582	-55.7079	1	South America
-6.80358	106.773	8	Asia
10.6585	-63.2531	5	South America
41.1539	27.8194	2	Asia
42.673	-82.9165	9	North America
28.1048	-82.5626	2	North America
55.7546	-2.01283	1	Europe
34.0024	-5.5429	6	Africa
43.4088	-84.6149	1	North America
34.0275	-85.9843	1	North America
34.6383	-90.3847	1	North America
43.1722	6.04661	3	Europe
34.5776	-106.792	1	North America
-16.5715	-54.6067	4	South America
-2.06681	102.278	1	Asia
51.4848	-2.61765	21	Europe
-7.61572	111.084	1	Asia
3.01697	-60.6432	1	South America
49.3521	0.934251	26	Europe
-29.3292	-51.5004	23	South America
41.8456	-88.3113	10	North America
59.3597	18.1963	12	Europe
48.2097	-2.79421	2	Europe
32.8467	-97.1748	7	North America
35.3068	139.502	5	Asia
46.1295	3.3132	2	Europe
46.5031	-84.287	1	North America
-24.6515	25.6949	1	Africa
55.4138	43.7998	1	Europe
-23.1018	-54.0488	1	South America
17.6348	120.411	4	Asia
-9.07635	-78.5888	16	South America
5.504	100.436	11	Asia
41.1732	-73.2781	12	North America
44.4267	-73.0869	1	North America
41.6836	12.7771	59	Europe
-26.5979	28.4205	1	Africa
55.6728	12.5521	15	Europe
51.1191	-3.44641	1	Europe
36.104	-80.2453	7	North America
34.4651	133.044	2	Asia
-6.77694	110.988	2	Asia
34.1088	-117.463	41	North America
47.6576	-2.74816	3	Europe
54.1937	37.6289	23	Europe
41.5123	-88.102	2	North America
-22.9326	-42.8294	2	South America
51.0579	0.999159	3	Europe
42.1161	-96.3667	1	North America
17.9678	-77.2423	4	North America
41.2998	36.3299	5	Asia
-20.087	-40.8168	1	South America
-29.9006	30.9726	11	Africa
7.78536	-72.219	2	South America
43.8527	1.37204	6	Europe
41.4712	15.6087	1	Europe
49.1877	7.59363	1	Europe
36.4685	-77.6451	1	North America
20.7153	-100.441	27	North America
-6.41379	-36.1914	2	South America
51.7465	5.74537	21	Europe
39.4489	-83.8117	1	North America
35.6447	139.906	11	Asia
-34.3353	-70.8347	1	South America
-29.7059	-51.507	2	South America
-8.45547	115.072	11	Asia
47.8941	-122.294	11	North America
32.0844	-96.4779	3	North America
50.5785	19.3444	1	Europe
18.1355	-94.4325	9	North America
41.8056	-72.2508	2	North America
52.0504	1.20372	1	Europe
55.8433	37.9576	11	Europe
27.9489	-82.3266	8	North America
-6.73943	110.669	1	Asia
-22.6804	-45.6877	2	South America
48.7951	3.2737	1	Europe
39.4704	-0.487839	10	Europe
51.5749	0.419578	13	Europe
27.7508	85.3265	1	Asia
37.0941	-8.24506	2	Europe
49.7512	3.77398	1	Europe
51.654	-1.45139	11	Europe
20.0871	99.8812	1	Asia
-3.0098	-55.195	4	South America
43.2385	0.0655738	3	Europe
33.2062	-117.239	8	North America
31.8838	-90.4099	1	North America
-22.1032	-41.4308	1	South America
42.378	-83.2668	95	North America
-23.0651	-51.0559	1	South America
57.6016	-4.87113	1	Europe
-7.20338	-38.5212	4	South America
1.45566	124.821	77	Asia
41.4087	-8.50005	4	Europe
35.7839	-77.5285	3	North America
44.4352	26.0552	1	Europe
41.1409	-80.1722	1	North America
-6.41076	106.774	315	Asia
38.0034	-79.4209	1	North America
49.3715	6.14425	31	Europe
40.3889	27.5235	1	Asia
5.02409	-73.9996	1	South America
14.0967	121.163	4	Asia
41.9184	-83.4385	1	North America
33.4451	-84.1792	15	North America
22.2703	-97.9168	12	North America
43.5679	11.1332	1	Europe
61.1089	-149.44	1	North America
-23.0082	-51.256	1	South America
54.5036	18.4637	6	Europe
23.6254	-102.558	7	North America
-23.5776	-45.841	1	South America
33.6507	-116.002	6	North America
-7.45968	112.742	13	Asia
48.3625	1.33228	2	Europe
36.105	-78.2979	6	North America
32.6753	-97.044	40	North America
36.7815	-3.0356	1	Europe
35.6896	-88.7056	2	North America
38.9167	-94.6753	23	North America
40.2958	-74.1634	5	North America
53.6438	11.3852	3	Europe
-20.7279	-46.6212	3	South America
-33.892	151.198	53	Oceania
-7.86585	-34.9975	6	South America
1.23813	124.612	2	Asia
-19.8614	-44.5966	7	South America
52.705	5.74589	1	Europe
22.8388	69.7012	1	Asia
3.81641	103.337	63	Asia
53.1638	-2.73732	1	Europe
29.893	-81.3163	1	North America
26.4721	-80.1047	15	North America
37.7157	-89.2122	14	North America
45.0929	39.042	10	Europe
37.7171	-3.97381	3	Europe
-19.4731	-40.6271	1	South America
51.6017	5.60344	13	Europe
33.7914	-118.156	89	North America
46.6832	-1.43642	2	Europe
51.3549	4.54759	1	Europe
31.3185	-95.4561	1	North America
39.1762	-77.2615	15	North America
-3.98448	-38.826	4	South America
39.8932	-99.7079	1	North America
34.5416	135.454	1	Asia
43.193	-112.333	1	North America
51.2607	3.22216	5	Europe
52.9756	-0.003937	5	Europe
41.0655	28.6842	10	Asia
50.7242	-3.78381	1	Europe
-20.2664	-50.9477	3	South America
-7.37872	110.59	2	Asia
41.5229	-7.645	1	Europe
-6.34131	108.33	1	Asia
43.9509	-78.4028	1	North America
19.288	72.8625	4	Asia
52.1105	6.11219	17	Europe
38.6054	-76.9259	36	North America
31.6027	-85.0469	1	North America
3.55183	103.378	2	Asia
14.834	120.735	6	Asia
47.5543	-122.703	3	North America
-29.9805	-53.4659	2	South America
32.3085	-106.731	4	North America
48.3043	20.751	2	Europe
-22.5461	-41.9822	2	South America
51.1687	4.10352	3	Europe
38.068	-84.4726	10	North America
5.90749	116.094	18	Asia
33.8912	35.4939	44	Asia
20.6971	-105.149	4	North America
33.216	-92.6404	3	North America
44.7669	1.75302	1	Europe
-3.30786	119.196	1	Asia
36.7297	-120.072	6	North America
30.2454	-92.0918	6	North America
41.7581	2.06928	10	Europe
51.118	3.96552	2	Europe
48.0615	16.6242	1	Europe
55.5351	25.0862	1	Europe
42.773	-71.4868	1	North America
38.4221	-90.3761	3	North America
-18.7161	-47.4972	1	South America
52.5699	6.53484	22	Europe
48.3372	-2.67131	1	Europe
46.9459	18.9131	9	Europe
-22.9325	-43.1806	115	South America
54.5357	-1.0525	1	Europe
39.967	-76.7311	3	North America
39.7646	-92.477	1	North America
42.3736	-87.841	9	North America
43.1796	-0.240469	10	Europe
41.3759	-88.6275	1	North America
38.8061	-90.2884	2	North America
6.39402	100.207	19	Asia
35.8305	-85.9786	12	North America
42.5318	-92.4517	3	North America
39.4984	-76.6461	9	North America
51.5207	-0.142822	8219	Europe
49.0802	2.66554	26	Europe
43.9863	-92.4366	1	North America
-26.1997	28.0406	23	Africa
13.0049	77.569	12	Asia
-22.6446	-43.3052	28	South America
52.5008	103.845	2	Europe
-0.789275	113.921	17	Asia
51.0565	31.8951	1	Europe
53.3676	-1.84397	1	Europe
14.6097	-61.0805	30	North America
37.8476	-4.67425	1	Europe
14.8941	-92.275	4	North America
-4.79228	34.7314	1	Africa
43.1484	-8.9675	2	Europe
0.534566	33.3934	1	Africa
55.297	-2.07469	1	Europe
33.5909	-83.999	2	North America
37.1817	-7.45008	1	Europe
20.9971	75.5557	2	Asia
52.9908	6.25643	1	Europe
3.94649	113.811	10	Asia
43.5574	-5.93149	1	Europe
5.75045	117.736	1	Asia
56.1308	47.2532	11	Europe
-37.7098	144.79	5	Oceania
59.366	28.1107	1	Europe
-19.6019	-40.7725	1	South America
19.8289	-97.3606	1	North America
53.2075	6.12759	8	Europe
48.5303	2.25007	62	Europe
-7.24811	111.768	1	Asia
37.3046	-77.2921	3	North America
35.9173	-78.9263	14	North America
53.2032	50.1875	1	Europe
16.343	-61.7752	1	North America
48.1685	14.027	1	Europe
42.9318	44.6465	11	Europe
58.163	55.8611	1	Europe
44.8844	-93.4176	5	North America
37.2461	-8.19459	2	Europe
36.7618	-76.2236	4	North America
43.247	141.904	1	Asia
41.843	-71.3508	29	North America
47.7444	7.40646	4	Europe
37.6488	-122.095	13	North America
32.0433	-106.371	1	North America
33.5174	-90.194	1	North America
-9.65918	-35.7559	9	South America
40.5215	-89.0012	1	North America
-21.2741	-50.7091	1	South America
33.2426	-79.9579	1	North America
14.5605	-90.4605	26	North America
52.2694	-6.96723	3	Europe
33.9609	133.294	1	Asia
47.6131	-0.469075	2	Europe
31.7202	-86.2746	2	North America
38.7485	-77.0841	29	North America
54.6617	9.40202	1	Europe
34.5857	-118.079	10	North America
14.9735	120.156	1	Asia
3.2281	113.072	4	Asia
3.23187	101.386	68	Asia
32.7059	-103.113	1	North America
49.0555	3.37798	2	Europe
46.4429	4.11139	3	Europe
53.3211	-1.11367	3	Europe
33.4922	-89.7308	2	North America
49.594	1.09819	4	Europe
-1.0796	100.421	1	Asia
52.172	-0.662384	1	Europe
10.4428	-85.7746	3	North America
39.2779	-77.8447	1	North America
-27.0529	-52.9701	1	South America
39.2846	-76.6205	104	North America
4.79533	103.241	1	Asia
49.7777	6.64945	2	Europe
57.2084	25.2601	1	Europe
10.5305	7.45564	3	Africa
-27.2447	-48.6992	3	South America
39.5564	-89.6459	1	North America
37.5028	-120.858	3	North America
55.7969	9.74419	1	Europe
18.2009	42.5141	1	Asia
7.48696	4.54403	6	Africa
45.7668	3.08944	4	Europe
-11.0019	-37.1007	116	South America
49.0013	8.33455	8	Europe
56.7909	23.9296	6	Europe
51.4498	6.70569	5	Europe
46.0027	8.96044	2	Europe
41.1291	-73.4127	14	North America
43.43	-5.84397	6	Europe
-24.6098	-47.4528	1	South America
17.3818	78.4999	6	Asia
15.8907	100.203	5	Asia
40.1233	-75.3409	15	North America
33.6159	-114.587	2	North America
53.6047	107.776	1	Europe
35.0131	136.123	10	Asia
-22.4879	-42.2009	1	South America
37.3841	140.105	1	Asia
48.1117	-1.67536	14	Europe
-35.1521	147.366	1	Oceania
-23.417	-54.5603	163	South America
-21.1841	-42.8853	3	South America
49.4412	1.0912	45	Europe
44.2839	0.247698	2	Europe
62.023	129.705	17	Europe
44.7553	10.7705	1	Europe
-26.4168	-49.0724	33	South America
51.8231	107.584	1	Europe
31.7377	-81.3863	2	North America
-30.5529	-53.4955	5	South America
28.0607	-81.9722	2	North America
41.9283	-74.0073	2	North America
56.7147	-2.46825	1	Europe
52.7642	23.1903	2	Europe
-27.599	153.076	10	Oceania
-29.106	-51.5365	7	South America
-22.1609	-54.8613	16	South America
-8.43046	-36.7454	1	South America
52.9815	6.74891	3	Europe
-11.6244	-38.9739	1	South America
38.9175	-77.5142	5	North America
56.4073	61.9156	1	Europe
60.7423	17.0813	1	Europe
37.8708	-122.301	45	North America
35.1585	-78.5905	1	North America
60.3275	10.153	1	Europe
33.6245	-80.9266	24	North America
56.6282	47.8837	9	Europe
39.4817	-87.4063	25	North America
52.3798	9.76148	2	Europe
29.8638	-82.408	1	North America
2.46878	-76.5849	3	South America
18.5432	-88.2998	5	North America
19.3343	-70.5202	2	North America
44.2109	-69.0684	1	North America
12.5699	-81.7139	1	NULL
38.139	-97.4174	1	North America
46.8285	-100.766	1	North America
53.1826	5.81839	15	Europe
20.6312	-103.472	12	North America
35.1361	-111.203	1	North America
1.56385	104.25	2	Asia
60.9009	26.2652	1	Europe
-22.5095	-44.7715	1	South America
-16.6428	-49.2612	123	South America
39.8914	32.6809	17	Asia
35.2035	-80.836	48	North America
52.5909	-2.12746	33	Europe
33.4564	-86.9431	7	North America
