Latitude 	 Longitude 	 Weight 	 Continent
-3.75745	-38.7914	1	South America
-7.03096	106.928	11	Asia
2.94682	102.075	3	Asia
59.425	24.7382	12	Europe
36.1523	-95.9093	24	North America
30.0831	-90.4839	4	North America
8.66723	76.9114	1	Asia
-23.491	-49.0234	2	South America
35.6506	-88.3938	1	North America
43.4824	3.78916	3	Europe
47.6423	19.0988	1	Europe
31.7683	35.2137	2	Asia
-23.4057	-51.9683	50	South America
54.5363	36.2486	11	Europe
34.2385	-116.949	4	North America
34.8845	-79.695	3	North America
33.9493	-80.0554	2	North America
51.8175	107.618	6	Europe
50.8244	4.49508	17	Europe
3.67051	-76.5115	1	South America
2.48892	102.73	10	Asia
53.5657	49.0177	1	Europe
8.84154	7.91382	3	Africa
32.0518	34.7585	4	Asia
-4.58126	-44.6072	1	South America
54.5026	37.119	1	Europe
59.8685	30.9897	2	Europe
41.9648	-86.0844	2	North America
-3.77315	-43.4628	1	South America
49.4073	3.12248	1	Europe
-20.8756	-54.2616	113	South America
55.4359	65.2991	8	Europe
-11.3228	-64.4743	1	South America
18.0831	-67.0433	3	North America
31.8072	-85.9625	2	North America
50.9215	20.5697	1	Europe
36.5767	36.1398	6	Asia
51.1635	10.4541	1	Europe
54.3889	20.6331	1	Europe
50.8035	-0.53913	3	Europe
-10.3355	-58.5891	1	South America
39.295	-7.44543	7	Europe
-5.79649	106.495	1	Asia
50.0501	8.08072	3	Europe
54.2712	-0.415785	13	Europe
-6.08007	-37.476	8	South America
-46.4109	168.353	1	Oceania
25.8364	-98.3625	14	North America
36.2587	-85.9327	1	North America
46.4247	6.92461	1	Europe
32.5558	-84.2501	1	North America
-1.5279	110.449	2	Asia
33.7527	-117.684	28	North America
-38.029	144.413	2	Oceania
36.5982	-88.3264	1	North America
16.7419	-93.1397	132	North America
-6.67087	106.872	152	Asia
35.26	136.273	1	Asia
16.7105	98.555	1	Asia
40.4137	-104.984	2	North America
32.9506	-94.9538	1	North America
55.4508	-4.29782	3	Europe
46.6327	142.784	1	Europe
43.5084	-5.69195	6	Europe
35.295	-120.662	8	North America
-27.2413	152.992	2	Oceania
40.5084	-74.86	1	North America
37.2677	-77.5701	2	North America
53.2447	-7.04945	2	Europe
9.51801	100.056	2	Asia
35.9048	-77.5325	1	North America
27.8197	-82.2691	5	North America
35.8022	-90.6756	7	North America
-1.06756	36.6244	1	Africa
30.5643	-95.1883	1	North America
36.9419	-120.056	5	North America
20.7924	-103.485	7	North America
40.87	-75.2171	6	North America
-0.769361	-48.5121	3	South America
43.9502	7.66126	4	Europe
9.92872	-84.1885	88	North America
50.8644	-103.333	2	North America
52.4084	0.274771	7	Europe
8.00122	99.6395	1	Asia
49.3833	11.4308	1	Europe
37.2745	-107.865	5	North America
-18.1772	-41.8296	2	South America
44.961	-89.7681	1	North America
37.1234	-1.83673	5	Europe
38.6791	-9.30135	35	Europe
54.0161	-6.15406	4	Europe
38.4961	-9.12031	6	Europe
49.6979	4.70922	3	Europe
48.7456	-3.46941	2	Europe
40.9028	-81.1102	1	North America
9.9786	-84.8223	5	North America
44.1524	-87.5866	2	North America
20.6656	-99.8985	3	North America
57.5215	-2.6365	1	Europe
58.0602	38.811	5	Europe
44.0258	-117.0	1	North America
38.8745	-6.85618	9	Europe
37.1533	-92.2563	1	North America
-27.7689	-48.6676	10	South America
44.9483	43.2818	1	Europe
3.39623	102.008	2	Asia
34.0071	-118.761	5	North America
36.1909	36.1493	6	Asia
52.2681	-6.9711	7	Europe
23.6641	57.8998	1	Asia
-34.0095	25.674	2	Africa
41.3562	-83.1189	5	North America
18.5021	73.8159	58	Asia
42.5924	-95.9587	1	North America
33.388	-84.569	7	North America
35.4402	-95.9697	1	North America
52.7528	6.71888	5	Europe
19.3784	-70.4151	2	North America
37.1943	-8.58499	9	Europe
40.0309	-74.8609	32	North America
34.0374	-80.9375	21	North America
39.1071	-93.1912	1	North America
-1.89672	116.199	1	Asia
26.903	75.8351	2	Asia
51.576	4.64267	39	Europe
10.2099	-71.3146	1	South America
46.1206	3.40236	2	Europe
-22.5918	-47.3616	16	South America
-21.4642	-51.4294	2	South America
18.4964	-67.1131	2	North America
-23.1117	-47.1947	60	South America
35.5977	-105.221	1	North America
53.1743	44.0301	1	Europe
-43.8959	171.756	2	Oceania
35.5279	-108.69	14	North America
35.1634	-115.9	42	North America
-43.5466	172.63	2	Oceania
18.4671	-66.0906	59	North America
36.5178	-4.89375	4	Europe
11.4008	99.594	1	Asia
43.6134	39.7181	6	Europe
13.0383	80.2717	9	Asia
50.9351	0.803452	1	Europe
58.1464	52.6561	1	Europe
30.165	-95.5103	4	North America
37.6529	-120.991	29	North America
45.5353	10.2238	4	Europe
-1.15746	-50.5734	1	South America
49.0214	12.1103	5	Europe
29.8185	-95.3701	183	North America
51.4569	-0.977094	212	Europe
49.1737	0.658647	1	Europe
42.7118	-80.0441	2	North America
50.7701	25.3022	7	Europe
40.977	-80.4805	11	North America
36.4486	-77.0942	6	North America
10.802	106.73	5	Asia
28.5316	-99.8522	6	North America
-22.9847	-43.2256	82	South America
51.6041	-2.90446	16	Europe
66.5227	95.0049	2	Europe
-21.3437	55.4951	2	Africa
14.5432	121.06	588	Asia
39.7819	19.9285	1	Europe
42.5756	1.7843	1	Europe
24.8112	-107.393	2	North America
-34.0764	-70.7312	16	South America
2.61789	112.412	1	Asia
43.6082	13.3226	15	Europe
4.74951	114.664	3	Asia
-22.0668	-42.9237	31	South America
4.1742	73.5109	47	Asia
43.6407	-72.8562	2	North America
13.9799	-89.5583	10	North America
30.4099	-88.8043	1	North America
51.8883	-1.1371	2	Europe
53.994	-1.5548	6	Europe
45.5822	5.90643	3	Europe
55.197	-6.64178	3	Europe
51.7407	-0.970062	8	Europe
34.8092	138.285	1	Asia
38.6969	-8.19661	5	Europe
19.6416	-99.3912	1	North America
-16.666	-49.2685	189	South America
56.5904	59.9662	15	Europe
9.71243	-63.2647	6	South America
38.0197	12.5266	1	Europe
51.6953	17.4444	1	Europe
3.05992	101.451	967	Asia
-22.4957	-44.6576	1	South America
53.0773	-0.636605	1	Europe
40.3014	-83.6047	1	North America
-29.5559	-49.8926	1	South America
41.7332	12.2918	4	Europe
-7.46064	-35.1597	3	South America
24.3012	-107.273	1	North America
50.4146	1.617	1	Europe
34.6944	-82.8339	2	North America
-17.7967	15.7804	1	Africa
55.3259	11.3906	1	Europe
11.6706	-70.1835	8	South America
43.5658	-71.4825	2	North America
33.7948	-116.989	9	North America
-20.4597	-46.0594	2	South America
40.8538	-75.6533	4	North America
30.5928	31.4744	10	Africa
60.3358	-1.33	3	Europe
54.3807	-5.54366	4	Europe
41.5358	-93.5829	9	North America
37.7748	-0.808374	8	Europe
51.204	16.1524	15	Europe
45.344	28.808	7	Europe
46.2527	-60.1448	4	North America
53.2072	-4.18022	2	Europe
38.7618	-76.7887	73	North America
48.5558	2.39077	69	Europe
58.2742	11.4355	1	Europe
54.3765	74.6073	1	Europe
55.8811	38.7853	2	Europe
57.3054	18.5194	1	Europe
40.5132	-76.1228	1	North America
-41.4739	-72.9548	11	South America
-25.9256	32.4648	3	Africa
36.061	-115.134	155	North America
-20.1957	-44.7117	2	South America
13.6355	123.196	5	Asia
4.47597	-74.376	1	South America
40.49	-79.8103	13	North America
58.0571	7.48665	2	Europe
5.2918	115.697	2	Asia
42.4211	21.1635	3	Europe
34.5231	139.28	1	Asia
47.2153	7.8091	1	Europe
51.768	-1.24184	34	Europe
53.4451	-2.40567	40	Europe
37.9344	-121.732	10	North America
32.5311	-94.3431	1	North America
-19.3133	-47.5312	1	South America
48.8899	6.3875	2	Europe
51.2353	6.61155	5	Europe
-25.553	-48.4967	21	South America
35.7715	-96.0059	1	North America
43.2911	-84.1401	3	North America
-5.30252	105.159	2	Asia
-6.11873	106.882	3855	Asia
36.1329	-85.5046	1	North America
50.807	23.8904	2	Europe
37.5729	-1.26622	1	Europe
-6.98476	108.497	11	Asia
40.175	18.1651	2	Europe
51.5416	0.664369	19	Europe
40.7028	-112.095	5	North America
-37.1134	-56.8629	20	South America
54.7748	32.0569	19	Europe
40.651	-73.8712	284	North America
29.8037	-95.8019	12	North America
19.1644	-98.4097	9	North America
34.2044	-79.252	8	North America
33.5774	-117.214	18	North America
32.8629	-96.9614	122	North America
10.2182	-64.6331	13	South America
50.7161	-3.48505	4	Europe
51.1774	-1.35784	11	Europe
7.52161	99.5751	1	Asia
46.6556	-52.6409	4	North America
6.84624	100.467	1	Asia
47.6769	-116.799	2	North America
42.2662	-82.1508	10	North America
55.819	37.3341	42	Europe
38.5647	-78.7441	1	North America
52.2186	-1.87592	3	Europe
41.8332	20.8857	1	Europe
48.6239	22.9421	1	Europe
42.5021	-92.3267	12	North America
35.6087	-78.6327	17	North America
51.9354	4.79098	17	Europe
0.72234	124.322	3	Asia
37.5576	-90.3063	3	North America
64.0954	11.7721	2	Europe
3.63298	114.533	6	Asia
36.2331	-85.4037	1	North America
42.2408	-87.9304	13	North America
-14.5043	-56.8506	1	South America
2.53718	102.038	21	Asia
51.6343	5.95179	13	Europe
-7.45009	112.238	4	Asia
39.5644	-76.677	3	North America
2.29132	102.572	25	Asia
6.08409	116.165	33	Asia
36.0107	-114.964	7	North America
53.3433	7.21447	2	Europe
30.1565	-115.58	12	North America
43.1932	-76.2053	7	North America
53.1682	15.4249	10	Europe
25.2044	-99.8306	1	North America
-7.83582	-35.7604	1	South America
3.01697	-60.6432	11	South America
-0.370226	35.9287	2	Africa
-29.3292	-51.5004	66	South America
20.9443	107.052	2	Asia
44.1911	-75.2965	3	North America
51.9141	6.56715	3	Europe
37.6178	-122.071	67	North America
49.4117	1.04164	41	Europe
10.6424	-74.7518	1	South America
59.3597	18.1963	23	Europe
-20.6488	-41.9102	5	South America
49.4015	2.85486	7	Europe
19.9404	-97.9612	1	North America
32.3748	-96.12	1	North America
43.1792	-76.0539	8	North America
-20.2372	-70.1435	15	South America
-23.1018	-54.0488	2	South America
39.5387	-104.976	11	North America
36.3402	-88.8549	8	North America
50.2478	3.92045	18	Europe
34.3943	-99.0105	1	North America
36.7629	34.4932	17	Asia
42.327	-92.4598	1	North America
6.12779	125.173	12	Asia
-2.96616	-40.8077	7	South America
9.00351	7.27045	7	Africa
40.0835	-80.8891	3	North America
12.6319	-87.1346	2	North America
52.7494	-8.89838	1	Europe
32.6227	-86.175	1	North America
19.6328	-70.2838	1	North America
55.6728	12.5521	20	Europe
-7.52901	109.272	28	Asia
40.7721	30.394	3	Asia
-4.85528	104.928	2	Asia
54.4844	-5.73389	3	Europe
41.25	-72.8717	17	North America
57.1506	65.5568	58	Europe
55.1296	30.4683	1	Europe
40.2887	-79.4037	3	North America
36.104	-80.2453	8	North America
35.2976	138.26	1	Asia
42.4504	-85.6746	6	North America
-0.392658	102.445	5	Asia
34.9655	136.618	3	Asia
42.5254	21.0639	2	Europe
43.4104	5.92767	3	Europe
37.9688	12.9749	3	Europe
25.7787	-100.168	36	North America
-21.2162	-41.8904	10	South America
43.7175	-89.4763	1	North America
39.9421	116.396	10	Asia
10.9355	122.635	1	Asia
46.3946	6.54024	34	Europe
33.5359	-84.3027	19	North America
44.8304	-93.0559	31	North America
54.1937	37.6289	68	Europe
4.38687	100.964	36	Asia
-39.4888	-72.156	1	South America
46.1564	8.77139	1	Europe
39.7304	-121.832	6	North America
33.1078	-84.0019	1	North America
34.5794	-92.2682	5	North America
25.8705	-97.4944	20	North America
-7.9391	112.638	414	Asia
43.9725	-77.4528	1	North America
33.2942	-84.0289	3	North America
25.7111	-103.504	1	North America
-6.162	106.338	12	Asia
47.3209	4.48968	1	Europe
-29.9006	30.9726	22	Africa
-4.36208	-38.0899	1	South America
52.9077	1.10694	2	Europe
53.8589	-6.53749	3	Europe
42.7276	-73.6736	5	North America
18.8352	-95.8132	2	North America
53.271	16.4833	1	Europe
55.8619	36.9367	2	Europe
-6.41379	-36.1914	4	South America
33.9777	-118.07	428	North America
39.1024	-84.5155	82	North America
44.9053	-92.9241	6	North America
40.2038	-88.4079	3	North America
35.9974	138.164	1	Asia
1.3801	103.452	2	Asia
-8.45547	115.072	30	Asia
14.8342	120.287	1	Asia
47.5386	7.56457	8	Europe
45.8586	1.23198	27	Europe
52.1455	-9.86933	5	Europe
50.5841	21.686	2	Europe
30.6058	32.274	1	Africa
18.1355	-94.4325	12	North America
49.5938	17.2149	10	Europe
52.1184	-1.01848	8	Europe
38.4125	16.0591	1	Europe
2.33385	102.093	52	Asia
40.3099	-79.8244	13	North America
51.9542	-0.815809	7	Europe
39.4704	-0.487839	29	Europe
44.3281	2.42905	1	Europe
57.5289	52.9915	1	Europe
56.0396	38.2248	1	Europe
53.3181	6.88354	1	Europe
44.8347	-76.5467	1	North America
40.0052	-4.63267	1	Europe
33.1257	-96.1039	2	North America
-2.67947	118.872	1	Asia
20.0871	99.8812	12	Asia
28.6269	-106.104	2	North America
-3.0098	-55.195	15	South America
46.7884	5.19047	1	Europe
41.2308	14.7127	4	Europe
-34.1214	18.9126	17	Africa
42.5404	3.05067	5	Europe
36.6367	-120.646	1	North America
41.5203	0.334211	1	Europe
43.35	-8.40817	11	Europe
20.0802	-98.3704	5	North America
49.2146	1.79848	1	Europe
43.222	-123.356	1	North America
-28.3896	-54.8743	5	South America
-6.15274	107.301	2	Asia
-27.0077	-48.6232	13	South America
-8.12896	-79.0433	4	South America
40.7319	-122.319	1	North America
51.1971	6.44682	3	Europe
57.6016	-4.87113	2	Europe
-7.20338	-38.5212	1	South America
33.7514	-118.026	136	North America
-5.9475	-35.1569	13	South America
46.8131	8.22414	1	Europe
-26.2945	-49.3292	1	South America
41.4087	-8.50005	23	Europe
10.1957	-67.9343	16	South America
5.9555	116.668	10	Asia
48.4114	1.89637	2	Europe
20.3944	-99.9857	11	North America
59.8653	29.8847	2	Europe
43.5449	-1.09903	2	Europe
46.6853	7.86279	2	Europe
51.7543	11.4629	1	Europe
41.2875	-88.2736	2	North America
38.0034	-79.4209	2	North America
49.3715	6.14425	41	Europe
-22.7405	-45.1143	19	South America
47.2164	2.38393	4	Europe
32.5049	-93.6674	11	North America
-21.6096	-56.4159	1	South America
52.7657	-1.23703	46	Europe
51.8012	5.06762	13	Europe
52.6364	-8.65146	4	Europe
41.6675	13.194	33	Europe
33.4451	-84.1792	11	North America
22.2703	-97.9168	25	North America
31.3897	-87.0286	1	North America
45.8902	6.12665	14	Europe
4.75893	115.016	1	Asia
35.4173	-80.8576	3	North America
-38.1175	147.088	1	Oceania
61.1089	-149.44	2	North America
43.0276	-71.0756	1	North America
-6.28263	107.17	127	Asia
49.8455	3.25564	6	Europe
45.3796	17.6732	1	Europe
45.5013	10.7845	1	Europe
54.5036	18.4637	12	Europe
-22.7859	-46.5736	1	South America
23.6254	-102.558	17	North America
33.6507	-116.002	14	North America
29.5131	-98.656	162	North America
-7.7957	-34.9709	7	South America
-23.6566	-49.7803	9	South America
33.4927	36.2451	1	Asia
19.131	72.8363	118	Asia
-8.27649	-35.0925	3	South America
55.8604	-4.42467	18	Europe
39.4138	-76.9463	1	North America
-23.7687	-46.7136	96	South America
41.942	-74.9116	1	North America
5.50042	102.219	1	Asia
39.9771	-104.707	10	North America
-20.7279	-46.6212	8	South America
6.82484	-58.1429	3	South America
34.0704	-117.187	36	North America
47.847	12.1034	1	Europe
-6.16634	-35.6217	1	South America
44.7182	8.2876	2	Europe
49.3523	20.0057	3	Europe
29.6227	-95.3907	14	North America
46.8366	0.300983	1	Europe
41.3601	-4.5288	1	Europe
27.4907	-82.6334	11	North America
33.852	-118.172	92	North America
53.1638	-2.73732	21	Europe
42.4501	-79.3423	9	North America
63.5364	53.4365	1	Europe
42.0442	-92.9422	1	North America
-23.6839	-46.9469	80	South America
40.4714	-80.9218	2	North America
-19.4731	-40.6271	3	South America
36.6866	-121.641	17	North America
55.0451	21.6748	2	Europe
-15.7869	35.0043	3	Africa
62.554	-150.221	1	North America
41.7776	-2.3213	5	Europe
52.6004	19.1766	5	Europe
-3.13547	-58.7839	3	South America
4.93593	8.34083	5	Africa
7.65257	4.22322	2	Africa
61.1713	-113.676	1	North America
-7.44833	110.585	1	Asia
43.2193	-87.9274	8	North America
40.59	-73.7391	8	North America
-27.8144	-50.3326	2	South America
53.3941	-114.226	10	North America
42.0722	-88.1518	14	North America
44.7597	0.77985	1	Europe
-29.4497	-55.1328	1	South America
49.2465	2.47104	31	Europe
50.7242	-3.78381	3	Europe
48.8836	6.04402	4	Europe
36.4199	-82.0676	1	North America
27.7054	-97.7283	1	North America
53.4066	23.5021	16	Europe
30.62	-81.6504	9	North America
-7.99089	-38.2917	4	South America
35.0831	-85.2504	9	North America
8.65284	-71.1261	13	South America
21.1478	79.0452	2	Asia
-26.5286	28.0197	1	Africa
39.2536	-84.1476	1	North America
46.5938	17.125	1	Europe
27.0344	-80.1087	3	North America
