Latitude 	 Longitude 	 Weight 	 Continent
34.2163	-92.6191	1	North America
59.425	24.7382	14	Europe
51.5078	31.2821	1	Europe
52.3519	6.85913	100	Europe
31.1268	-83.4183	22	North America
46.0199	0.160382	3	Europe
44.1339	4.40078	1	Europe
53.8062	-6.96696	1	Europe
31.3862	-87.1283	1	North America
41.26	-100.742	2	North America
-23.4057	-51.9683	117	South America
54.5363	36.2486	26	Europe
17.6609	-101.599	2	North America
41.3498	13.4266	1	Europe
31.8987	-90.7105	2	North America
-3.45212	38.4835	1	Africa
11.2721	75.777	3	Asia
7.07811	125.614	57	Asia
4.32279	102.022	6	Asia
35.7083	-86.907	9	North America
37.9733	-122.286	60	North America
47.246	-2.2634	5	Europe
40.8008	-96.6948	15	North America
40.1608	26.4216	3	Asia
41.2856	-82.2163	1	North America
10.6656	122.987	45	Asia
54.5026	37.119	1	Europe
59.8685	30.9897	2	Europe
43.1872	-78.9302	11	North America
41.9648	-86.0844	2	North America
57.262	57.0407	1	Europe
-20.8756	-54.2616	198	South America
55.4359	65.2991	16	Europe
-7.90034	112.033	77	Asia
40.7885	-74.5888	16	North America
6.49422	-73.1726	1	South America
28.7056	-96.2165	1	North America
-20.6819	139.498	1	Oceania
1.37144	103.449	7	Asia
59.6493	16.6002	6	Europe
8.66723	76.9114	8	Asia
2.28252	113.628	1	Asia
-7.72636	112.668	11	Asia
-6.57911	110.969	4	Asia
2.83949	-60.7451	5	South America
-21.4551	-45.2045	6	South America
37.0376	140.719	1	Asia
51.1635	10.4541	7	Europe
42.1311	-71.2635	4	North America
4.33218	-74.3786	1	South America
0.963314	103.979	21	Asia
9.30559	-75.3964	4	South America
-19.8596	-44.9979	2	South America
44.9208	41.0789	2	Europe
6.39945	100.129	11	Asia
50.0501	8.08072	4	Europe
34.2928	-81.1635	2	North America
-6.08007	-37.476	20	South America
-24.0534	-48.27	4	South America
25.8364	-98.3625	8	North America
45.6937	8.45687	2	Europe
34.1608	-85.1852	1	North America
41.7186	-93.5824	27	North America
-32.6323	20.9907	2	Africa
59.4398	9.00221	1	Europe
39.2566	-81.5416	23	North America
16.7419	-93.1397	60	North America
36.8026	28.2253	4	Asia
40.2753	-86.492	4	North America
40.6303	27.1736	1	Asia
-22.8634	-46.0351	1	South America
41.0194	28.5705	13	Asia
-3.29866	-60.6257	1	South America
23.5971	72.3796	1	Asia
55.4508	-4.29782	4	Europe
40.9294	-74.9748	2	North America
46.6327	142.784	3	Europe
48.1941	6.72462	1	Europe
43.5084	-5.69195	6	Europe
20.644	-100.988	2	North America
10.6223	-61.311	1	North America
38.6531	-90.2435	237	North America
40.0696	-76.5728	3	North America
48.295	14.3275	2	Europe
31.1027	-90.4112	1	North America
49.0266	2.46772	1270	Europe
48.4519	-89.1973	2	North America
20.9762	-101.277	5	North America
45.3127	8.86163	3	Europe
42.8312	141.713	1	Asia
59.7253	17.7871	2	Europe
8.80852	125.702	1	Asia
43.2172	-77.4296	8	North America
-6.12491	120.458	1	Asia
49.6591	12.1574	1	Europe
41.5228	-112.02	2	North America
31.5903	-84.1939	65	North America
43.9502	7.66126	1	Europe
32.0757	-88.7302	1	North America
50.1108	18.55	8	Europe
-21.966	-46.7961	14	South America
-22.8997	-49.6248	2	South America
42.9336	142.053	1	Asia
-26.219	-49.4078	7	South America
-12.6142	-38.2701	1	South America
-23.4202	-47.3596	26	South America
-33.7558	-61.9678	1	South America
38.8346	65.7913	1	Asia
-39.4789	176.897	2	Oceania
49.3833	11.4308	1	Europe
-3.11963	-59.9854	329	South America
58.6045	99.1891	1	Europe
-18.1772	-41.8296	1	South America
50.4655	30.6082	39	Europe
10.3957	-71.4476	1	South America
48.4694	4.96318	1	Europe
48.4841	-2.96017	1	Europe
30.6942	-91.7531	1	North America
52.9722	-2.67968	1	Europe
48.7456	-3.46941	3	Europe
41.0345	40.5608	1	Asia
44.1524	-87.5866	2	North America
49.0492	-0.7597	1	Europe
-16.6044	-48.5459	2	South America
-28.664	-50.4352	1	South America
40.7764	-111.921	123	North America
-27.7689	-48.6676	24	South America
49.1124	37.4099	1	Europe
38.8112	-90.235	27	North America
44.757	-0.686312	59	Europe
44.9483	43.2818	1	Europe
3.39623	102.008	10	Asia
44.2227	4.1614	2	Europe
36.0302	-80.3926	2	North America
34.0071	-118.761	9	North America
38.5795	-121.29	25	North America
10.2208	-68.0091	30	South America
57.7438	12.1133	8	Europe
50.539	42.647	1	Europe
50.3455	18.2472	1	Europe
35.8584	128.53	2	Asia
38.2964	26.2813	6	Asia
32.9092	-111.738	2	North America
35.4402	-95.9697	1	North America
43.9199	-0.9206	3	Europe
32.2235	-98.2263	3	North America
55.5645	37.5762	80	Europe
37.1943	-8.58499	4	Europe
35.4761	-95.53	5	North America
-26.4195	-51.8397	8	South America
24.2207	55.7771	7	Asia
52.7045	13.0637	1	Europe
-5.34808	-49.101	22	South America
-7.59059	112.505	26	Asia
10.1631	-64.6924	13	South America
33.9791	-117.061	4	North America
40.4663	17.2588	12	Europe
37.9834	-1.12989	51	Europe
39.9538	-74.2114	24	North America
36.8913	140.761	1	Asia
-22.5918	-47.3616	33	South America
1.00915	103.409	4	Asia
-21.4642	-51.4294	3	South America
3.88339	-77.025	2	South America
-23.1117	-47.1947	92	South America
34.6654	-99.3035	1	North America
30.3157	-81.3852	16	North America
40.0373	-105.257	2	North America
-9.94745	-67.8276	18	South America
42.3246	-85.2425	18	North America
38.7178	-94.6764	4	North America
3.48538	101.184	9	Asia
-7.20135	-48.1838	1	South America
62.3825	25.9551	1	Europe
35.1634	-115.9	28	North America
45.7578	4.8351	309	Europe
4.27936	117.906	58	Asia
43.6134	39.7181	5	Europe
60.4563	22.28	1	Europe
18.564	-70.4736	1	North America
13.9655	-90.7835	1	North America
32.1814	34.8738	2	Asia
30.165	-95.5103	11	North America
37.6529	-120.991	45	North America
45.5353	10.2238	20	Europe
33.5786	-101.877	35	North America
38.4227	-75.0549	8	North America
51.2105	-2.66134	4	Europe
-16.4298	-49.1948	2	South America
49.0023	0.142091	1	Europe
38.6744	-76.6253	6	North America
49.1737	0.658647	2	Europe
39.7653	30.4905	4	Asia
43.1038	-77.8812	2	North America
40.8302	-72.7131	3	North America
16.5899	121.25	1	Asia
-6.34045	106.647	744	Asia
28.5316	-99.8522	3	North America
31.8975	-98.6118	1	North America
51.6487	3.93155	2	Europe
-22.9847	-43.2256	205	South America
-4.14152	104.633	1	Asia
7.99934	124.281	3	Asia
37.9884	-84.1649	1	North America
11.1472	124.887	1	Asia
51.5599	4.76485	82	Europe
7.89629	-67.4695	1	South America
30.3528	76.3736	1	Asia
6.79143	125.212	6	Asia
45.0311	5.1176	4	Europe
47.8868	-3.65464	2	Europe
5.20017	103.208	64	Asia
-34.0764	-70.7312	19	South America
-4.1373	104.184	4	Asia
37.8579	23.7545	6	Europe
-22.0668	-42.9237	198	South America
34.9442	135.128	2	Asia
43.6407	-72.8562	2	North America
-4.12235	120.022	17	Asia
-5.47237	-35.8787	1	South America
35.5515	-121.088	1	North America
45.5822	5.90643	10	Europe
47.5159	7.00546	3	Europe
39.4683	-86.0073	6	North America
19.6416	-99.3912	1	North America
56.5904	59.9662	34	Europe
54.9138	-7.86654	1	Europe
47.3767	-0.377446	7	Europe
51.6953	17.4444	1	Europe
14.982	120.859	32	Asia
5.18413	102.237	1	Asia
3.05992	101.451	1618	Asia
48.8469	-99.7007	3	North America
-8.12565	112.578	55	Asia
-29.3251	27.5009	2	Africa
20.8829	-156.455	1	North America
41.9976	-71.5025	33	North America
38.1133	-83.5298	3	North America
38.3104	-3.14436	1	Europe
37.2007	-7.48338	1	Europe
-23.2865	-52.0668	1	South America
62.8239	27.772	3	Europe
34.0019	-117.955	304	North America
17.1281	-96.2945	9	North America
39.3405	-76.4429	80	North America
56.7471	-2.43321	1	Europe
55.1576	-118.782	1	North America
55.3259	11.3906	2	Europe
30.6689	-94.9496	4	North America
51.2997	-0.240793	57	Europe
51.62	19.3657	11	Europe
22.6887	-102.484	3	North America
