Latitude 	 Longitude 	 Weight 	 Continent
-6.80768	107.469	1	Asia
59.425	24.7382	9	Europe
51.5078	31.2821	1	Europe
33.6013	-86.2281	9	North America
36.0094	-78.5383	19	North America
36.1523	-95.9093	112	North America
44.2589	-93.2886	3	North America
40.3161	-78.9183	8	North America
51.1192	71.4566	4	Asia
31.7683	35.2137	1	Asia
38.5831	-80.8954	1	North America
31.0675	-97.6795	43	North America
34.965	-79.9844	4	North America
33.3647	-104.5	10	North America
-23.4057	-51.9683	14	South America
41.9352	-88.7825	15	North America
54.5363	36.2486	11	Europe
57.7377	14.149	5	Europe
41.3565	69.2725	7	Asia
45.5106	9.46064	2	Europe
37.1026	-85.3006	3	North America
33.1785	-90.865	1	North America
59.7367	30.5632	1	Europe
39.8316	-105.13	21	North America
57.8468	14.7952	1	Europe
43.2981	-100.654	10	North America
45.6496	-61.4392	1	North America
64.7711	-147.263	7	North America
44.5316	-70.4569	1	North America
36.3758	-95.8978	4	North America
24.7097	46.6776	22	Asia
11.5426	43.1557	1	Africa
-20.8756	-54.2616	136	South America
55.4359	65.2991	6	Europe
32.3156	-109.434	1	North America
14.1012	74.491	1	Asia
-20.6819	139.498	1	Oceania
45.8849	-123.958	1	North America
18.0831	-67.0433	3	North America
8.66723	76.9114	6	Asia
52.2934	-1.10654	4	Europe
-21.4551	-45.2045	3	South America
-21.1876	-45.4385	9	South America
37.6534	-79.8178	1	North America
51.1635	10.4541	4	Europe
35.4388	-86.0374	1	North America
46.8152	-2.10577	1	Europe
45.8434	-94.3055	1	North America
-6.08007	-37.476	2	South America
39.0582	-95.9253	3	North America
25.8364	-98.3625	2	North America
31.4131	-103.478	2	North America
38.2485	-76.9632	1	North America
55.477	37.3036	2	Europe
49.6733	10.7287	1	Europe
33.013	-82.3887	1	North America
16.7419	-93.1397	8	North America
50.7128	-127.492	1	North America
31.0644	-92.0542	4	North America
53.1366	6.73306	34	Europe
53.2354	6.55215	60	Europe
50.8643	-103.333	2	North America
46.6327	142.784	1	Europe
43.5084	-5.69195	2	Europe
55.872	12.8527	2	Europe
51.6646	-3.41505	7	Europe
41.3274	-105.027	1	North America
52.8785	5.62131	2	Europe
19.5947	-99.014	27	North America
36.1221	-97.0518	12	North America
-6.12491	120.458	1	Asia
51.2823	9.61861	1	Europe
36.0501	-76.6906	1	North America
32.0757	-88.7302	1	North America
37.3332	-83.3127	1	North America
37.7429	-84.2975	13	North America
48.679	9.02332	8	Europe
40.0465	-76.2916	35	North America
-26.219	-49.4078	5	South America
46.2638	4.79476	7	Europe
-33.7558	-61.9678	1	South America
36.8128	-81.5914	1	North America
31.7708	-84.4232	1	North America
51.2599	4.23717	18	Europe
40.5494	-84.3997	2	North America
-18.1772	-41.8296	1	South America
45.0863	-87.6625	2	North America
48.4841	-2.96017	2	Europe
-2.14033	-79.5884	3	South America
-22.9069	-43.8849	4	South America
47.9671	-118.977	1	North America
41.7691	-72.508	61	North America
41.6287	-84.7436	2	North America
45.7038	11.3434	3	Europe
44.1524	-87.5866	5	North America
37.8476	-4.67425	5	Europe
55.8868	-3.60885	5	Europe
33.5863	-79.867	2	North America
37.4527	-79.8483	9	North America
40.6692	-122.353	3	North America
4.90345	-1.76372	10	Africa
38.6342	-76.6077	19	North America
34.3602	-84.8936	1	North America
-27.7689	-48.6676	16	South America
49.1124	37.4099	1	Europe
38.8112	-90.235	171	North America
-6.82678	-36.8196	2	South America
44.9483	43.2818	1	Europe
-6.90976	106.977	4	Asia
33.8618	10.9787	1	Africa
29.5221	-98.5211	357	North America
-2.13531	113.826	1	Asia
44.9858	35.3558	1	Europe
38.7451	-8.77043	1	Europe
42.8347	-88.7377	4	North America
34.0071	-118.761	7	North America
43.21	-96.2896	1	North America
15.2964	120.949	1	Asia
26.4315	-81.4447	1	North America
57.7438	12.1133	3	Europe
2.4802	101.857	4	Asia
36.5899	36.1743	2	Asia
-37.8097	145.164	9	Oceania
42.7357	-73.6795	21	North America
55.7488	12.5229	32	Europe
20.3902	-102.736	2	North America
45.7275	7.37038	2	Europe
39.4733	-82.7392	1	North America
35.4761	-95.53	1	North America
53.5607	-2.32965	39	Europe
35.4042	-77.996	27	North America
44.3308	-94.4755	2	North America
52.7045	13.0637	2	Europe
