Latitude 	 Longitude 	 Weight 	 Continent
-7.03096	106.928	12	Asia
59.425	24.7382	18	Europe
36.1523	-95.9093	26	North America
8.66723	76.9114	2	Asia
43.4824	3.78916	1	Europe
31.7683	35.2137	3	Asia
55.8274	13.2906	3	Europe
-23.4057	-51.9683	60	South America
-8.6855	115.434	1	Asia
54.5363	36.2486	31	Europe
42.7924	-83.5453	1	North America
17.6609	-101.599	3	North America
51.8175	107.618	6	Europe
3.67051	-76.5115	1	South America
49.2679	2.47759	16	Europe
2.48892	102.73	16	Asia
-19.8274	-43.0981	5	South America
32.6051	-86.0306	5	North America
53.5657	49.0177	1	Europe
-27.0915	-50.1026	1	South America
49.4982	0.0956691	1	Europe
-4.58126	-44.6072	2	South America
-31.3141	24.1216	1	Africa
0.898579	-52.0027	1	South America
32.8449	-97.1342	23	North America
41.9648	-86.0844	1	North America
-3.77315	-43.4628	1	South America
49.4073	3.12248	1	Europe
46.1153	7.06481	6	Europe
-20.8756	-54.2616	156	South America
55.4359	65.2991	18	Europe
31.3325	-90.4967	1	North America
28.3308	-82.6692	1	North America
39.3166	-85.3281	1	North America
-11.3228	-64.4743	1	South America
31.8072	-85.9625	1	North America
29.2721	47.9051	52	Asia
43.3521	-2.84569	15	Europe
51.1635	10.4541	4	Europe
4.33218	-74.3786	1	South America
9.30559	-75.3964	5	South America
47.6506	-117.209	1	North America
-19.8596	-44.9979	1	South America
40.5721	-111.849	22	North America
-5.79649	106.495	2	Asia
36.6223	-6.23199	24	Europe
33.4323	-104.506	5	North America
2.53718	102.038	12	Asia
50.6564	17.9305	4	Europe
-6.08007	-37.476	4	South America
-30.2906	-51.9004	1	South America
25.8364	-98.3625	17	North America
36.2587	-85.9327	1	North America
39.1207	-121.05	1	North America
-32.6323	20.9907	1	Africa
-1.5279	110.449	2	Asia
33.7527	-117.684	29	North America
46.3946	6.54024	41	Europe
36.5982	-88.3264	6	North America
16.7419	-93.1397	113	North America
59.438	40.1646	2	Europe
40.6303	27.1736	4	Asia
16.7105	98.555	2	Asia
20.3296	-97.8959	45	North America
50.7035	7.11659	12	Europe
32.9506	-94.9538	1	North America
55.4508	-4.29782	3	Europe
46.6327	142.784	1	Europe
43.5084	-5.69195	9	Europe
35.295	-120.662	6	North America
48.7566	4.01765	1	Europe
9.51801	100.056	2	Asia
27.8197	-82.2691	7	North America
54.357	-6.27025	6	Europe
30.5643	-95.1883	1	North America
20.7924	-103.485	11	North America
18.2013	-66.284	4	North America
-14.0093	33.7344	1	Africa
56.1889	36.9791	5	Europe
46.3579	2.79559	1	Europe
29.5403	-95.81	6	North America
6.66591	80.4666	6	Asia
41.1515	27.8346	5	Asia
43.9502	7.66126	5	Europe
50.1108	18.55	3	Europe
45.0614	-89.5711	2	North America
9.92872	-84.1885	126	North America
-8.8143	13.2281	6	Africa
34.5573	-86.9737	11	North America
53.6237	-6.48228	2	Europe
45.708	10.1749	7	Europe
35.3559	-85.9545	4	North America
37.2745	-107.865	5	North America
-14.4335	-58.126	4	South America
-18.1772	-41.8296	1	South America
44.961	-89.7681	1	North America
43.4902	-74.9392	1	North America
54.0161	-6.15406	3	Europe
55.574	42.0314	8	Europe
52.0573	1.16514	8	Europe
47.2147	5.97718	3	Europe
44.1524	-87.5866	2	North America
37.8476	-4.67425	17	Europe
58.0602	38.811	5	Europe
38.2508	-122.63	2	North America
42.4843	-83.2615	254	North America
37.1533	-92.2563	1	North America
34.726	-116.145	1	North America
-27.7689	-48.6676	12	South America
44.9483	43.2818	1	Europe
