Latitude 	 Longitude 	 Weight 	 Continent
-13.8345	-171.767	1	Oceania
38.1022	-86.2759	6	North America
48.6478	9.43887	1	Europe
36.0094	-78.5383	4	North America
58.6089	125.403	1	Europe
40.9709	-5.65954	4	Europe
34.5338	132.441	2	Asia
46.0199	0.160382	2	Europe
31.7683	35.2137	1	Asia
36.3302	139.434	2	Asia
-23.4057	-51.9683	27	South America
54.5363	36.2486	20	Europe
53.7201	-6.88254	6	Europe
6.55794	3.34172	25	Africa
36.2914	-115.003	10	North America
52.1817	5.39918	66	Europe
3.67051	-76.5115	1	South America
10.4448	-64.1678	1	South America
56.3985	-110.955	1	North America
2.48892	102.73	6	Asia
49.9678	30.1814	1	Europe
32.1772	-111.104	3	North America
46.5937	-120.607	3	North America
40.8507	-80.0417	7	North America
-0.605426	100.74	1	Asia
43.2522	-93.6364	1	North America
36.3758	-95.8978	2	North America
-3.77315	-43.4628	1	South America
57.262	57.0407	1	Europe
7.22401	116.886	2	Asia
-20.8756	-54.2616	69	South America
55.4359	65.2991	11	Europe
27.5043	-80.442	1	North America
48.7479	9.16635	2	Europe
-3.65303	102.586	1	Asia
2.28252	113.628	1	Asia
41.4347	-82.0063	11	North America
-21.4551	-45.2045	1	South America
51.1635	10.4541	2	Europe
45.9276	8.55387	1	Europe
45.0941	-0.63642	1	Europe
-10.3355	-58.5891	1	South America
39.295	-7.44543	2	Europe
36.6223	-6.23199	7	Europe
46.9622	7.44815	2	Europe
45.3364	12.1272	1	Europe
43.1792	-76.0539	4	North America
46.416	142.442	1	Europe
5.05863	-75.4853	5	South America
34.8291	-86.51	10	North America
-32.6323	20.9907	1	Africa
36.8026	28.2253	2	Asia
40.2753	-86.492	1	North America
41.6625	-91.5356	8	North America
45.9131	11.0809	1	Europe
53.2354	6.55215	39	Europe
55.0796	38.7603	4	Europe
55.6087	37.6763	46	Europe
59.2472	15.0561	2	Europe
36.6569	128.457	1	Asia
-24.5608	25.9879	2	Africa
41.9896	2.83426	1	Europe
43.5084	-5.69195	5	Europe
47.3457	-122.657	2	North America
46.3704	17.8163	1	Europe
51.6646	-3.41505	14	Europe
-16.9774	-53.5162	1	South America
40.5851	-79.9531	5	North America
20.7924	-103.485	11	North America
53.4752	-113.762	1	North America
-19.8174	-43.9477	64	South America
56.1889	36.9791	3	Europe
46.3579	2.79559	1	Europe
29.5403	-95.81	3	North America
33.5889	-101.868	7	North America
27.4627	-81.4314	1	North America
43.9502	7.66126	2	Europe
35.5561	-78.6455	15	North America
-33.8745	151.223	53	Oceania
41.4852	-73.0523	24	North America
35.2183	-79.7265	2	North America
48.679	9.02332	12	Europe
44.0867	-84.0876	3	North America
47.5266	-68.5495	1	North America
42.9336	142.053	1	Asia
-0.291066	36.0576	3	Africa
-26.219	-49.4078	4	South America
18.2565	-93.2226	5	North America
44.1699	-88.2819	1	North America
44.1796	-94.0342	2	North America
42.658	20.2843	1	Europe
50.8963	5.16828	2	Europe
35.3343	-81.8737	4	North America
57.2547	60.1177	1	Europe
49.2258	-124.201	1	North America
48.7456	-3.46941	2	Europe
5.78908	-55.1859	2	South America
52.0573	1.16514	3	Europe
-2.64811	-56.1933	1	South America
-6.93765	109.099	1	Asia
37.8476	-4.67425	2	Europe
-27.7664	30.0344	1	Africa
57.5215	-2.6365	1	Europe
40.7764	-111.921	48	North America
-27.7689	-48.6676	12	South America
-6.46003	107.439	5	Asia
49.2696	-122.756	61	North America
33.8618	10.9787	1	Africa
12.6266	104.992	1	Asia
-2.13531	113.826	1	Asia
38.7451	-8.77043	1	Europe
34.0071	-118.761	2	North America
10.2208	-68.0091	10	South America
15.2964	120.949	2	Asia
53.2322	-6.11612	6	Europe
33.0607	-96.7365	15	North America
33.7743	-84.3966	100	North America
18.5021	73.8159	42	Asia
50.9082	-0.715389	7	Europe
35.9134	-79.0578	12	North America
35.4402	-95.9697	1	North America
43.9199	-0.9206	1	Europe
42.6926	-71.3085	12	North America
47.9854	-99.0024	2	North America
34.8786	-114.663	1	North America
36.0244	-108.627	1	North America
52.8532	6.55565	19	Europe
33.7782	-83.8639	4	North America
-37.9981	145.155	8	Oceania
26.903	75.8351	1	Asia
34.7307	-98.3428	3	North America
43.5534	141.902	1	Asia
53.5975	-113.379	4	North America
9.64926	6.52495	2	Africa
-22.5918	-47.3616	23	South America
-23.1117	-47.1947	40	South America
37.9566	-4.79305	1	Europe
3.77387	102.548	3	Asia
35.1634	-115.9	10	North America
51.3181	12.3286	9	Europe
45.7578	4.8351	113	Europe
41.2927	12.5735	28	Europe
-24.1434	-47.2845	1	South America
31.6151	-94.6427	1	North America
37.6529	-120.991	22	North America
57.6712	-2.49297	1	Europe
-1.15746	-50.5734	4	South America
54.9	37.4159	1	Europe
29.8185	-95.3701	144	North America
49.1737	0.658647	3	Europe
42.7118	-80.0441	1	North America
32.5355	35.8517	1	Asia
40.8546	-81.3444	2	North America
3.68248	100.981	3	Asia
-33.0242	-71.6408	34	South America
33.5888	130.399	7	Asia
45.6022	-122.497	26	North America
30.3528	76.3736	1	Asia
-21.8705	-43.3047	4	South America
35.0559	-85.3097	3	North America
-22.0668	-42.9237	34	South America
-5.47237	-35.8787	3	South America
39.1091	-77.5549	1	North America
48.9796	2.61159	89	Europe
37.4885	127.049	26	Asia
51.7407	-0.970062	2	Europe
61.2617	75.1928	1	Europe
19.6416	-99.3912	1	North America
-16.666	-49.2685	115	South America
56.5904	59.9662	17	Europe
30.0821	-90.4191	4	North America
42.6237	77.0362	1	Asia
33.9165	-84.5496	14	North America
-23.5339	-47.0999	22	South America
32.2187	-101.498	3	North America
40.6062	-112.023	30	North America
43.7058	-79.3944	132	North America
41.0438	-85.1735	6	North America
40.1975	29.0126	7	Asia
17.1281	-96.2945	1	North America
38.1944	-84.2714	1	North America
