Latitude 	 Longitude 	 Weight 	 Continent
59.425	24.7382	7	Europe
51.5078	31.2821	1	Europe
36.1523	-95.9093	150	North America
44.2589	-93.2886	4	North America
40.3161	-78.9183	11	North America
-23.491	-49.0234	1	South America
31.7683	35.2137	1	Asia
38.5831	-80.8954	1	North America
31.0675	-97.6795	60	North America
34.965	-79.9844	5	North America
-23.4057	-51.9683	22	South America
41.9352	-88.7825	29	North America
54.5363	36.2486	26	Europe
57.7377	14.149	5	Europe
41.3565	69.2725	12	Asia
31.8987	-90.7105	1	North America
45.5106	9.46064	7	Europe
3.67051	-76.5115	1	South America
-7.05929	110.417	155	Asia
37.1026	-85.3006	7	North America
33.1785	-90.865	1	North America
12.588	-16.2756	1	Africa
59.7367	30.5632	1	Europe
32.8638	-83.7905	26	North America
39.8316	-105.13	33	North America
2.27628	111.855	12	Asia
34.0745	-84.2816	56	North America
57.8468	14.7952	1	Europe
43.2981	-100.654	12	North America
45.6496	-61.4392	1	North America
64.7711	-147.263	7	North America
7.00103	81.0531	2	Asia
44.5316	-70.4569	1	North America
36.3758	-95.8978	4	North America
24.7097	46.6776	27	Asia
11.5426	43.1557	1	Africa
-20.8756	-54.2616	109	South America
55.4359	65.2991	8	Europe
32.3156	-109.434	1	North America
14.1012	74.491	1	Asia
34.9091	-82.2144	32	North America
-20.6819	139.498	1	Oceania
30.6938	-91.4319	3	North America
45.8849	-123.958	1	North America
18.0831	-67.0433	7	North America
31.1268	-83.4183	56	North America
-21.4551	-45.2045	5	South America
37.6534	-79.8178	1	North America
51.1635	10.4541	6	Europe
49.8092	-97.134	25	North America
-14.3272	35.1419	2	Africa
35.4388	-86.0374	2	North America
46.8152	-2.10577	1	Europe
43.0078	-78.9003	107	North America
45.8434	-94.3055	1	North America
-6.08007	-37.476	7	South America
39.0582	-95.9253	3	North America
25.8364	-98.3625	2	North America
31.4131	-103.478	2	North America
32.5547	-88.6089	1	North America
47.2961	-96.5106	1	North America
38.2485	-76.9632	1	North America
48.3015	-0.609515	1	Europe
52.2313	5.97346	68	Europe
33.013	-82.3887	3	North America
50.7128	-127.492	1	North America
31.0644	-92.0542	5	North America
53.1366	6.73306	44	Europe
53.2354	6.55215	77	Europe
50.7035	7.11659	6	Europe
23.5971	72.3796	1	Asia
50.8643	-103.333	2	North America
46.6327	142.784	2	Europe
43.5084	-5.69195	4	Europe
55.872	12.8527	2	Europe
51.6646	-3.41505	8	Europe
40.7688	-73.0185	48	North America
34.5509	-90.6481	4	North America
52.8785	5.62131	2	Europe
19.5947	-99.014	34	North America
56.1889	36.9791	1	Europe
-6.12491	120.458	1	Asia
41.5228	-112.02	1	North America
32.633	-93.2848	6	North America
51.2823	9.61861	1	Europe
43.9502	7.66126	1	Europe
48.0317	-0.71191	27	Europe
32.0757	-88.7302	1	North America
50.1108	18.55	1	Europe
