Latitude 	 Longitude 	 Weight 	 Continent
35.6506	-88.3938	1	North America
2.94682	102.075	1	Asia
59.425	24.7382	2	Europe
52.3519	6.85913	19	Europe
36.1523	-95.9093	31	North America
33.4826	-112.479	1	North America
29.6597	-95.1178	71	North America
8.66723	76.9114	3	Asia
35.9747	-115.164	80	North America
31.7683	35.2137	1	Asia
38.5831	-80.8954	1	North America
41.26	-100.742	1	North America
-23.4057	-51.9683	15	South America
38.7223	-75.2847	13	North America
54.5363	36.2486	7	Europe
33.9493	-80.0554	11	North America
31.1261	-87.0571	1	North America
-7.05929	110.417	130	Asia
47.3628	1.73578	1	Europe
42.2737	-84.3928	24	North America
2.27628	111.855	5	Asia
34.0745	-84.2816	26	North America
36.283	-76.2144	9	North America
0.291272	32.6166	79	Africa
-7.17945	107.921	11	Asia
8.23333	81.25	1	Asia
-20.8756	-54.2616	24	South America
30.6689	-94.9496	3	North America
37.5812	-75.7947	5	North America
-33.7848	150.671	2	Oceania
-20.6819	139.498	1	Oceania
46.3812	6.23943	3	Europe
31.2703	34.7648	2	Asia
18.0831	-67.0433	2	North America
29.2721	47.9051	24	Asia
51.1635	10.4541	3	Europe
54.3889	20.6331	1	Europe
40.1283	-75.3706	28	North America
45.8434	-94.3055	1	North America
50.0501	8.08072	1	Europe
30.6183	-84.7879	1	North America
34.2928	-81.1635	3	North America
-6.08007	-37.476	4	South America
-18.1089	178.394	6	Oceania
39.4249	-93.1214	1	North America
46.4247	6.92461	3	Europe
31.4131	-103.478	2	North America
32.5547	-88.6089	2	North America
-32.6323	20.9907	1	Africa
39.2566	-81.5416	89	North America
16.7419	-93.1397	8	North America
50.7128	-127.492	1	North America
46.9748	-65.618	1	North America
53.2774	6.08485	5	Europe
1.27451	101.198	1	Asia
39.9124	-83.1167	15	North America
50.7035	7.11659	1	Europe
55.4508	-4.29782	1	Europe
54.3276	10.0986	2	Europe
40.5084	-74.86	1	North America
35.9913	-108.656	4	North America
36.1805	-115.318	136	North America
40.7688	-73.0185	21	North America
43.4379	5.25819	12	Europe
34.5509	-90.6481	2	North America
10.5111	-61.389	2	North America
52.8797	-9.40859	1	Europe
59.7253	17.7871	1	Europe
50.5892	4.32552	2	Europe
-6.12491	120.458	1	Asia
35.5561	-78.6455	13	North America
6.2664	100.427	1	Asia
35.0815	-98.0884	1	North America
50.5197	-3.58292	2	Europe
-33.7558	-61.9678	1	South America
8.00122	99.6395	2	Asia
32.2547	-95.0808	1	North America
51.2599	4.23717	17	Europe
48.4694	4.96318	1	Europe
4.97794	114.969	11	Asia
34.2826	-84.7877	1	North America
42.8462	27.0995	1	Europe
4.29556	117.884	4	Asia
40.9028	-81.1102	3	North America
39.2762	-80.3292	1	North America
44.1524	-87.5866	4	North America
37.8476	-4.67425	5	Europe
39.1012	-87.4198	1	North America
-22.6068	17.0718	43	Africa
35.5413	-77.4278	18	North America
-27.7689	-48.6676	3	South America
26.1471	-80.3336	90	North America
52.4943	30.9546	3	Europe
44.7154	-77.6057	1	North America
-5.40228	119.39	2	Asia
51.1812	3.95038	1	Europe
33.0607	-96.7365	38	North America
33.388	-84.569	8	North America
40.8749	17.1768	1	Europe
19.3784	-70.4151	1	North America
53.2085	-2.93163	2	Europe
10.1631	-64.6924	6	South America
51.5702	6.77616	1	Europe
27.9018	-82.295	5	North America
15.9869	-61.7099	2	North America
36.0355	-97.347	2	North America
40.0492	-84.2288	1	North America
51.576	4.64267	22	Europe
-22.5918	-47.3616	2	South America
5.83357	116.039	8	Asia
48.9221	6.04701	2	Europe
-23.1117	-47.1947	11	South America
34.6654	-99.3035	1	North America
27.5491	-81.5108	4	North America
30.3157	-81.3852	16	North America
42.3246	-85.2425	16	North America
1.19182	124.892	7	Asia
35.1634	-115.9	7	North America
45.7578	4.8351	106	Europe
11.4008	99.594	1	Asia
43.6134	39.7181	2	Europe
17.682	102.49	1	Asia
42.0584	-1.68154	1	Europe
14.5628	121.214	17	Asia
-26.1875	27.6615	4	Africa
45.5353	10.2238	2	Europe
43.1038	-77.8812	2	North America
42.9281	-88.7815	2	North America
36.1311	-120.367	1	North America
51.6487	3.93155	1	Europe
48.2894	-1.02964	1	Europe
41.0046	-92.3959	1	North America
11.1472	124.887	1	Asia
-35.4146	-71.6521	1	South America
44.8287	-92.9218	9	North America
48.9376	-125.529	1	North America
45.0311	5.1176	2	Europe
37.8579	23.7545	4	Europe
-22.0668	-42.9237	30	South America
5.77241	6.07593	1	Africa
39.3675	2.75799	2	Europe
45.5822	5.90643	4	Europe
33.6226	-82.4792	1	North America
46.14	-100.674	12	North America
56.5904	59.9662	18	Europe
33.8966	-89.0006	1	North America
-23.5339	-47.0999	2	South America
-23.5977	148.651	1	Oceania
32.4204	-80.7277	10	North America
36.5816	-87.3044	13	North America
41.8595	-80.806	22	North America
38.1133	-83.5298	1	North America
38.6539	-75.6014	10	North America
-23.2865	-52.0668	1	South America
37.7612	-87.1243	3	North America
-22.3871	-43.1873	10	South America
41.1869	1.25476	3	Europe
43.4579	1.38	3	Europe
43.1431	6.23781	2	Europe
55.1576	-118.782	1	North America
-32.8221	-70.689	1	South America
11.6706	-70.1835	4	South America
