Tweet Id 	 Latitude 	 Longitude 	 Continent
35	40.9307	-74.1439	North America	
55	1.42734	103.765	Asia	
60	51.5207	-0.142822	Europe	
68	40.9308	-74.1438	North America	
153	39.9773	-75.2366	North America	
168	-6.18868	106.886	Asia	
175	51.5207	-0.142822	Europe	
199	40.9167	-73.9522	North America	
246	51.5207	-0.142822	Europe	
258	51.5207	-0.142822	Europe	
269	49.1994	-122.913	North America	
270	-22.9847	-43.2256	South America	
279	52.3871	13.1165	Europe	
337	-6.24007	-36.4424	South America	
342	51.5207	-0.142822	Europe	
344	49.1994	-122.913	North America	
361	52.3871	13.1165	Europe	
385	32.1509	-110.997	North America	
399	39.4207	26.8072	Asia	
403	51.5207	-0.142822	Europe	
408	49.1994	-122.913	North America	
417	40.6974	-73.9797	North America	
418	40.6974	-73.9797	North America	
421	-24.4945	-53.3	South America	
429	41.1925	1.5966	Europe	
445	51.5207	-0.142822	Europe	
462	49.1994	-122.913	North America	
464	49.1994	-122.913	North America	
471	49.1994	-122.913	North America	
480	51.5207	-0.142822	Europe	
483	-30.0997	-51.1593	South America	
502	52.3834	13.1196	Europe	
543	49.1994	-122.913	North America	
548	49.1994	-122.913	North America	
550	47.6728	-117.412	North America	
561	34.2174	-79.2582	North America	
594	43.6707	7.15032	Europe	
598	19.3147	-99.0914	North America	
615	51.5207	-0.142822	Europe	
619	39.4207	26.8072	Asia	
637	-37.4735	-72.3708	South America	
638	41.6943	-87.7228	North America	
660	40.289	-3.79186	Europe	
665	-23.6828	-46.5955	South America	
679	38.9637	35.2433	Asia	
716	51.5207	-0.142822	Europe	
722	14.6943	120.965	Asia	
731	-23.6828	-46.5955	South America	
741	31.1689	-100.077	North America	
748	19.3184	-98.2454	North America	
752	52.3834	13.1196	Europe	
775	13.7048	-89.2449	North America	
783	-12.8753	-38.5026	South America	
801	51.5207	-0.142822	Europe	
803	52.3871	13.1165	Europe	
819	52.3871	13.1165	Europe	
857	-7.44387	109.709	Asia	
858	39.4207	26.8072	Asia	
867	-29.5646	-50.8009	South America	
891	-14.5043	-56.8506	South America	
908	-29.5646	-50.8009	South America	
946	-22.916	-43.4474	South America	
952	52.3871	13.1165	Europe	
953	44.9008	-89.5695	North America	
962	51.5207	-0.142822	Europe	
963	37.7632	-81.8256	North America	
991	-2.57242	-59.9803	South America	
1005	51.5207	-0.142822	Europe	
1027	52.3834	13.1196	Europe	
1040	39.4207	26.8072	Asia	
1046	-23.417	-54.5603	South America	
1048	51.5207	-0.142822	Europe	
1057	51.5207	-0.142822	Europe	
1073	49.1994	-122.913	North America	
1087	51.2736	0.517968	Europe	
1094	-10.4832	-37.0385	South America	
1097	53.3494	-6.27869	Europe	
1120	51.5207	-0.142822	Europe	
1161	51.5207	-0.142822	Europe	
1163	34.0922	-118.308	North America	
1212	49.1994	-122.913	North America	
1250	51.5207	-0.142822	Europe	
1261	49.2707	-122.754	North America	
1278	39.4207	26.8072	Asia	
1287	-6.38048	106.832	Asia	
1292	1.43785	103.791	Asia	
1320	-40.5729	-73.1335	South America	
1327	51.8714	0.862885	Europe	
1329	-22.8952	-47.0303	South America	
1336	50.652	-4.03372	Europe	
1355	1.43785	103.791	Asia	
1378	34.1006	-118.305	North America	
1393	49.1994	-122.913	North America	
1451	51.5207	-0.142822	Europe	
1454	51.5207	-0.142822	Europe	
1464	34.7955	-85.003	North America	
1465	49.1994	-122.913	North America	
1512	49.1994	-122.913	North America	
1514	49.1994	-122.913	North America	
1521	40.3111	-79.8877	North America	
1525	-8.0436	-34.9394	South America	
1545	51.5207	-0.142822	Europe	
1550	52.3871	13.1165	Europe	
1551	49.1994	-122.913	North America	
1553	49.1994	-122.913	North America	
1580	52.3834	13.1196	Europe	
1641	50.7261	-3.53657	Europe	
1650	-8.0436	-34.9394	South America	
1657	51.5207	-0.142822	Europe	
1677	-23.621	-46.7853	South America	
1726	51.5207	-0.142822	Europe	
1758	39.4207	26.8072	Asia	
1778	29.2103	-81.0967	North America	
1821	52.3834	13.1196	Europe	
1841	49.1994	-122.913	North America	
1845	49.1994	-122.913	North America	
1855	-23.621	-45.4901	South America	
1870	45.4613	9.15934	Europe	
1892	41.8984	12.5451	Europe	
1900	49.1994	-122.913	North America	
1902	49.1994	-122.913	North America	
1912	52.3871	13.1165	Europe	
1913	52.3834	13.1196	Europe	
1925	51.5207	-0.142822	Europe	
1971	53.9542	27.7197	Europe	
2010	39.4207	26.8072	Asia	
2035	39.4207	26.8072	Asia	
2083	-16.6428	-49.2612	South America	
2126	-15.7763	-47.7966	South America	
2141	-23.2473	-45.8929	South America	
2147	-23.2466	-45.8885	South America	
2148	52.3834	13.1196	Europe	
2160	-3.00599	120.199	Asia	
2173	49.1994	-122.913	North America	
2178	39.4207	26.8072	Asia	
