Tweet Id 	 Latitude 	 Longitude
696	51.5207	-0.142822	
1310	49.1994	-122.913	
1389	49.1994	-122.913	
1714	39.4207	26.8072	
1790	52.3871	13.1165	
2497	20.941	-89.6236	
2644	49.1994	-122.913	
2742	49.1994	-122.913	
2929	6.67175	-1.57215	
3253	6.67126	-1.57174	
3374	51.5207	-0.142822	
3457	51.5207	-0.142822	
3744	51.5207	-0.142822	
4030	39.4207	26.8072	
4605	32.6782	-83.1783	
5025	51.5207	-0.142822	
5238	51.5207	-0.142822	
5401	-15.7763	-47.7966	
6004	49.1994	-122.913	
6605	35.1589	-78.9725	
6958	51.5207	-0.142822	
6963	51.5207	-0.142822	
7256	51.2558	-0.5795	
7257	51.5207	-0.142822	
7391	40.886	-74.0466	
7888	51.5207	-0.142822	
8386	-29.112	26.2144	
9307	48.6772	2.50266	
9430	40.5111	-79.9632	
9475	51.5207	-0.142822	
9551	35.0861	-80.6972	
9731	49.1994	-122.913	
10327	52.3871	13.1165	
10424	-26.2966	28.2467	
10488	51.5207	-0.142822	
12103	51.5207	-0.142822	
12157	49.1994	-122.913	
12275	49.1994	-122.913	
12436	51.5207	-0.142822	
13034	49.1994	-122.913	
13036	49.1994	-122.913	
13081	34.1827	-119.225	
13082	52.3871	13.1165	
13092	49.1994	-122.913	
13202	51.5207	-0.142822	
13251	51.5207	-0.142822	
13763	51.5207	-0.142822	
13783	51.5207	-0.142822	
14825	51.5207	-0.142822	
15345	51.5207	-0.142822	
15417	3.14845	101.705	
15508	51.5207	-0.142822	
16514	51.5207	-0.142822	
16546	51.5207	-0.142822	
16912	51.5207	-0.142822	
17589	60.1422	16.1667	
18194	43.0579	-87.9671	
18664	51.5207	-0.142822	
18955	49.1994	-122.913	
18986	51.5207	-0.142822	
18993	48.957	2.54143	
18997	49.1994	-122.913	
19203	51.5207	-0.142822	
19412	51.7688	4.75251	
19533	51.5207	-0.142822	
19627	51.5207	-0.142822	
20296	41.5647	-73.0253	
20513	51.5207	-0.142822	
20956	51.5207	-0.142822	
21399	38.5305	-8.86894	
21423	51.5207	-0.142822	
21446	38.8093	-90.2892	
21608	40.0617	-82.9696	
21679	40.0616	-82.9696	
21702	40.0619	-82.9696	
21977	49.1994	-122.913	
22065	49.1994	-122.913	
23016	-33.4548	-70.6609	
23569	48.8843	2.41459	
24386	18.8567	-97.1128	
24550	51.5207	-0.142822	
25273	19.4325	-99.1534	
25355	52.0793	4.67019	
26047	42.4426	-83.2742	
26149	19.4783	-99.1395	
26743	51.5207	-0.142822	
28808	37.3222	-121.92	
29664	43.2519	-2.93316	
29828	4.08132	9.67805	
29884	4.0848	9.67367	
30370	-29.0686	-51.0353	
30372	55.8554	-4.23242	
30380	-29.0686	-51.0353	
30447	55.8554	-4.23242	
30614	51.5207	-0.142822	
30948	4.08478	9.67389	
31034	4.08128	9.67743	
31700	59.3578	18.003	
32126	51.5207	-0.142822	
32533	0.247298	-51.0637	
32572	41.8312	-71.4783	
32668	34.0583	-118.193	
33079	4.08505	9.67369	
33387	51.5207	-0.142822	
33980	53.4424	-2.23348	
34087	51.5207	-0.142822	
34584	51.5207	-0.142822	
35685	51.5207	-0.142822	
35713	39.0555	-94.5539	
36625	53.3187	6.84583	
36842	39.4207	26.8072	
37007	48.8542	2.77487	
37190	51.5207	-0.142822	
37997	55.7889	37.3881	
38413	18.0369	-66.5178	
38466	18.0475	-66.4959	
38867	33.4722	-112.038	
38924	51.5207	-0.142822	
39203	48.6297	2.44188	
39213	36.082	-79.7735	
39713	51.5207	-0.142822	
39898	52.3871	13.1165	
40561	48.7239	2.35756	
41293	37.1658	-4.14489	
41524	55.8554	-4.23242	
41748	3.23187	101.386	
41901	0	0	
42663	51.5207	-0.142822	
43110	3.14845	101.705	
43771	51.5207	-0.142822	
44432	32.4532	-85.0233	
44477	49.7348	-123.138	
44511	-20.8756	-54.2616	
45423	-6.23367	106.793	
45487	48.8588	2.34701	
45497	48.9354	2.32298	
45680	51.5207	-0.142822	
