Tweet Id 	 Latitude 	 Longitude 	 Continent
53	1.34741	103.719	Asia	
61	-23.8633	-46.2901	South America	
75	3.41639	-76.5456	South America	
88	-6.93177	107.569	Asia	
101	32.8207	-83.6616	North America	
106	-23.6566	-49.7803	South America	
107	-7.9391	112.638	Asia	
109	3.14845	101.705	Asia	
113	29.4255	-98.5839	North America	
114	52.3834	13.1196	Europe	
116	-8.42832	115.307	Asia	
155	-7.97656	112.628	Asia	
162	30.7109	-95.5427	North America	
163	-23.7108	-46.4227	South America	
169	-6.20553	106.778	Asia	
172	42.1619	-72.5683	North America	
173	-12.8753	-38.5026	South America	
187	-2.57242	-59.9803	South America	
197	-3.74821	-38.5596	South America	
213	3.32952	99.1663	Asia	
230	-23.6828	-46.5955	South America	
243	-23.4765	-46.649	South America	
272	-28.71	-55.8067	South America	
307	51.5207	-0.142822	Europe	
308	-23.6828	-46.5955	South America	
316	21.0487	-87.0318	North America	
360	29.481	-98.4934	North America	
362	34.0209	-118.211	North America	
386	52.3871	13.1165	Europe	
391	33.7488	-84.4014	North America	
407	48.8588	2.34701	Europe	
425	50.652	-4.03372	Europe	
450	-36.7374	-71.0353	South America	
473	19.3224	-99.1304	North America	
482	-22.916	-43.4473	South America	
517	9.91448	-84.038	North America	
535	51.5207	-0.142822	Europe	
554	-1.27293	-48.4598	South America	
557	52.3834	13.1196	Europe	
565	-6.44631	107.46	Asia	
578	-20.5055	-43.853	South America	
580	-20.5055	-43.853	South America	
581	-20.5055	-43.853	South America	
590	52.3834	13.1196	Europe	
593	-20.5055	-43.853	South America	
606	14.6139	120.993	Asia	
609	32.6782	-83.1783	North America	
613	52.3871	13.1165	Europe	
621	52.3834	13.1196	Europe	
674	-23.6828	-46.5955	South America	
694	-6.44631	107.46	Asia	
719	52.3834	13.1196	Europe	
740	28.693	-100.526	North America	
764	2.04811	103.382	Asia	
769	-6.17056	106.82	Asia	
785	53.5272	-2.57256	Europe	
810	16.7255	-92.638	North America	
833	-36.7374	-71.0353	South America	
842	-23.0614	-45.9175	South America	
843	16.7255	-92.638	North America	
852	34.0934	-118.286	North America	
853	13.0015	77.5954	Asia	
860	-7.27439	112.58	Asia	
876	6.11277	100.374	Asia	
889	42.3193	-96.0976	North America	
910	41.3941	2.1393	Europe	
912	3.03296	101.654	Asia	
919	51.5207	-0.142822	Europe	
933	51.5207	-0.142822	Europe	
979	55.7559	37.5483	Europe	
981	0.167871	117.465	Asia	
994	52.3834	13.1196	Europe	
1009	-22.916	-43.4474	South America	
1029	41.8984	12.5451	Europe	
1071	-25.4951	-49.2884	South America	
1095	3.11392	101.745	Asia	
1109	45.6628	9.72953	Europe	
1111	-7.78463	110.401	Asia	
1130	-24.2832	-47.0136	South America	
1157	3.58111	98.6676	Asia	
1159	59.9341	30.3287	Europe	
1160	52.3871	13.1165	Europe	
1187	33.9411	-84.2022	North America	
1188	-23.5479	-46.8454	South America	
1190	-6.13386	106.78	Asia	
1191	-25.4953	-49.2884	South America	
1193	19.4325	-99.1534	North America	
1197	40.8456	17.2978	Europe	
1208	-19.9187	-43.9598	South America	
1213	-36.0658	146.946	Oceania	
1217	38.9637	35.2433	Asia	
1230	36.7977	-98.6671	North America	
1231	-6.74538	-38.2186	South America	
1232	-6.6801	108.533	Asia	
1240	52.3834	13.1196	Europe	
1248	0	0	NULL	
1249	-7.2771	112.717	Asia	
1265	39.6186	-75.6795	North America	
1280	1.50099	103.739	Asia	
1282	43.7675	11.2374	Europe	
1283	26.2701	-80.25	North America	
1290	42.1556	-88.4542	North America	
1295	3.58111	98.6676	Asia	
1307	38.9637	35.2433	Asia	
1309	-22.916	-43.4473	South America	
1322	-22.5778	-50.4376	South America	
1326	19.0322	-98.1543	North America	
1330	-8.02511	110.374	Asia	
1352	38.9637	35.2433	Asia	
1359	51.5207	-0.142822	Europe	
1364	40.4778	-3.70352	Europe	
1372	-22.916	-43.4474	South America	
1380	51.5207	-0.142822	Europe	
1407	40.4778	-3.70352	Europe	
1415	52.3871	13.1165	Europe	
1422	34.9939	-81.2417	North America	
1432	3.03296	101.654	Asia	
1439	3.03296	101.654	Asia	
1455	41.8984	12.5451	Europe	
1499	39.57	-76.9877	North America	
1519	19.1644	-98.4097	North America	
1520	51.5207	-0.142822	Europe	
1528	-7.27568	-35.9777	South America	
1530	-7.2771	112.717	Asia	
1538	20.4932	-89.7131	North America	
1544	41.3941	2.1393	Europe	
1554	-22.8952	-47.0303	South America	
1565	19.4325	-99.1534	North America	
1568	50.652	-4.03372	Europe	
1572	51.5207	-0.142822	Europe	
1603	-6.49175	106.788	Asia	
1608	43.7269	7.23118	Europe	
1615	-7.97656	112.628	Asia	
1617	41.4087	-8.50005	Europe	
1621	-6.16236	106.934	Asia	
1622	35.2035	-80.836	North America	
1642	59.9358	30.3252	Europe	
1649	40.6975	-73.9797	North America	
1654	3.14845	101.705	Asia	
1672	-21.8793	-47.9053	South America	
1683	-6.36333	-38.8318	South America	
1700	53.7172	27.9867	Europe	
1708	29.476	-95.0998	North America	
1730	37.2692	-119.307	North America	
1735	50.5839	17.8031	Europe	
1744	53.7172	27.9867	Europe	
1746	8.43101	-82.4189	North America	
1767	51.5207	-0.142822	Europe	
1780	50.652	-4.03372	Europe	
1786	33.8725	-118.028	North America	
1798	41.8335	-87.7319	North America	
1807	1.39106	103.859	Asia	
1811	-7.97656	112.628	Asia	
1814	51.5207	-0.142822	Europe	
1822	30.9373	-91.4009	North America	
1835	21.0487	-87.0318	North America	
1852	52.3834	13.1196	Europe	
1853	34.0914	-118.29	North America	
1856	48.8962	1.86994	Europe	
