Tweet Id 	 Latitude 	 Longitude 	 Continent
293	52.3834	13.1196	Europe	
387	52.3834	13.1196	Europe	
486	52.3834	13.1196	Europe	
566	52.3871	13.1165	Europe	
568	52.3871	13.1165	Europe	
683	-6.22135	106.835	Asia	
844	51.5207	-0.142822	Europe	
958	51.5207	-0.142822	Europe	
972	52.3834	13.1196	Europe	
976	52.3838	4.64301	Europe	
1242	52.3834	13.1196	Europe	
1276	34.9091	-82.2144	North America	
1813	52.3871	13.1165	Europe	
1876	52.3871	13.1165	Europe	
1883	42.292	-71.782	North America	
1950	51.5207	-0.142822	Europe	
1990	51.5207	-0.142822	Europe	
2013	52.3834	13.1196	Europe	
2050	-4.06767	-40.9618	South America	
2311	-5.79931	-35.2216	South America	
2370	-5.79931	-35.2216	South America	
2377	52.7027	4.79117	Europe	
2402	47.0232	-103.857	North America	
2538	3.14845	101.705	Asia	
2567	41.4348	-88.2292	North America	
2633	-23.4057	-51.9683	South America	
2695	48.8588	2.34693	Europe	
2745	38.7261	-9.21653	Europe	
2800	-5.79931	-35.2216	South America	
3014	2.04811	103.382	Asia	
3092	52.3871	13.1165	Europe	
3122	52.3834	13.1196	Europe	
3197	13.0061	77.5625	Asia	
3257	52.3834	13.1196	Europe	
3511	-6.18065	106.844	Asia	
3659	51.5207	-0.142822	Europe	
3796	59.3336	17.98	Europe	
3827	41.8005	-88.1675	North America	
3917	52.3834	13.1196	Europe	
4080	25.559	-97.5474	North America	
4350	52.3871	13.1165	Europe	
4631	42.4547	-83.0285	North America	
4690	51.5207	-0.142822	Europe	
4769	53.8233	-1.4252	Europe	
4896	-36.7374	-71.0353	South America	
4905	21.0981	-101.601	North America	
5239	59.9341	30.3287	Europe	
5319	51.5207	-0.142822	Europe	
5404	51.5207	-0.142822	Europe	
5483	52.3834	13.1196	Europe	
5493	42.4406	-79.3316	North America	
5611	-6.16896	106.827	Asia	
5831	36.4205	-121.315	North America	
5835	59.3942	18.6174	Europe	
5879	51.3819	-0.282529	Europe	
5933	52.3834	13.1196	Europe	
6051	51.5207	-0.142822	Europe	
6308	51.5207	-0.142822	Europe	
6311	52.3871	13.1165	Europe	
6341	51.5207	-0.142822	Europe	
6830	19.38	-70.512	North America	
6872	51.5207	-0.142822	Europe	
7017	41.8984	12.5451	Europe	
7029	52.3834	13.1196	Europe	
7174	-36.7361	-72.9943	South America	
7258	43.3395	16.8142	Europe	
7378	-7.14941	-34.882	South America	
7542	49.1994	-122.913	North America	
7691	51.5207	-0.142822	Europe	
7769	45.6463	9.14248	Europe	
8038	34.6061	-98.4352	North America	
8289	59.9328	30.372	Europe	
8321	52.3834	13.1196	Europe	
8423	58.0225	56.1443	Europe	
8712	53.8233	-1.42526	Europe	
8789	51.5207	-0.142822	Europe	
8843	48.383	31.1814	Europe	
8876	2.04811	103.382	Asia	
8924	51.5207	-0.142822	Europe	
9107	-23.6828	-46.5955	South America	
9188	51.5207	-0.142822	Europe	
9205	52.3871	13.1165	Europe	
9224	41.6804	-72.788	North America	
9225	52.3834	13.1196	Europe	
9294	-7.66334	110.275	Asia	
9321	52.3834	13.1196	Europe	
9393	35.6238	-97.4784	North America	
9524	51.5207	-0.142822	Europe	
9580	51.5207	-0.142822	Europe	
9637	35.7458	139.622	Asia	
