Tweet Id 	 Latitude 	 Longitude 	 Continent
150	-7.91039	112.643	Asia	
186	41.8578	-71.4565	North America	
336	45.6869	-122.655	North America	
339	-23.6828	-46.5955	South America	
433	34.0209	-118.211	North America	
440	34.0922	-117.589	North America	
617	-6.90558	107.626	Asia	
817	43.1156	-93.1405	North America	
915	52.3871	13.1165	Europe	
944	-27.6534	-51.0923	South America	
1032	-23.8633	-46.2901	South America	
1056	51.8411	4.97677	Europe	
1284	-11.9749	-76.7643	South America	
1291	39.1613	-77.1989	North America	
2632	-26.4195	-51.8397	South America	
2653	48.0091	0.30558	Europe	
2717	35.4168	136.327	Asia	
2781	35.4168	136.327	Asia	
2829	52.3871	13.1165	Europe	
3178	52.3871	13.1165	Europe	
3617	48.6772	2.50266	Europe	
3714	52.3871	13.1165	Europe	
4597	43.101	131.926	Europe	
4744	19.4416	-99.1942	North America	
4756	52.3871	13.1165	Europe	
5298	-25.4951	-49.2884	South America	
5503	52.3871	13.1165	Europe	
5545	52.3871	13.1165	Europe	
5614	47.7452	-3.37891	Europe	
5929	52.3871	13.1165	Europe	
6016	-6.90558	107.626	Asia	
6127	-23.6839	-46.9469	South America	
6293	52.3871	13.1165	Europe	
6809	-7.98	112.63	Asia	
7241	52.3871	13.1165	Europe	
7460	26.1237	-81.7351	North America	
7465	26.1237	-81.7351	North America	
7727	-1.16096	116.877	Asia	
7869	52.3871	13.1165	Europe	
8068	51.5207	-0.142822	Europe	
8143	52.3871	13.1165	Europe	
8325	52.3871	13.1165	Europe	
8565	63.7341	-96.2958	North America	
8745	-6.16896	106.827	Asia	
8985	52.3871	13.1165	Europe	
9002	52.3871	13.1165	Europe	
9263	51.5207	-0.142822	Europe	
9274	39.2582	-84.6398	North America	
9510	52.3871	13.1165	Europe	
9544	41.8338	-87.7319	North America	
9653	52.3871	13.1165	Europe	
9688	-23.47	-47.4366	South America	
9730	-25.4951	-49.2884	South America	
9760	48.8588	2.34693	Europe	
10140	52.3871	13.1165	Europe	
10180	52.3871	13.1165	Europe	
10548	52.3871	13.1165	Europe	
10880	-23.6839	-46.9469	South America	
10977	52.3871	13.1165	Europe	
11076	52.3871	13.1165	Europe	
11081	51.4715	21.4477	Europe	
11255	52.3871	13.1165	Europe	
11336	51.4715	21.4477	Europe	
11456	21.5435	39.173	Asia	
12054	-23.6828	-46.5955	South America	
12519	48.6772	2.50266	Europe	
12738	45.5353	10.2238	Europe	
13519	43.0579	-87.9671	North America	
13703	43.0579	-87.9671	North America	
14133	-36.7374	-71.0353	South America	
14477	6.01225	116.396	Asia	
14525	52.3871	13.1165	Europe	
14660	-22.916	-43.4473	South America	
14699	3.14845	101.705	Asia	
14857	52.3871	13.1165	Europe	
15173	3.14845	101.705	Asia	
15193	3.19677	101.743	Asia	
15368	-7.51277	110.245	Asia	
15480	21.5435	39.173	Asia	
15591	48.9378	2.53099	Europe	
15811	3.20998	101.788	Asia	
15992	3.14845	101.705	Asia	
16036	-23.6828	-46.5955	South America	
