Tweet Id 	 Latitude 	 Longitude
3	51.5207	-0.142822	
10	49.1994	-122.913	
50	40.0025	-75.118	
83	33.9593	-84.1428	
152	26.8418	-80.1632	
181	51.5207	-0.142822	
246	51.5207	-0.142822	
265	49.1994	-122.913	
267	49.1994	-122.913	
326	52.3834	13.1196	
393	49.1994	-122.913	
402	49.1994	-122.913	
443	51.5207	-0.142822	
468	49.1994	-122.913	
546	49.1994	-122.913	
549	51.5207	-0.142822	
592	51.5207	-0.142822	
610	52.3834	13.1196	
615	51.5207	-0.142822	
668	51.5207	-0.142822	
858	39.4207	26.8072	
951	52.3834	13.1196	
1028	51.5207	-0.142822	
1107	51.5207	-0.142822	
1148	51.5207	-0.142822	
1263	51.5207	-0.142822	
1277	-6.20436	106.635	
1278	39.4207	26.8072	
1338	39.4207	26.8072	
1449	45.5432	-122.655	
1518	49.1994	-122.913	
1522	-6.90621	107.621	
1523	32.6905	-114.671	
1533	35.7666	139.354	
1539	51.5207	-0.142822	
1556	49.1994	-122.913	
1561	3.07292	101.519	
1577	55.8554	-4.23242	
1653	51.5207	-0.142822	
1657	51.5207	-0.142822	
1692	52.3834	13.1196	
1761	49.1994	-122.913	
1777	40.7402	-73.9911	
1846	51.5207	-0.142822	
1884	53.1638	-2.73732	
1903	49.1994	-122.913	
1916	53.1638	-2.73732	
1934	49.1994	-122.913	
1938	49.1994	-122.913	
1955	52.3834	13.1196	
1974	49.1994	-122.913	
2007	52.3834	13.1196	
2054	-6.18622	106.637	
2069	52.3834	13.1196	
2171	-19.9726	-43.9665	
2198	39.4207	26.8072	
2231	-6.20341	106.82	
2283	49.1994	-122.913	
2288	42.2685	-88.9502	
2289	49.1994	-122.913	
2296	51.5207	-0.142822	
2313	39.4207	26.8072	
2322	51.5207	-0.142822	
2375	36.2613	-90.2883	
2420	51.5207	-0.142822	
2482	37.5295	-122.009	
2494	51.5207	-0.142822	
2513	49.1994	-122.913	
2556	39.4207	26.8072	
2702	51.5207	-0.142822	
2767	49.1994	-122.913	
2906	59.3942	18.6174	
2984	51.5207	-0.142822	
3019	49.1994	-122.913	
3026	49.1994	-122.913	
3034	52.3834	13.1196	
3082	49.1994	-122.913	
3158	49.1994	-122.913	
3211	49.1994	-122.913	
3263	51.5207	-0.142822	
3309	51.5207	-0.142822	
3314	52.0819	15.6121	
3346	49.1994	-122.913	
3393	52.3834	13.1196	
3394	41.6287	13.4007	
3459	51.5207	-0.142822	
3540	49.1994	-122.913	
3772	-30.0997	-51.1593	
3773	46.8359	7.65833	
3801	40.7695	-73.9676	
3812	41.8005	-88.1675	
3841	33.4819	-86.9044	
3854	-33.8413	151.207	
3904	51.5207	-0.142822	
3948	39.4207	26.8072	
3981	42.2333	-71.1567	
3982	52.3871	13.1165	
4069	37.2692	-119.307	
4097	41.8005	-88.1675	
4200	-6.16896	106.827	
4239	51.5207	-0.142822	
4304	52.3834	13.1196	
4407	51.5207	-0.142822	
4473	49.1994	-122.913	
4510	39.4207	26.8072	
4545	49.1994	-122.913	
4561	39.4207	26.8072	
4582	49.1994	-122.913	
4644	51.5207	-0.142822	
4704	49.1994	-122.913	
4732	51.5207	-0.142822	
4746	49.1994	-122.913	
4759	51.5207	-0.142822	
4970	49.1994	-122.913	
5015	51.5207	-0.142822	
5069	42.732	-84.4705	
5125	49.1994	-122.913	
5145	49.1994	-122.913	
5270	51.5207	-0.142822	
5366	51.5207	-0.142822	
5378	49.1994	-122.913	
5379	49.1994	-122.913	
5469	49.1994	-122.913	
5473	49.1994	-122.913	
5521	3.14845	101.705	
5579	51.5207	-0.142822	
5596	49.1994	-122.913	
5646	39.4207	26.8072	
5690	51.5207	-0.142822	
5700	49.1994	-122.913	
5708	39.4207	26.8072	
5735	39.4207	26.8072	
5755	35.3178	-80.727	
5825	51.5207	-0.142822	
5834	51.5207	-0.142822	
5863	51.5207	-0.142822	
5922	39.4207	26.8072	
5998	39.4207	26.8072	
6008	49.1994	-122.913	
6062	51.5207	-0.142822	
6085	38.9736	-95.2556	
6170	51.5207	-0.142822	
6195	51.5207	-0.142822	
6326	51.5207	-0.142822	
6330	52.3834	13.1196	
6359	52.3834	13.1196	
6373	52.3834	13.1196	
6384	51.5207	-0.142822	
6432	39.1423	-77.163	
