Tweet Id 	 Latitude 	 Longitude 	 Continent
28	-1.32447	36.7975	Africa	
144	45.2482	-75.8001	North America	
223	51.5207	-0.142822	Europe	
311	18.467	-66.0907	North America	
321	52.3834	13.1196	Europe	
341	52.3871	13.1165	Europe	
387	52.3834	13.1196	Europe	
701	52.3834	13.1196	Europe	
844	51.5207	-0.142822	Europe	
892	55.1559	61.3679	Europe	
975	3.03296	101.654	Asia	
1175	52.3871	13.1165	Europe	
1242	52.3834	13.1196	Europe	
1325	51.4513	6.027	Europe	
1484	52.3834	13.1196	Europe	
1812	51.5207	-0.142822	Europe	
1840	-19.9187	-43.9598	South America	
1980	19.4417	-99.1942	North America	
2165	56.6784	9.58082	Europe	
2298	52.3834	13.1196	Europe	
2364	32.8246	-117.109	North America	
2402	47.0232	-103.857	North America	
2424	30.4454	-84.2453	North America	
2464	39.4207	26.8072	Asia	
2561	39.4207	26.8072	Asia	
2580	39.7393	-89.2665	North America	
2613	-22.7241	-47.2901	South America	
2629	52.3834	13.1196	Europe	
2736	51.5207	-0.142822	Europe	
2745	38.7261	-9.21653	Europe	
2832	33.803	-118.054	North America	
2964	59.913	30.3101	Europe	
3014	2.04811	103.382	Asia	
3037	39.4207	26.8072	Asia	
3142	51.5207	-0.142822	Europe	
3162	-29.9006	30.9726	Africa	
3197	13.0061	77.5625	Asia	
3245	39.4207	26.8072	Asia	
3257	52.3834	13.1196	Europe	
3281	51.5207	-0.142822	Europe	
3383	40.0835	-80.8891	North America	
3441	52.3871	13.1165	Europe	
3449	39.4207	26.8072	Asia	
3552	51.5207	-0.142822	Europe	
3796	59.3336	17.98	Europe	
3812	41.8005	-88.1675	North America	
3887	-29.3292	-51.5004	South America	
3907	-29.3292	-51.5004	South America	
3929	51.5207	-0.142822	Europe	
3983	43.6707	7.15032	Europe	
4097	41.8005	-88.1675	North America	
4394	49.1994	-122.913	North America	
4464	52.3834	13.1196	Europe	
4538	-12.1791	-77.0148	South America	
4546	2.94886	101.77	Asia	
4557	2.94886	101.77	Asia	
4581	2.94886	101.77	Asia	
4590	41.1448	-81.3585	North America	
4646	52.3871	13.1165	Europe	
